player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Max Aarons,ENG,DF,Norwich City,Premier League,21,34,2881,0,2,2021-2022,True,0.0625
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,33,34,2983,2,0,2021-2022,False,0.0603
Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,21,31,2462,1,0,2021-2022,False,0.0366
Laurent Abergel,FRA,MF,Lorient,Ligue 1,28,34,2956,0,2,2021-2022,True,0.0609
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,21,1,45,0,0,2021-2022,False,0.0
Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,22,24,726,0,1,2021-2022,True,0.124
Matthis Abline,FRA,FW,Rennes,Ligue 1,18,7,103,0,0,2021-2022,False,0.0
Tammy Abraham,ENG,FW,Roma,Serie A,23,37,3084,17,4,2021-2022,True,0.6128
Luis Abram,PER,DF,Granada,La Liga,25,8,560,0,0,2021-2022,False,0.0
Francesco Acerbi,ITA,DF,Lazio,Serie A,33,30,2536,4,0,2021-2022,False,0.142
Ragnar Ache,GER,MF,Eintracht Frankfurt,Bundesliga,23,13,259,0,1,2021-2022,True,0.3475
Mohamed Achi,FRA,MF,Nantes,Ligue 1,19,1,10,0,0,2021-2022,False,0.0
Marcos Acuña,ARG,"DF,MF",Sevilla,La Liga,29,31,2260,1,3,2021-2022,True,0.1593
Che Adams,SCO,FW,Southampton,Premier League,25,30,2039,7,3,2021-2022,True,0.4414
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,22,24,1351,0,1,2021-2022,True,0.0666
Sargis Adamyan,ARM,"MF,FW",Hoffenheim,Bundesliga,28,13,331,1,0,2021-2022,False,0.2719
Martin Adeline,FRA,MF,Reims,Ligue 1,17,8,352,0,0,2021-2022,False,0.0
Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,21,25,1256,3,2,2021-2022,True,0.3583
Yacine Adli,FRA,"MF,FW",Bordeaux,Ligue 1,21,36,2260,1,7,2021-2022,True,0.3186
Michel Aebischer,SUI,MF,Bologna,Serie A,24,12,443,0,0,2021-2022,False,0.0
Felix Afena-Gyan,GHA,"MF,FW",Roma,Serie A,18,17,668,2,0,2021-2022,False,0.2695
Martin Agirregabiria,ESP,"DF,MF",Alavés,La Liga,25,24,1616,0,1,2021-2022,True,0.0557
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,20,4,360,0,0,2021-2022,False,0.0
Lucien Agoume,FRA,MF,Brest,Ligue 1,19,27,1868,0,0,2021-2022,False,0.0
