player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Kanga Akalé,CIV,"FW,MF",Auxerre,Ligue 1,23,32,2582,3,9,2004-2005,False,0.4183
Mehmet Akgün,TUR,"DF,FW",Dortmund,Bundesliga,17,1,25,0,0,2004-2005,True,0.0
Jean-Louis Akpa Akpro,CIV,FW,Toulouse,Ligue 1,19,13,547,0,0,2004-2005,False,0.0
Fatih Akyel,TUR,DF,Bochum,Bundesliga,26,1,45,0,0,2004-2005,True,0.0
David Albelda,ESP,"DF,MF",Valencia,La Liga,26,28,2428,1,0,2004-2005,False,0.0371
Demetrio Albertini,ITA,"FW,MF",Barcelona,La Liga,32,5,259,0,0,2004-2005,False,0.0
Demetrio Albertini,ITA,"FW,MF",Atalanta,Serie A,32,14,1159,1,1,2004-2005,False,0.1553
Alberto,ESP,GK,Real Sociedad,La Liga,35,4,259,0,0,2004-2005,False,0.0
Luiz Alberto,BRA,DF,Real Sociedad,La Liga,26,28,2440,0,0,2004-2005,False,0.0
Marcello Albino,ITA,MF,Cagliari,Serie A,32,14,463,0,1,2004-2005,False,0.1944
Raúl Albiol,ESP,DF,Getafe,La Liga,18,17,1409,1,0,2004-2005,False,0.0639
Martin Albrechtsen,DEN,DF,West Brom,Premier League,24,24,1785,0,1,2004-2005,False,0.0504
Carlos Alcántara,ESP,DF,Villarreal,La Liga,19,2,109,0,0,2004-2005,False,0.0
Alexis,ESP,DF,Levante,La Liga,30,22,1921,0,0,2004-2005,False,0.0
Alexis,ESP,DF,Málaga,La Liga,18,13,1088,0,1,2004-2005,False,0.0827
Carlos Alfaro Martínez,NAN,MF,Albacete,La Liga,21,1,90,0,0,2004-2005,False,0.0
Pablo Alfaro,ESP,DF,Sevilla,La Liga,35,19,1615,0,0,2004-2005,False,0.0
Jérémie Aliadière,FRA,"FW,MF",Arsenal,Premier League,21,4,37,0,0,2004-2005,False,0.0
Bittor Alkiza,ESP,MF,Real Sociedad,La Liga,33,10,709,0,0,2004-2005,False,0.0
Marcus Allbäck,SWE,FW,Hansa Rostock,Bundesliga,31,23,1585,4,0,2004-2005,False,0.2271
Riccardo Allegretti,ITA,MF,Chievo,Serie A,26,6,85,0,0,2004-2005,False,0.0
Samuel Allegro,FRA,DF,Metz,Ligue 1,26,8,607,0,0,2004-2005,False,0.0
Matías Almeyda,ARG,"DF,MF",Brescia,Serie A,30,5,384,0,1,2004-2005,False,0.2344
Manuel Almunia,ESP,GK,Arsenal,Premier League,27,10,900,0,0,2004-2005,False,0.0
John Aloisi,AUS,FW,Osasuna,La Liga,28,26,1315,6,3,2004-2005,False,0.616
Mikel Alonso,ESP,MF,Real Sociedad,La Liga,24,35,2631,0,1,2004-2005,False,0.0342
Xabi Alonso,ESP,MF,Liverpool,Premier League,22,24,1809,2,4,2004-2005,False,0.2985
Jérôme Alonzo,FRA,GK,Paris Saint-Germain,Ligue 1,31,6,484,0,0,2004-2005,False,0.0
Halil Altıntop,TUR,"FW,MF",Kaiserslautern,Bundesliga,21,30,2215,6,4,2004-2005,False,0.4063
Hamit Altıntop,TUR,"DF,MF",Schalke 04,Bundesliga,21,30,1654,0,1,2004-2005,False,0.0544
Cristian Álvarez,ARG,"DF,MF",Racing Sant,La Liga,26,4,233,0,0,2004-2005,False,0.0
Édgar Álvarez,HON,"DF,MF",Cagliari,Serie A,24,15,489,1,1,2004-2005,False,0.3681
Quique Álvarez,ESP,DF,Villarreal,La Liga,29,24,2138,0,0,2004-2005,False,0.0
Álvaro,BRA,DF,Zaragoza,La Liga,26,35,3150,3,2,2004-2005,False,0.1429
Dani Alves,BRA,"DF,MF",Sevilla,La Liga,21,34,2534,2,1,2004-2005,False,0.1066
Ioannis Amanatidis,GRE,"FW,MF",Kaiserslautern,Bundesliga,22,23,1686,6,0,2004-2005,False,0.3203
Leandro Amaral,BRA,FW,Istres,Ligue 1,26,1,14,0,0,2004-2005,True,0.0
Luis Amaranto Perea,COL,DF,Atlético Madrid,La Liga,25,33,2768,1,0,2004-2005,False,0.0325
Amauri,ITA,FW,Chievo,Serie A,24,23,1273,2,1,2004-2005,False,0.2121
José Amavisca,ESP,"FW,MF",Espanyol,La Liga,33,22,876,2,2,2004-2005,False,0.411
Iván Amaya,ESP,DF,Getafe,La Liga,25,5,450,0,0,2004-2005,False,0.0
Darren Ambrose,ENG,"FW,MF",Newcastle United,Premier League,20,12,741,3,0,2004-2005,False,0.3644
Massimo Ambrosini,ITA,MF,Milan,Serie A,27,22,949,1,1,2004-2005,False,0.1897
Marco Amelia,ITA,GK,Livorno,Serie A,22,31,2746,0,0,2004-2005,False,0.0
Shola Ameobi,NGA,FW,Newcastle United,Premier League,22,31,1674,2,1,2004-2005,False,0.1613
Raffaele Ametrano,ITA,MF,Messina,Serie A,31,3,187,0,0,2004-2005,False,0.0
Pablo Amo,ESP,DF,Dep La Coruña,La Liga,26,13,759,2,0,2004-2005,False,0.2372
Christian Amoroso,ITA,MF,Bologna,Serie A,27,23,1591,2,0,2004-2005,False,0.1131
Márcio Amoroso,BRA,FW,Málaga,La Liga,30,29,1570,5,2,2004-2005,False,0.4013
Lorenzo Amoruso,ITA,DF,Blackburn Rovers,Premier League,33,6,453,0,0,2004-2005,False,0.0
Nicola Amoruso,ITA,FW,Messina,Serie A,29,21,1018,5,1,2004-2005,False,0.5305
Luca Anania,ITA,GK,Lecce,Serie A,24,3,154,0,0,2004-2005,False,0.0
Stephan Andersen,DEN,GK,Charlton Athletic,Premier League,22,2,180,0,0,2004-2005,False,0.0
Sonny Anderson,BRA,FW,Villarreal,La Liga,33,3,218,1,0,2004-2005,False,0.4128
Darren Anderton,ENG,MF,Birmingham City,Premier League,32,20,868,3,1,2004-2005,False,0.4147
Jorge Andrade,POR,DF,Dep La Coruña,La Liga,26,35,3150,1,0,2004-2005,False,0.0286
Tore André Flo,NOR,FW,Siena,Serie A,31,29,1660,5,1,2004-2005,False,0.3253
Pierre-Yves André,FRA,FW,Bastia,Ligue 1,30,21,1484,4,2,2004-2005,False,0.3639
Marco Andreolli,ITA,DF,Inter,Serie A,18,1,36,0,0,2004-2005,True,0.0
Wayne Andrews,ENG,FW,Crystal Palace,Premier League,26,9,124,0,0,2004-2005,False,0.0
Nicolas Anelka,FRA,FW,Manchester City,Premier League,25,19,1510,7,2,2004-2005,False,0.5364
Benoît Angbwa,CMR,DF,Lille,Ligue 1,22,20,1556,0,1,2004-2005,False,0.0578
Miguel Ángel Angulo,ESP,"FW,MF",Valencia,La Liga,27,25,1612,3,2,2004-2005,False,0.2792
Miguel Ángel,ESP,MF,Málaga,La Liga,25,35,2989,3,5,2004-2005,False,0.2409
Miguel Ángel Moyá,ESP,GK,Mallorca,La Liga,20,32,2880,0,0,2004-2005,False,0.0
Miguel Ángel Nadal,ESP,"DF,MF",Mallorca,La Liga,38,6,253,0,0,2004-2005,False,0.0
Ângelo,BRA,"DF,MF",Lecce,Serie A,23,17,809,0,0,2004-2005,True,0.0
Igor Angulo,ESP,"FW,MF",Athletic Club,La Liga,20,3,142,0,0,2004-2005,False,0.0
Roda Antar,LIB,MF,Freiburg,Bundesliga,23,27,1331,3,0,2004-2005,False,0.2029
José Antonio Culebras,ESP,DF,Levante,La Liga,25,25,2112,1,2,2004-2005,False,0.1278
José Antonio Reyes,ESP,MF,Arsenal,Premier League,20,30,2025,9,10,2004-2005,False,0.8444
José Antonio Serrano,ESP,DF,Getafe,La Liga,19,1,79,1,0,2004-2005,False,1.1392
Francesco Antonioli,ITA,GK,Sampdoria,Serie A,34,37,3268,0,0,2004-2005,False,0.0
Antoñito,ESP,FW,Sevilla,La Liga,26,23,1021,2,1,2004-2005,False,0.2644
Dennis Aogo,GER,"DF,MF",Freiburg,Bundesliga,17,14,997,1,1,2004-2005,False,0.1805
Dudu Aouate,ISR,GK,Racing Sant,La Liga,26,37,3330,0,0,2004-2005,False,0.0
Stephen Appiah,GHA,MF,Juventus,Serie A,23,18,1313,2,0,2004-2005,False,0.1371
Alberto Aquilani,ITA,MF,Roma,Serie A,20,29,1411,0,0,2004-2005,False,0.0
Sergio Aragoneses,ESP,GK,Getafe,La Liga,27,11,901,0,0,2004-2005,False,0.0
Mikel Aranburu,ESP,MF,Real Sociedad,La Liga,25,36,2932,3,3,2004-2005,False,0.1842
Carlos Aranda,ESP,FW,Sevilla,La Liga,24,16,707,1,2,2004-2005,False,0.3819
Juan Arango,VEN,MF,Mallorca,La Liga,24,34,2794,6,4,2004-2005,False,0.3221
Agustín Aranzábal,ESP,DF,Zaragoza,La Liga,31,21,1741,0,1,2004-2005,False,0.0517
Daniel Aranzubia,ESP,GK,Athletic Club,La Liga,24,37,3302,0,0,2004-2005,False,0.0
Álvaro Arbeloa,ESP,DF,Real Madrid,La Liga,21,2,123,0,0,2004-2005,False,0.0
Andrea Ardito,ITA,MF,Siena,Serie A,27,5,146,0,0,2004-2005,False,0.0
Stefano Argilli,ITA,MF,Siena,Serie A,31,24,1886,3,0,2004-2005,False,0.1432
Luca Ariatti,ITA,"DF,MF",Fiorentina,Serie A,25,30,2391,2,2,2004-2005,False,0.1506
Javier Arizmendi,ESP,"FW,MF",Racing Sant,La Liga,20,22,760,3,0,2004-2005,False,0.3553
Sylvain Armand,FRA,DF,Paris Saint-Germain,Ligue 1,23,37,3260,1,3,2004-2005,False,0.1104
Francesc Arnau,ESP,GK,Málaga,La Liga,29,20,1800,0,0,2004-2005,False,0.0
John Arne Riise,NOR,"DF,MF",Liverpool,Premier League,23,37,2984,6,7,2004-2005,False,0.3921
Salvatore Aronica,ITA,DF,Messina,Serie A,26,30,2578,0,1,2004-2005,False,0.0349
Salim Arrache,ALG,MF,Strasbourg,Ligue 1,22,33,1933,1,5,2004-2005,False,0.2794
Joseba Arriaga,ESP,FW,Athletic Club,La Liga,22,14,644,0,1,2004-2005,False,0.1398
Dominique Arribagé,FRA,DF,Toulouse,Ligue 1,33,33,2970,0,0,2004-2005,False,0.0
Rodolfo Arruabarrena,ARG,DF,Villarreal,La Liga,29,26,2216,0,2,2004-2005,False,0.0812
Mikel Arteta,ESP,MF,Everton,Premier League,22,12,810,1,3,2004-2005,False,0.4444
Mikel Arteta,ESP,MF,Real Sociedad,La Liga,22,15,444,1,0,2004-2005,False,0.2027
Magnus Arvidsson,SWE,FW,Hansa Rostock,Bundesliga,31,20,941,2,1,2004-2005,False,0.2869
César Arzo,ESP,"DF,MF",Villarreal,La Liga,18,15,464,1,0,2004-2005,False,0.194
Arzu,ESP,"DF,MF",Real Betis,La Liga,23,30,2022,0,1,2004-2005,False,0.0445
Gerald Asamoah,GER,"FW,MF",Schalke 04,Bundesliga,25,31,2400,8,7,2004-2005,False,0.5625
Asen,ESP,FW,Getafe,La Liga,25,6,217,0,0,2004-2005,False,0.0
Jamie Ashdown,ENG,GK,Portsmouth,Premier League,23,16,1440,0,0,2004-2005,False,0.0
Dean Ashton,ENG,FW,Norwich City,Premier League,20,16,1421,7,3,2004-2005,False,0.6334
Benoît Assou-Ekotto,CMR,DF,Lens,Ligue 1,20,29,2584,0,0,2004-2005,False,0.0
Marcos Assunção,BRA,MF,Real Betis,La Liga,28,34,2679,8,4,2004-2005,False,0.4031
Jean-Hugues Ateba,CMR,"DF,MF",Paris Saint-Germain,Ligue 1,23,8,348,0,0,2004-2005,False,0.0
Timothée Atouba,CMR,DF,Tottenham Hotspur,Premier League,22,18,1397,1,0,2004-2005,False,0.0644
Lucien Aubey,CGO,DF,Toulouse,Ligue 1,20,33,2880,0,1,2004-2005,False,0.0312
Fabien Audard,FRA,GK,Monaco,Ligue 1,26,4,360,0,0,2004-2005,False,0.0
Johan Audel,MTQ,"FW,MF",Lille,Ligue 1,20,15,535,2,0,2004-2005,False,0.3364
Benjamin Auer,GER,FW,Mainz 05,Bundesliga,23,31,2397,6,3,2004-2005,False,0.3379
Fábio Aurélio,BRA,"DF,MF",Valencia,La Liga,24,21,1392,0,3,2004-2005,False,0.194
Christophe Avezac,FRA,MF,Metz,Ligue 1,27,24,944,0,0,2004-2005,False,0.0
Roberto Ayala,ARG,DF,Valencia,La Liga,31,17,1433,0,0,2004-2005,False,0.0
Mimoun Azaouagh,GER,MF,Mainz 05,Bundesliga,21,8,520,1,0,2004-2005,False,0.1731
Gaspar Azevedo,POR,DF,Ajaccio,Ligue 1,29,17,1224,0,0,2004-2005,False,0.0
Gorka Azkorra,ESP,FW,Athletic Club,La Liga,21,5,144,0,0,2004-2005,False,0.0
Christof Babatz,GER,MF,Mainz 05,Bundesliga,29,34,2627,4,3,2004-2005,False,0.2398
Celestine Babayaro,NGA,"DF,MF",Newcastle United,Premier League,25,7,626,0,1,2004-2005,False,0.1438
Celestine Babayaro,NGA,"DF,MF",Chelsea,Premier League,25,4,282,0,1,2004-2005,False,0.3191
Markus Babbel,GER,DF,Stuttgart,Bundesliga,31,32,2759,2,1,2004-2005,False,0.0979
Marko Babić,CRO,"DF,MF",Leverkusen,Bundesliga,23,28,1320,1,2,2004-2005,False,0.2045
Babù,BRA,"FW,MF",Lecce,Serie A,23,15,772,3,3,2004-2005,False,0.6995
Jonathan Bachini,ITA,MF,Brescia,Serie A,29,3,270,0,0,2004-2005,False,0.0
Jean-Michel Badiane,FRA,DF,Paris Saint-Germain,Ligue 1,21,7,260,0,0,2004-2005,False,0.0
Mamadou Bagayoko,MLI,FW,Nantes,Ligue 1,25,30,2164,7,3,2004-2005,False,0.4159
Fernando Baiano,BRA,FW,Málaga,La Liga,25,17,1271,9,1,2004-2005,False,0.7081
Zlatan Bajramović,BIH,MF,Freiburg,Bundesliga,24,15,1101,3,1,2004-2005,False,0.327
Jacek Bąk,POL,DF,Lens,Ligue 1,31,20,1158,1,0,2004-2005,False,0.0777
Dagui Bakari,CIV,FW,Lens,Ligue 1,29,8,201,0,0,2004-2005,False,0.0
Ibrahima Bakayoko,CIV,FW,Istres,Ligue 1,27,15,1180,3,1,2004-2005,False,0.3051
Salah Bakour,ALG,MF,Caen,Ligue 1,22,15,628,1,0,2004-2005,False,0.1433
Iacopo Balestri,ITA,DF,Reggina,Serie A,29,36,3197,0,3,2004-2005,False,0.0845
Pietro Balistreri,ITA,FW,Palermo,Serie A,18,2,53,0,0,2004-2005,True,0.0
Hanno Balitsch,GER,MF,Mainz 05,Bundesliga,23,14,1054,0,0,2004-2005,True,0.0
Hanno Balitsch,GER,MF,Leverkusen,Bundesliga,23,8,471,0,0,2004-2005,False,0.0
Michael Ballack,GER,MF,Bayern Munich,Bundesliga,27,27,2396,13,6,2004-2005,False,0.7137
David Balleri,ITA,DF,Livorno,Serie A,35,29,1978,0,3,2004-2005,False,0.1365
Salva Ballesta,ESP,FW,Atlético Madrid,La Liga,29,28,1708,6,1,2004-2005,False,0.3689
Sergio Ballesteros,ESP,DF,Mallorca,La Liga,28,32,2763,0,0,2004-2005,False,0.0
Florent Balmont,FRA,MF,Nice,Ligue 1,24,36,3113,5,1,2004-2005,False,0.1735
Sol Bamba,CIV,DF,Paris Saint-Germain,Ligue 1,19,1,2,0,0,2004-2005,True,0.0
Habib Bamogo,BFA,FW,Marseille,Ligue 1,22,30,1813,5,2,2004-2005,False,0.3475
Francis Banecki,GER,DF,Werder Bremen,Bundesliga,19,2,73,0,0,2004-2005,False,0.0
Ivica Banović,CRO,MF,Nürnberg,Bundesliga,23,22,1238,3,5,2004-2005,False,0.5816
Júlio Baptista,BRA,"FW,MF",Sevilla,La Liga,22,33,2850,18,2,2004-2005,False,0.6316
Rubén Baraja,ESP,MF,Valencia,La Liga,29,25,2038,7,2,2004-2005,False,0.3974
Sergej Barbarez,BIH,"FW,MF",Hamburger SV,Bundesliga,32,30,2586,11,6,2004-2005,False,0.5916
Cédric Barbosa,FRA,MF,Rennes,Ligue 1,28,6,173,0,1,2004-2005,False,0.5202
Sergi Barjuán,ESP,DF,Atlético Madrid,La Liga,32,27,2179,0,0,2004-2005,False,0.0
José Barkero,ESP,MF,Real Sociedad,La Liga,25,13,699,3,1,2004-2005,False,0.515
Anthony Barness,ENG,DF,Bolton Wanderers,Premier League,31,8,480,0,0,2004-2005,False,0.0
Tranquillo Barnetta,SUI,MF,Hannover 96,Bundesliga,19,7,397,2,0,2004-2005,False,0.4534
Simone Barone,ITA,MF,Palermo,Serie A,26,35,2908,2,2,2004-2005,False,0.1238
Roberto Baronio,ITA,MF,Chievo,Serie A,26,29,1921,1,2,2004-2005,False,0.1406
Milan Baroš,CZE,FW,Liverpool,Premier League,22,26,1857,9,1,2004-2005,False,0.4847
Gareth Barry,ENG,MF,Aston Villa,Premier League,23,34,2837,7,1,2004-2005,False,0.2538
Rahmane Barry,SEN,"FW,MF",Marseille,Ligue 1,17,1,45,0,0,2004-2005,False,0.0
Fabien Barthez,FRA,GK,Marseille,Ligue 1,33,30,2700,0,0,2004-2005,False,0.0
Shaun Bartlett,RSA,FW,Charlton Athletic,Premier League,31,25,2039,6,3,2004-2005,False,0.3973
Joey Barton,ENG,MF,Manchester City,Premier League,21,31,2502,1,5,2004-2005,False,0.2158
Patrick Barul,FRA,DF,Lens,Ligue 1,26,29,1167,0,0,2004-2005,False,0.0
Andrea Barzagli,ITA,DF,Palermo,Serie A,23,37,3325,0,0,2004-2005,False,0.0
Christian Bassila,FRA,"DF,MF",Strasbourg,Ligue 1,26,23,1962,0,0,2004-2005,False,0.0
Bruno Basto,POR,DF,Bordeaux,Ligue 1,26,1,18,0,0,2004-2005,False,0.0
Yıldıray Baştürk,TUR,MF,Hertha BSC,Bundesliga,25,25,2069,7,6,2004-2005,False,0.5655
Matthew Bates,ENG,DF,Middlesbrough,Premier League,17,2,2,0,0,2004-2005,False,0.0
Laurent Batlles,FRA,MF,Marseille,Ligue 1,28,29,1798,8,3,2004-2005,False,0.5506
Sebastián Battaglia,ARG,MF,Villarreal,La Liga,23,14,920,0,1,2004-2005,False,0.0978
Frank Baumann,GER,"DF,MF",Werder Bremen,Bundesliga,28,22,1914,1,3,2004-2005,False,0.1881
Fabio Bazzani,ITA,FW,Lazio,Serie A,27,15,843,3,0,2004-2005,True,0.3203
Fabio Bazzani,ITA,FW,Sampdoria,Serie A,27,14,1173,2,0,2004-2005,True,0.1535
James Beattie,ENG,FW,Southampton,Premier League,26,11,808,3,1,2004-2005,False,0.4455
James Beattie,ENG,FW,Everton,Premier League,26,11,567,1,0,2004-2005,False,0.1587
Tommy Bechmann,DEN,"FW,MF",Bochum,Bundesliga,22,26,1580,4,3,2004-2005,False,0.3987
David Beckham,ENG,MF,Real Madrid,La Liga,29,30,2436,4,6,2004-2005,False,0.3695
Henri Bedimo,CMR,DF,Toulouse,Ligue 1,20,15,676,0,0,2004-2005,False,0.0
Francesco Bega,ITA,DF,Cagliari,Serie A,29,32,2834,0,0,2004-2005,False,0.0
Stefan Beinlich,GER,MF,Hamburger SV,Bundesliga,32,29,2426,3,9,2004-2005,False,0.4452
Tijani Belaïd,TUN,MF,Inter,Serie A,16,1,11,0,0,2004-2005,True,0.0
David Belenguer,ESP,DF,Getafe,La Liga,31,30,2603,0,1,2004-2005,False,0.0346
Craig Bellamy,WAL,FW,Newcastle United,Premier League,25,21,1788,7,4,2004-2005,False,0.5537
Manuel Belleri,ITA,DF,Udinese,Serie A,26,21,574,0,0,2004-2005,False,0.0
Juliano Belletti,BRA,"DF,MF",Barcelona,La Liga,28,31,2536,0,4,2004-2005,False,0.142
Gianpaolo Bellini,ITA,DF,Atalanta,Serie A,24,29,2554,0,2,2004-2005,False,0.0705
David Bellion,FRA,FW,Manchester Utd,Premier League,21,10,208,2,0,2004-2005,False,0.8654
Claudio Bellucci,ITA,FW,Bologna,Serie A,29,34,2745,10,5,2004-2005,False,0.4918
Emre Belözoğlu,TUR,MF,Inter,Serie A,23,19,1024,0,1,2004-2005,False,0.0879
Michał Bemben,GER,"DF,MF",Bochum,Bundesliga,28,6,213,0,0,2004-2005,False,0.0
Hatem Ben Arfa,FRA,"FW,MF",Lyon,Ligue 1,17,9,314,0,1,2004-2005,False,0.2866
Aziz Ben Askar,MAR,DF,Caen,Ligue 1,28,28,2520,1,0,2004-2005,False,0.0357
Tal Ben Haim,ISR,DF,Bolton Wanderers,Premier League,22,21,1753,1,0,2004-2005,False,0.0513
Chaouki Ben Saada,TUN,"FW,MF",Bastia,Ligue 1,20,20,1031,1,0,2004-2005,False,0.0873
Selim Benachour,TUN,MF,Paris Saint-Germain,Ligue 1,22,9,243,1,1,2004-2005,False,0.7407
Yossi Benayoun,ISR,MF,Racing Sant,La Liga,24,35,2989,9,3,2004-2005,False,0.3613
Collin Benjamin,NAM,"DF,MF",Hamburger SV,Bundesliga,25,26,1702,5,0,2004-2005,False,0.2644
Benjani,ZIM,FW,Auxerre,Ligue 1,25,30,2175,11,1,2004-2005,False,0.4966
Marcus Bent,ENG,FW,Everton,Premier League,26,37,2659,6,4,2004-2005,False,0.3385
David Bentley,ENG,MF,Norwich City,Premier League,19,26,2005,2,3,2004-2005,False,0.2244
Karim Benzema,FRA,FW,Lyon,Ligue 1,16,6,112,0,0,2004-2005,False,0.0
Dimitar Berbatov,BUL,FW,Leverkusen,Bundesliga,23,33,2928,20,4,2004-2005,False,0.7377
Héctor Berenguel,ESP,DF,Dep La Coruña,La Liga,29,6,232,0,0,2004-2005,False,0.0
Vinícius Bergantin,BRA,DF,Hannover 96,Bundesliga,24,13,1001,1,1,2004-2005,False,0.1798
André Bergdølmo,NOR,DF,Dortmund,Bundesliga,32,11,717,0,0,2004-2005,False,0.0
Patrik Berger,CZE,MF,Portsmouth,Premier League,30,32,2496,3,5,2004-2005,False,0.2885
Dennis Bergkamp,NED,FW,Arsenal,Premier League,35,29,1921,8,12,2004-2005,False,0.937
Bryan Bergougnoux,FRA,"FW,MF",Lyon,Ligue 1,21,24,684,4,1,2004-2005,False,0.6579
Franck Béria,FRA,DF,Metz,Ligue 1,21,7,630,0,1,2004-2005,False,0.1429
Eyal Berkovic,ISR,MF,Portsmouth,Premier League,32,11,445,1,4,2004-2005,False,1.0112
Olivier Bernard,FRA,DF,Southampton,Premier League,24,13,1106,0,1,2004-2005,False,0.0814
Olivier Bernard,FRA,DF,Newcastle United,Premier League,24,21,1675,0,2,2004-2005,False,0.1075
Lucas Bernardi,ARG,MF,Monaco,Ligue 1,26,24,1928,1,2,2004-2005,False,0.14
Antonino Bernardini,ITA,MF,Atalanta,Serie A,30,29,1923,1,4,2004-2005,False,0.234
Vittorio Bernardo,NAN,,Messina,Serie A,18,2,48,0,0,2004-2005,False,0.0
Bruno Berner,SUI,"DF,MF",Freiburg,Bundesliga,26,12,609,0,0,2004-2005,False,0.0
Daniele Berretta,ITA,MF,Brescia,Serie A,32,8,363,0,0,2004-2005,False,0.0
Franck Berrier,FRA,MF,Caen,Ligue 1,20,1,48,0,0,2004-2005,False,0.0
Mathieu Berson,FRA,MF,Aston Villa,Premier League,24,11,630,0,0,2004-2005,False,0.0
Jérémy Berthod,FRA,DF,Lyon,Ligue 1,20,22,1234,0,0,2004-2005,False,0.0
Gianluca Berti,ITA,GK,Parma,Serie A,37,1,90,0,0,2004-2005,False,0.0
Frantz Bertin,HAI,"DF,MF",Racing Sant,La Liga,21,15,1276,0,0,2004-2005,False,0.0
Valerio Bertotto,ITA,DF,Udinese,Serie A,29,35,3081,0,1,2004-2005,False,0.0292
Leon Best,IRL,FW,Southampton,Premier League,17,2,78,0,0,2004-2005,False,0.0
Stefano Bettarini,ITA,DF,Parma,Serie A,32,8,557,0,0,2004-2005,False,0.0
Habib Beye,SEN,DF,Marseille,Ligue 1,26,37,3299,1,1,2004-2005,False,0.0546
Yacine Bezzaz,ALG,MF,Ajaccio,Ligue 1,23,10,140,0,0,2004-2005,False,0.0
Rolando Bianchi,ITA,FW,Cagliari,Serie A,21,25,1071,2,4,2004-2005,False,0.5042
Giuseppe Biava,ITA,DF,Palermo,Serie A,27,29,2601,0,0,2004-2005,False,0.0
