player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Jacques Abardonado,FRA,DF,Nice,Ligue 1,26,31,2788,0,1,2004-2005,False,0.0323
Christian Abbiati,ITA,GK,Milan,Serie A,27,3,263,0,0,2004-2005,False,0.0
Yacine Abdessadki,MAR,MF,Strasbourg,Ligue 1,23,35,2999,6,2,2004-2005,False,0.2401
Djamel Abdoun,ALG,MF,Ajaccio,Ligue 1,18,2,30,0,0,2004-2005,False,0.0
Nelson Abeijón,URU,MF,Cagliari,Serie A,31,30,2353,4,0,2004-2005,False,0.153
Mathias Abel,GER,DF,Mainz 05,Bundesliga,23,23,1854,3,2,2004-2005,False,0.2427
Damià Abella,ESP,"DF,MF",Barcelona,La Liga,22,9,458,0,0,2004-2005,False,0.0
Éric Abidal,FRA,DF,Lyon,Ligue 1,24,29,2533,0,2,2004-2005,False,0.0711
Giuseppe Abruzzese,ITA,DF,Lecce,Serie A,23,7,333,0,0,2004-2005,False,0.0
Pietro Accardi,ITA,DF,Palermo,Serie A,21,1,90,0,0,2004-2005,False,0.0
Milenko Ačimovič,SVN,MF,Lille,Ligue 1,27,19,1115,4,1,2004-2005,False,0.4036
Miguel Ángel Núñez Acosta,ESP,MF,Numancia,La Liga,25,8,347,0,0,2004-2005,False,0.0
Roberto Acuña,PAR,MF,Dep La Coruña,La Liga,32,2,44,0,0,2004-2005,False,0.0
Adaílton,BRA,DF,Rennes,Ligue 1,21,23,1882,0,3,2004-2005,False,0.1435
Daniele Adani,ITA,DF,Brescia,Serie A,30,13,948,0,0,2004-2005,False,0.0
Otto Addo,GHA,MF,Dortmund,Bundesliga,29,3,35,0,0,2004-2005,True,0.0
Emmanuel Adebayor,TOG,FW,Monaco,Ligue 1,20,34,2542,9,4,2004-2005,False,0.4603
Adriano,BRA,"DF,MF",Sevilla,La Liga,19,16,1174,2,4,2004-2005,False,0.46
Adriano,BRA,DF,Atalanta,Serie A,22,10,665,2,0,2004-2005,False,0.2707
Adriano,BRA,FW,Inter,Serie A,22,30,2274,16,1,2004-2005,False,0.6728
Godfried Aduobe,GHA,MF,Hansa Rostock,Bundesliga,28,4,63,0,0,2004-2005,False,0.0
Kodjo Afanou,FRA,DF,Bordeaux,Ligue 1,26,10,718,0,0,2004-2005,False,0.0
Victor Agali,NGA,FW,Nice,Ligue 1,25,30,2220,6,5,2004-2005,False,0.4459
David Aganzo,ESP,FW,Racing Sant,La Liga,23,26,1516,7,1,2004-2005,False,0.4749
Kossi Agassa,TOG,GK,Metz,Ligue 1,26,1,90,0,0,2004-2005,False,0.0
Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,17,3,67,1,0,2004-2005,True,1.3433
Federico Agliardi,ITA,GK,Brescia,Serie A,21,1,45,0,0,2004-2005,False,0.0
Alessandro Agostini,ITA,DF,Cagliari,Serie A,25,35,3150,0,2,2004-2005,False,0.0571
Alberto Aguilar,ESP,"DF,MF",Getafe,La Liga,20,2,107,0,0,2004-2005,False,0.0
Carlos Aguilera,ESP,DF,Atlético Madrid,La Liga,35,15,871,0,0,2004-2005,False,0.0
Mikel Aguirregomezkorta Larrea,ESP,FW,Albacete,La Liga,29,29,1208,0,0,2004-2005,False,0.0
Agus,ESP,"DF,FW",Albacete,La Liga,19,7,630,0,0,2004-2005,False,0.0
Hassan Ahamada,FRA,"FW,MF",Nantes,Ligue 1,23,10,550,1,1,2004-2005,False,0.3273
Oscar Ahumada,ARG,MF,Wolfsburg,Bundesliga,21,4,73,0,0,2004-2005,False,0.0
Lawrence Aidoo,GHA,"FW,MF",Nürnberg,Bundesliga,22,7,165,0,2,2004-2005,False,1.0909
Pablo Aimar,ARG,MF,Valencia,La Liga,24,31,1967,4,6,2004-2005,False,0.4575
Yakubu Aiyegbeni,NGA,FW,Portsmouth,Premier League,21,30,2467,13,3,2004-2005,False,0.5837
