player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Nelson Abeijón,URU,MF,Racing Sant,La Liga,24,30,2228,2,0,1997-1998,False,0.0808
Samassi Abou,FRA,FW,Cannes,Division 1,24,10,826,1,0,1997-1998,False,0.109
Samassi Abou,FRA,FW,West Ham United,Premier League,24,19,1118,5,2,1997-1998,True,0.5635
Sebastián Abreu,URU,FW,Dep La Coruña,La Liga,20,15,1077,3,0,1997-1998,False,0.2507
Roberto Acuña,PAR,MF,Zaragoza,La Liga,25,30,2664,3,0,1997-1998,False,0.1014
Adaílton,BRA,FW,Parma,Serie A,20,13,467,2,0,1997-1998,False,0.3854
Frédéric Adam,FRA,MF,Châteauroux,Division 1,23,21,1293,1,0,1997-1998,False,0.0696
Tony Adams,ENG,DF,Arsenal,Premier League,30,26,2340,3,1,1997-1998,True,0.1538
Daniele Adani,ITA,DF,Brescia,Serie A,23,33,2926,3,0,1997-1998,False,0.0923
Mutiu Adepoju,NGA,MF,Real Sociedad,La Liga,26,21,964,2,0,1997-1998,False,0.1867
Kodjo Afanou,FRA,DF,Bordeaux,Division 1,19,27,2137,1,0,1997-1998,False,0.0421
Uche Agbo,NGA,MF,Montpellier,Division 1,22,4,32,1,0,1997-1998,False,2.8125
Kuami Agboh,TOG,MF,Auxerre,Division 1,19,8,548,0,0,1997-1998,False,0.0
Jan Åge Fjørtoft,NOR,FW,Barnsley,Premier League,30,15,954,6,0,1997-1998,False,0.566
Borja Agirretxu,ESP,DF,Compostela,La Liga,28,11,436,0,0,1997-1998,False,0.0
Junior Agogo,GHA,FW,Sheffield Weds,Premier League,17,1,14,0,0,1997-1998,False,0.0
Paul Agostino,AUS,FW,1860 Munich,Bundesliga,22,16,751,4,0,1997-1998,False,0.4794
Xavier Aguado,ESP,DF,Zaragoza,La Liga,29,31,2717,5,0,1997-1998,False,0.1656
Carlos Aguilera,ESP,DF,Atlético Madrid,La Liga,28,36,3044,2,0,1997-1998,False,0.0591
