player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Jacques Abardonado,FRA,DF,Nice,Ligue 1,24,38,3420,1,0,2002-2003,False,0.0263
Matteo Abbate,ITA,DF,Piacenza,Serie A,18,6,510,0,0,2002-2003,True,0.0
Christian Abbiati,ITA,GK,Milan,Serie A,25,3,270,0,0,2002-2003,False,0.0
Mazhar Abdel Rahman,EGY,FW,Monaco,Ligue 1,25,4,138,0,0,2002-2003,False,0.0
Éric Abidal,FRA,DF,Lille,Ligue 1,22,27,2343,0,1,2002-2003,False,0.0384
Milenko Ačimovič,SVN,MF,Tottenham Hotspur,Premier League,25,17,494,0,2,2002-2003,False,0.3644
Clarence Acuña,CHI,MF,Newcastle United,Premier League,27,4,150,0,0,2002-2003,False,0.0
Roberto Acuña,PAR,MF,Dep La Coruña,La Liga,30,7,144,0,0,2002-2003,False,0.0
Frédéric Adam,FRA,MF,Troyes,Ligue 1,28,21,1672,2,0,2002-2003,False,0.1077
Daniele Adani,ITA,DF,Inter,Serie A,28,7,331,1,0,2002-2003,False,0.2719
Otto Addo,GHA,MF,Dortmund,Bundesliga,27,4,173,0,0,2002-2003,False,0.0
Ador,ESP,FW,Málaga,La Liga,16,1,4,0,0,2002-2003,False,0.0
Adriano,BRA,FW,Parma,Serie A,20,28,2215,16,3,2002-2003,False,0.772
Godfried Aduobe,GHA,MF,Hansa Rostock,Bundesliga,26,29,2150,1,1,2002-2003,False,0.0837
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,21,3,56,0,0,2002-2003,False,0.0
Silvio Adzic,GER,"FW,MF",Kaiserslautern,Bundesliga,21,4,164,0,0,2002-2003,False,0.0
Kodjo Afanou,FRA,DF,Bordeaux,Ligue 1,24,29,2605,1,0,2002-2003,False,0.0345
Victor Agali,NGA,FW,Schalke 04,Bundesliga,23,19,1247,7,4,2002-2003,False,0.7939
David Aganzo,ESP,FW,Valladolid,La Liga,21,30,2062,9,1,2002-2003,False,0.4365
Kuami Agboh,TOG,MF,Auxerre,Ligue 1,24,2,180,0,0,2002-2003,False,0.0
Alessandro Agostini,ITA,DF,Empoli,Serie A,23,2,61,0,0,2002-2003,False,0.0
Paul Agostino,AUS,FW,1860 Munich,Bundesliga,27,11,357,0,0,2002-2003,False,0.0
Alberto Aguilar,ESP,"DF,MF",Málaga,La Liga,18,1,25,0,0,2002-2003,False,0.0
Edu Aguilar,ESP,MF,Racing Sant,La Liga,22,2,13,0,0,2002-2003,False,0.0
Carlos Aguilera,ESP,DF,Atlético Madrid,La Liga,33,28,1673,1,0,2002-2003,False,0.0538
Hassan Ahamada,FRA,"FW,MF",Bastia,Ligue 1,21,14,940,2,1,2002-2003,False,0.2872
Lawrence Aidoo,GHA,"FW,MF",Gladbach,Bundesliga,20,28,1777,3,2,2002-2003,False,0.2532
Pablo Aimar,ARG,MF,Valencia,La Liga,22,31,2333,8,2,2002-2003,False,0.3858
Kanga Akalé,CIV,"FW,MF",Auxerre,Ligue 1,21,7,247,0,0,2002-2003,False,0.0
Bülent Akın,TUR,MF,Bolton Wanderers,Premier League,23,1,5,0,0,2002-2003,False,0.0
Charles Akonnor,GHA,MF,Wolfsburg,Bundesliga,28,14,927,0,1,2002-2003,False,0.0971
Bruno Akrapović,BIH,MF,Energie Cottbus,Bundesliga,34,7,598,0,0,2002-2003,False,0.0
Nassim Akrour,ALG,FW,Troyes,Ligue 1,28,13,626,1,1,2002-2003,False,0.2875
Erhan Albayrak,TUR,"FW,MF",Arminia,Bundesliga,25,16,1211,1,0,2002-2003,False,0.0743
David Albelda,ESP,"DF,MF",Valencia,La Liga,24,27,2086,0,2,2002-2003,False,0.0863
Andrea Alberti,ITA,FW,Brescia,Serie A,17,3,31,0,0,2002-2003,False,0.0
Demetrio Albertini,ITA,"FW,MF",Atlético Madrid,La Liga,30,28,2253,2,6,2002-2003,False,0.3196
Alberto,ESP,GK,Real Sociedad,La Liga,33,1,90,0,0,2002-2003,False,0.0
Jörg Albertz,GER,MF,Hamburger SV,Bundesliga,31,4,360,2,0,2002-2003,False,0.5
Marcello Albino,ITA,MF,Modena,Serie A,30,12,596,0,1,2002-2003,False,0.151
Miguel Albiol,ESP,MF,Valencia,La Liga,20,1,13,0,0,2002-2003,False,0.0
Aldair,BRA,DF,Roma,Serie A,36,17,1349,0,1,2002-2003,False,0.0667
Niclas Alexandersson,SWE,MF,Everton,Premier League,30,7,311,0,0,2002-2003,False,0.0
Pablo Alfaro,ESP,DF,Sevilla,La Liga,33,33,2965,1,0,2002-2003,False,0.0304
Alfredo,ESP,MF,Osasuna,La Liga,29,31,1908,1,2,2002-2003,False,0.1415
Jérémie Aliadière,FRA,"FW,MF",Arsenal,Premier League,19,3,26,1,0,2002-2003,False,3.4615
