player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Gaël Andonian,ARM,DF,Marseille,Ligue 1,19.0,1,11,0,0,2014-2015,False,0.0
Federico Andrada,ARG,FW,Metz,Ligue 1,20.0,12,292,0,0,2014-2015,False,0.0
Benjamin André,FRA,"DF,MF",Rennes,Ligue 1,23.0,22,1362,1,0,2014-2015,False,0.0661
Leon Andreasen,DEN,"DF,MF",Hannover 96,Bundesliga,31.0,17,965,1,0,2014-2015,False,0.0933
Marco Andreolli,ITA,DF,Inter,Serie A,28.0,6,447,0,0,2014-2015,False,0.0
Mariano Andújar,ARG,GK,Napoli,Serie A,31.0,15,1350,0,0,2014-2015,False,0.0
José Ángel Alonso,ESP,DF,Elche,La Liga,25.0,13,663,0,0,2014-2015,False,0.0
José Ángel Crespo,ESP,DF,Córdoba,La Liga,27.0,27,2163,0,0,2014-2015,False,0.0
Miguel Ángel Moyá,ESP,GK,Atlético Madrid,La Liga,30.0,27,2430,0,0,2014-2015,False,0.0
Marcos Angeleri,ARG,DF,Málaga,La Liga,31.0,22,1880,0,0,2014-2015,False,0.0
Benjamin Angoua,CIV,DF,Guingamp,Ligue 1,27.0,21,1539,0,0,2014-2015,False,0.0
Aldo Angoula,FRA,DF,Evian,Ligue 1,33.0,8,587,0,0,2014-2015,False,0.0
Txema Añibarro,ESP,"DF,MF",Eibar,La Liga,35.0,15,1146,0,0,2014-2015,False,0.0
Victor Anichebe,NGA,FW,West Brom,Premier League,26.0,21,1035,3,1,2014-2015,True,0.3478
Vurnon Anita,CUW,"DF,MF",Newcastle United,Premier League,25.0,19,1266,0,0,2014-2015,False,0.0
Cristian Ansaldi,ARG,"DF,MF",Atlético Madrid,La Liga,27.0,7,578,0,0,2014-2015,False,0.0
Ion Ansotegi,ESP,DF,Real Sociedad,La Liga,32.0,19,1710,0,0,2014-2015,False,0.0
Luca Antei,ITA,DF,Sassuolo,Serie A,22.0,8,515,0,0,2014-2015,False,0.0
Luca Antonelli,ITA,"DF,MF",Genoa,Serie A,27.0,19,1640,3,1,2014-2015,True,0.2195
Luca Antonelli,ITA,"DF,MF",Milan,Serie A,27.0,12,1056,1,0,2014-2015,False,0.0852
Luca Antonini,ITA,"DF,MF",Genoa,Serie A,31.0,7,348,1,0,2014-2015,False,0.2586
José Antonio Reyes,ESP,MF,Sevilla,La Liga,30.0,19,1218,3,4,2014-2015,True,0.5172
Vitorino Antunes,POR,DF,Málaga,La Liga,27.0,15,1319,0,2,2014-2015,True,0.1365
Siniša Anđelković,SVN,DF,Palermo,Serie A,28.0,32,2819,0,0,2014-2015,False,0.0
Dennis Aogo,GER,"DF,MF",Schalke 04,Bundesliga,27.0,25,1974,0,1,2014-2015,True,0.0456
Dennis Appiah,FRA,"DF,MF",Caen,Ligue 1,22.0,30,2571,0,2,2014-2015,True,0.07
Alberto Aquilani,ITA,MF,Fiorentina,Serie A,30.0,25,1613,0,0,2014-2015,False,0.0
Javier Aquino,MEX,"DF,MF",Rayo Vallecano,La Liga,24.0,24,1270,0,2,2014-2015,True,0.1417
Youssef El-Arabi,MAR,FW,Granada,La Liga,27.0,28,1977,8,2,2014-2015,True,0.4552
Álvaro Arbeloa,ESP,DF,Real Madrid,La Liga,31.0,22,1121,1,4,2014-2015,True,0.4014
Anaitz Arbilla,ESP,DF,Espanyol,La Liga,27.0,28,2234,1,1,2014-2015,True,0.0806
Alphonse Areola,FRA,GK,Bastia,Ligue 1,21.0,35,3150,0,0,2014-2015,False,0.0
Scott Arfield,CAN,MF,Burnley,Premier League,25.0,37,3202,2,2,2014-2015,True,0.1124
Lorenzo Ariaudo,ITA,DF,Sassuolo,Serie A,25.0,2,180,0,0,2014-2015,False,0.0
Fernando Aristeguieta,VEN,FW,Nantes,Ligue 1,22.0,6,171,0,0,2014-2015,False,0.0
Sylvain Armand,FRA,DF,Rennes,Ligue 1,33.0,36,3240,1,0,2014-2015,False,0.0278
Pablo Armero,COL,"DF,MF",Milan,Serie A,27.0,8,589,0,1,2014-2015,True,0.1528
Adam Armstrong,ENG,"FW,MF",Newcastle United,Premier League,17.0,11,211,0,1,2014-2015,True,0.4265
Marko Arnautović,AUT,"FW,MF",Stoke City,Premier League,25.0,29,1918,1,5,2014-2015,True,0.2815
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,20.0,27,1669,4,2,2014-2015,True,0.3235
Mario Arqués,ESP,MF,Elche,La Liga,22.0,1,6,0,0,2014-2015,False,0.0
Alejandro Arribas,ESP,DF,Sevilla,La Liga,25.0,11,864,0,0,2014-2015,False,0.0
Álvaro Arroyo,ESP,DF,Getafe,La Liga,26.0,12,891,0,0,2014-2015,False,0.0
Mikel Arruabarrena,ESP,FW,Eibar,La Liga,31.0,34,2539,9,3,2014-2015,True,0.4254
Tolgay Arslan,GER,MF,Hamburger SV,Bundesliga,23.0,13,650,0,1,2014-2015,True,0.1385
Mikel Arteta,ESP,MF,Arsenal,Premier League,32.0,7,447,0,1,2014-2015,True,0.2013
Kwadwo Asamoah,GHA,"DF,MF",Juventus,Serie A,25.0,7,620,0,0,2014-2015,False,0.0
Sergio Asenjo,ESP,GK,Villarreal,La Liga,25.0,34,3053,0,0,2014-2015,False,0.0
Iago Aspas,ESP,"FW,MF",Sevilla,La Liga,26.0,16,461,2,1,2014-2015,True,0.5857
Oussama Assaidi,MAR,"FW,MF",Stoke City,Premier League,25.0,9,231,0,1,2014-2015,True,0.3896
Davide Astori,ITA,DF,Roma,Serie A,27.0,24,2040,1,0,2014-2015,False,0.0441
Eliran Atar,ISR,FW,Reims,Ligue 1,27.0,1,11,0,0,2014-2015,False,0.0
Samuel Atrous,FRA,GK,Lens,Ligue 1,24.0,1,90,0,0,2014-2015,False,0.0
Christian Atsu,GHA,"FW,MF",Everton,Premier League,22.0,5,113,0,1,2014-2015,True,0.7965
Pierre-Emerick Aubameyang,GAB,FW,Dortmund,Bundesliga,25.0,33,2714,16,6,2014-2015,True,0.7296
Fabien Audard,FRA,GK,Lorient,Ligue 1,36.0,1,4,0,0,2014-2015,False,0.0
Johan Audel,MTQ,"FW,MF",Nantes,Ligue 1,30.0,24,1263,3,1,2014-2015,True,0.285
Filipe Augusto,BRA,MF,Valencia,La Liga,20.0,6,149,0,0,2014-2015,False,0.0
Serge Aurier,CIV,"DF,MF",Paris Saint-Germain,Ligue 1,21.0,14,1136,0,5,2014-2015,True,0.3961
Jon Aurtenetxe,ESP,DF,Athletic Club,La Liga,22.0,4,287,0,0,2014-2015,False,0.0
Charlie Austin,ENG,FW,QPR,Premier League,25.0,35,3066,18,6,2014-2015,True,0.7045
Mathias Autret,FRA,MF,Lorient,Ligue 1,23.0,7,283,1,1,2014-2015,True,0.636
Danilo Avelar,BRA,"DF,MF",Cagliari,Serie A,25.0,31,2636,4,3,2014-2015,True,0.239
Vlada Avramov,SRB,GK,Atalanta,Serie A,35.0,1,56,0,0,2014-2015,False,0.0
Levent Ayçiçek,GER,MF,Werder Bremen,Bundesliga,20.0,11,539,1,0,2014-2015,False,0.167
André Ayew,GHA,"FW,MF",Marseille,Ligue 1,24.0,28,2387,10,3,2014-2015,True,0.4902
Jordan Ayew,GHA,"FW,MF",Lorient,Ligue 1,22.0,31,2613,12,5,2014-2015,True,0.5855
Kaan Ayhan,TUR,"DF,MF",Schalke 04,Bundesliga,19.0,15,960,0,0,2014-2015,False,0.0
Floyd Ayité,TOG,"FW,MF",Bastia,Ligue 1,25.0,30,2330,6,2,2014-2015,True,0.309
Ramon Azeez,NGA,MF,Almería,La Liga,21.0,14,846,0,1,2014-2015,True,0.1064
César Azpilicueta,ESP,"DF,MF",Chelsea,Premier League,24.0,29,2482,0,3,2014-2015,True,0.1088
Abdoul Ba,MTN,DF,Lens,Ligue 1,20.0,9,428,0,0,2014-2015,False,0.0
Abdoulaye Ba,SEN,DF,Rayo Vallecano,La Liga,23.0,20,1609,0,0,2014-2015,False,0.0
El-Hadji Ba,MTN,MF,Bastia,Ligue 1,21.0,7,570,0,0,2014-2015,False,0.0
Ludovic Baal,GUF,"DF,MF",Lens,Ligue 1,28.0,27,2406,0,4,2014-2015,True,0.1496
Khouma Babacar,SEN,FW,Fiorentina,Serie A,21.0,20,1146,7,2,2014-2015,True,0.7068
Jean-Sylvain Babin,MTQ,DF,Granada,La Liga,27.0,34,3030,1,0,2014-2015,False,0.0297
Maxime Baca,FRA,DF,Guingamp,Ligue 1,31.0,14,1083,0,0,2014-2015,False,0.0
Carlos Bacca,COL,FW,Sevilla,La Liga,27.0,37,2536,20,6,2014-2015,True,0.9227
Leandro Bacuna,CUW,"DF,MF",Aston Villa,Premier League,22.0,19,983,0,5,2014-2015,True,0.4578
Milan Badelj,CRO,MF,Hamburger SV,Bundesliga,25.0,2,180,0,0,2014-2015,False,0.0
Milan Badelj,CRO,MF,Fiorentina,Serie A,25.0,21,1546,1,1,2014-2015,True,0.1164
Holger Badstuber,GER,DF,Bayern Munich,Bundesliga,25.0,10,769,0,0,2014-2015,False,0.0
Raúl Baena,ESP,MF,Rayo Vallecano,La Liga,25.0,28,2330,2,0,2014-2015,False,0.0773
Ricardo Bagadur,CRO,DF,Fiorentina,Serie A,18.0,1,5,0,0,2014-2015,False,0.0
Jean-Christophe Bahebeck,FRA,"FW,MF",Paris Saint-Germain,Ligue 1,21.0,15,555,2,3,2014-2015,True,0.8108
Farès Bahlouli,FRA,MF,Lyon,Ligue 1,19.0,4,53,0,0,2014-2015,False,0.0
Daniel Baier,GER,MF,Augsburg,Bundesliga,30.0,34,3054,1,1,2014-2015,True,0.0589
Eric Bailly,CIV,DF,Villarreal,La Liga,20.0,10,823,0,0,2014-2015,False,0.0
Eric Bailly,CIV,DF,Espanyol,La Liga,20.0,5,354,0,0,2014-2015,False,0.0
Leighton Baines,ENG,DF,Everton,Premier League,29.0,31,2773,2,9,2014-2015,True,0.357
Chris Baird,NIR,"DF,MF",West Brom,Premier League,32.0,19,806,0,0,2014-2015,False,0.0
Marvin Bakalorz,GER,MF,Paderborn 07,Bundesliga,24.0,29,2171,1,2,2014-2015,True,0.1244
Djamel Bakar,COM,"FW,MF",Montpellier,Ligue 1,25.0,14,279,1,1,2014-2015,True,0.6452
Tiemoué Bakayoko,FRA,MF,Monaco,Ligue 1,19.0,12,836,0,0,2014-2015,False,0.0
Nathan Baker,ENG,DF,Aston Villa,Premier League,23.0,11,764,0,0,2014-2015,False,0.0
Keita Baldé,SEN,"FW,MF",Lazio,Serie A,19.0,23,797,1,0,2014-2015,False,0.1129
Gareth Bale,WAL,"FW,MF",Real Madrid,La Liga,25.0,31,2573,13,9,2014-2015,True,0.7695
Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,26.0,33,2917,0,0,2014-2015,False,0.0
Florent Balmont,FRA,MF,Lille,Ligue 1,34.0,30,2172,1,4,2014-2015,True,0.2072
Mario Balotelli,ITA,FW,Liverpool,Premier League,23.0,16,939,1,0,2014-2015,False,0.0958
Antonio Balzano,ITA,DF,Cagliari,Serie A,28.0,25,1997,0,2,2014-2015,True,0.0901
Federico Balzaretti,ITA,DF,Roma,Serie A,32.0,1,90,0,0,2014-2015,False,0.0
Anderson Bamba,BRA,DF,Eintracht Frankfurt,Bundesliga,26.0,22,1686,0,1,2014-2015,True,0.0534
Jonathan Bamba,CIV,"FW,MF",Saint-Étienne,Ligue 1,18.0,3,17,0,0,2014-2015,False,0.0
Sol Bamba,CIV,DF,Palermo,Serie A,29.0,1,90,0,0,2014-2015,False,0.0
Yacine Bammou,MAR,"FW,MF",Nantes,Ligue 1,22.0,37,2295,4,3,2014-2015,True,0.2745
Éver Banega,ARG,MF,Sevilla,La Liga,26.0,34,2200,3,3,2014-2015,True,0.2455
Ismaël Bangoura,GUI,FW,Nantes,Ligue 1,29.0,15,690,1,0,2014-2015,False,0.1304
Lass Bangoura,GUI,"FW,MF",Rayo Vallecano,La Liga,22.0,1,16,0,0,2014-2015,False,0.0
Lass Bangoura,GUI,"FW,MF",Granada,La Liga,22.0,14,922,0,1,2014-2015,True,0.0976
Barry Bannan,SCO,MF,Crystal Palace,Premier League,24.0,7,138,0,0,2014-2015,False,0.0
Léo Baptistão,BRA,"FW,MF",Rayo Vallecano,La Liga,21.0,25,1776,7,1,2014-2015,True,0.4054
Federico Barba,ITA,DF,Empoli,Serie A,20.0,18,1275,2,1,2014-2015,True,0.2118
Cédric Barbosa,FRA,MF,Evian,Ligue 1,38.0,29,1722,4,2,2014-2015,True,0.3136
Mariano Barbosa,ARG,GK,Sevilla,La Liga,30.0,2,164,0,0,2014-2015,False,0.0
Francesco Bardi,ITA,GK,Chievo,Serie A,22.0,10,900,0,0,2014-2015,False,0.0
Phil Bardsley,SCO,DF,Stoke City,Premier League,29.0,25,2082,0,1,2014-2015,True,0.0432
Nicolò Barella,ITA,MF,Cagliari,Serie A,17.0,3,131,0,0,2014-2015,False,0.0
Philipp Bargfrede,GER,MF,Werder Bremen,Bundesliga,25.0,16,1253,1,0,2014-2015,False,0.0718
Ross Barkley,ENG,MF,Everton,Premier League,20.0,29,1961,2,2,2014-2015,True,0.1836
Ashley Barnes,ENG,"FW,MF",Burnley,Premier League,24.0,35,2414,5,2,2014-2015,True,0.261
Tranquillo Barnetta,SUI,MF,Schalke 04,Bundesliga,29.0,22,1077,3,4,2014-2015,True,0.585
Abdelaziz Barrada,MAR,MF,Marseille,Ligue 1,25.0,9,279,1,0,2014-2015,False,0.3226
Antonio Barragán,ESP,"DF,MF",Valencia,La Liga,27.0,34,2845,1,3,2014-2015,True,0.1265
David Barral,ESP,FW,Levante,La Liga,31.0,35,2624,11,0,2014-2015,False,0.3773
Édgar Barreto,PAR,MF,Palermo,Serie A,30.0,24,2025,2,5,2014-2015,True,0.3111
Lucas Barrios,PAR,FW,Montpellier,Ligue 1,29.0,31,2260,11,3,2014-2015,True,0.5575
Modou Barrow,GAM,"FW,MF",Swansea City,Premier League,21.0,11,286,0,1,2014-2015,True,0.3147
Gareth Barry,ENG,MF,Everton,Premier League,33.0,33,2822,0,2,2014-2015,True,0.0638
Fin Bartels,GER,MF,Werder Bremen,Bundesliga,27.0,29,2416,4,4,2014-2015,True,0.298
Maxime Barthelmé,FRA,"FW,MF",Lorient,Ligue 1,25.0,20,774,0,1,2014-2015,True,0.1163
Kyle Bartley,ENG,DF,Swansea City,Premier League,23.0,7,630,0,0,2014-2015,False,0.0
Joey Barton,ENG,MF,QPR,Premier League,31.0,28,2349,1,3,2014-2015,True,0.1533
Marc Bartra,ESP,DF,Barcelona,La Liga,23.0,14,1036,1,3,2014-2015,True,0.3475
Andrea Barzagli,ITA,DF,Juventus,Serie A,33.0,10,770,0,0,2014-2015,False,0.0
Marko Baša,MNE,DF,Lille,Ligue 1,31.0,30,2570,1,0,2014-2015,False,0.035
Daniele Baselli,ITA,MF,Atalanta,Serie A,22.0,22,1281,2,2,2014-2015,True,0.281
Migjen Basha,ALB,MF,Torino,Serie A,27.0,6,156,1,0,2014-2015,False,0.5769
Davide Bassi,ITA,GK,Empoli,Serie A,29.0,7,630,0,0,2014-2015,False,0.0
Dušan Basta,SRB,"DF,MF",Lazio,Serie A,29.0,27,2381,0,2,2014-2015,True,0.0756
Sacha Bastien,FRA,GK,Reims,Ligue 1,20.0,1,20,0,0,2014-2015,False,0.0
Michy Batshuayi,BEL,FW,Marseille,Ligue 1,20.0,26,911,9,0,2014-2015,False,0.8891
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,24.0,34,3060,0,0,2014-2015,False,0.0
Timo Baumgartl,GER,DF,Stuttgart,Bundesliga,18.0,20,1647,0,0,2014-2015,False,0.0
Julian Baumgartlinger,AUT,"DF,MF",Mainz 05,Bundesliga,26.0,26,2303,0,0,2014-2015,False,0.0
Éric Bauthéac,FRA,"FW,MF",Nice,Ligue 1,26.0,35,2572,8,5,2014-2015,True,0.4549
Moustapha Bayal Sall,SEN,DF,Saint-Étienne,Ligue 1,28.0,23,2050,1,0,2014-2015,False,0.0439
Paul Baysse,FRA,DF,Saint-Étienne,Ligue 1,26.0,9,626,1,0,2014-2015,False,0.1438
Hervé Bazile,HAI,"FW,MF",Caen,Ligue 1,24.0,30,1740,7,3,2014-2015,True,0.5172
Claudio Beauvue,GLP,"FW,MF",Guingamp,Ligue 1,26.0,36,2986,17,3,2014-2015,True,0.6028
Bebé,CPV,"FW,MF",Córdoba,La Liga,24.0,18,1461,0,2,2014-2015,True,0.1232
Andreas Beck,GER,"DF,MF",Hoffenheim,Bundesliga,27.0,33,2965,0,2,2014-2015,True,0.0607
Henri Bedimo,CMR,DF,Lyon,Ligue 1,30.0,27,2155,0,4,2014-2015,True,0.1671
Alejandro Bedoya,USA,"FW,MF",Nantes,Ligue 1,27.0,28,1889,3,1,2014-2015,True,0.1906
Roy Beerens,NED,"FW,MF",Hertha BSC,Bundesliga,26.0,27,2072,4,1,2014-2015,True,0.2172
Asmir Begović,BIH,GK,Stoke City,Premier League,27.0,35,3150,0,0,2014-2015,False,0.0
Valon Behrami,SUI,"DF,MF",Hamburger SV,Bundesliga,29.0,22,1910,0,0,2014-2015,False,0.0
Maximilian Beister,GER,"FW,MF",Hamburger SV,Bundesliga,23.0,5,72,0,0,2014-2015,False,0.0
Ishak Belfodil,ALG,"FW,MF",Parma,Serie A,22.0,23,1366,1,2,2014-2015,True,0.1977
Stefan Bell,GER,DF,Mainz 05,Bundesliga,22.0,31,2790,3,1,2014-2015,True,0.129
Karim Bellarabi,GER,"FW,MF",Leverkusen,Bundesliga,24.0,33,2711,12,6,2014-2015,True,0.5976
Héctor Bellerín,ESP,"DF,MF",Arsenal,Premier League,19.0,20,1563,2,1,2014-2015,True,0.1727
Gianpaolo Bellini,ITA,DF,Atalanta,Serie A,34.0,15,1278,0,0,2014-2015,False,0.0
Nicola Bellomo,ITA,MF,Chievo,Serie A,23.0,5,83,0,1,2014-2015,True,1.0843
François Bellugou,FRA,"DF,MF",Lorient,Ligue 1,27.0,20,1713,2,0,2014-2015,False,0.1051
Nicola Belmonte,ITA,DF,Udinese,Serie A,27.0,2,14,0,0,2014-2015,False,0.0
Valentin Belon,FRA,GK,Lens,Ligue 1,19.0,6,518,0,0,2014-2015,False,0.0
Andrea Belotti,ITA,FW,Palermo,Serie A,20.0,38,1363,6,1,2014-2015,True,0.4622
