player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Patrick van Aanholt,NED,DF,Sunderland,Premier League,23.0,28,2307,0,5,2014-2015,True,0.1951
Rolando Aarons,ENG,MF,Newcastle United,Premier League,18.0,4,132,1,0,2014-2015,False,0.6818
Ignazio Abate,ITA,"DF,MF",Milan,Serie A,27.0,23,1884,0,6,2014-2015,True,0.2866
Christian Abbiati,ITA,GK,Milan,Serie A,37.0,11,906,0,0,2014-2015,False,0.0
Kassim Abdallah,COM,DF,Evian,Ligue 1,27.0,30,2581,0,3,2014-2015,True,0.1046
Aymen Abdennour,TUN,DF,Monaco,Ligue 1,24.0,18,1525,0,0,2014-2015,False,0.0
Rafidine Abdullah,COM,MF,Lorient,Ligue 1,20.0,23,1522,0,1,2014-2015,True,0.0591
Mehdi Abeid,ALG,MF,Newcastle United,Premier League,21.0,13,664,0,0,2014-2015,False,0.0
Vincent Aboubakar,CMR,FW,Lorient,Ligue 1,22.0,2,180,1,0,2014-2015,False,0.5
David Abraham,ARG,DF,Hoffenheim,Bundesliga,28.0,14,894,0,0,2014-2015,False,0.0
Francesco Acerbi,ITA,DF,Sassuolo,Serie A,26.0,32,2878,3,0,2014-2015,False,0.0938
Karim Achahbar,MAR,FW,Guingamp,Ligue 1,18.0,1,14,0,0,2014-2015,False,0.0
Afriyie Acquah,GHA,MF,Sampdoria,Serie A,22.0,10,713,1,0,2014-2015,False,0.1262
Afriyie Acquah,GHA,MF,Parma,Serie A,22.0,14,1119,0,0,2014-2015,False,0.0
Charlie Adam,SCO,MF,Stoke City,Premier League,28.0,29,1511,7,1,2014-2015,True,0.4765
Emmanuel Adebayor,TOG,FW,Tottenham Hotspur,Premier League,30.0,13,813,2,1,2014-2015,True,0.3321
Jordan Adéoti,BEN,"DF,MF",Caen,Ligue 1,25.0,28,1746,0,1,2014-2015,True,0.0515
René Adler,GER,GK,Hamburger SV,Bundesliga,29.0,12,1060,0,0,2014-2015,False,0.0
Issam El Adoua,MAR,DF,Levante,La Liga,27.0,4,290,0,0,2014-2015,False,0.0
Adrián,ESP,GK,West Ham United,Premier League,27.0,38,3392,0,0,2014-2015,False,0.0
Adriano,BRA,"DF,MF",Barcelona,La Liga,29.0,16,962,0,1,2014-2015,True,0.0936
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,33.0,31,2579,18,3,2014-2015,True,0.7328
Kossi Agassa,TOG,GK,Reims,Ligue 1,36.0,17,1440,0,0,2014-2015,False,0.0
Gabriel Agbonlahor,ENG,"FW,MF",Aston Villa,Premier League,27.0,34,2693,6,1,2014-2015,True,0.2339
Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,27.0,31,1946,7,1,2014-2015,True,0.37
Federico Agliardi,ITA,GK,Cesena,Serie A,31.0,10,870,0,0,2014-2015,False,0.0
Alessandro Agostini,ITA,DF,Hellas Verona,Serie A,35.0,22,1911,0,0,2014-2015,False,0.0
Sergio Agüero,ARG,FW,Manchester City,Premier League,26.0,33,2531,26,8,2014-2015,True,1.209
Abel Aguilar,COL,MF,Toulouse,Ligue 1,29.0,21,1663,0,1,2014-2015,True,0.0541
Rodrigo Aguirre,URU,FW,Udinese,Serie A,19.0,7,222,1,0,2014-2015,False,0.4054
Rodrigo Aguirre,URU,FW,Empoli,Serie A,19.0,1,4,0,0,2014-2015,False,0.0
Emmanuel Agyemang-Badu,GHA,MF,Udinese,Serie A,23.0,27,1874,1,1,2014-2015,True,0.0961
Ali Ahamada,COM,GK,Toulouse,Ligue 1,22.0,23,2070,0,0,2014-2015,False,0.0
Stefan Aigner,GER,"FW,MF",Eintracht Frankfurt,Bundesliga,26.0,28,2088,9,0,2014-2015,False,0.3879
Nathan Aké,NED,"DF,MF",Chelsea,Premier League,19.0,1,18,0,0,2014-2015,False,0.0
Ager Aketxe,ESP,MF,Athletic Club,La Liga,20.0,8,299,1,1,2014-2015,True,0.602
Jean-Daniel Akpa-Akpro,CIV,"DF,MF",Toulouse,Ligue 1,21.0,32,2415,2,3,2014-2015,True,0.1863
Chuba Akpom,ENG,"FW,MF",Arsenal,Premier League,18.0,3,30,0,0,2014-2015,False,0.0
David Alaba,AUT,"DF,MF",Bayern Munich,Bundesliga,22.0,19,1665,2,1,2014-2015,True,0.1622
Jordi Alba,ESP,"DF,MF",Barcelona,La Liga,25.0,27,2329,1,3,2014-2015,True,0.1546
Edu Albácar,ESP,DF,Elche,La Liga,34.0,18,1436,3,3,2014-2015,True,0.376
Raúl Albentosa,ESP,DF,Eibar,La Liga,25.0,17,1530,2,2,2014-2015,True,0.2353
Luis Alberto,ESP,"FW,MF",Málaga,La Liga,21.0,15,582,2,1,2014-2015,True,0.4639
Raúl Albiol,ESP,DF,Napoli,Serie A,28.0,35,3100,0,1,2014-2015,True,0.029
Miiko Albornoz,CHI,"DF,MF",Hannover 96,Bundesliga,23.0,28,2185,0,3,2014-2015,True,0.1236
Marc Albrighton,ENG,MF,Leicester City,Premier League,24.0,18,1031,2,3,2014-2015,True,0.4365
Mads Albæk,DEN,MF,Reims,Ligue 1,24.0,12,646,0,0,2014-2015,False,0.0
Paco Alcácer,ESP,FW,Valencia,La Liga,20.0,32,2155,11,5,2014-2015,True,0.6682
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,23.0,7,285,0,0,2014-2015,False,0.0
Antolín Alcaraz,PAR,DF,Everton,Premier League,32.0,8,527,0,0,2014-2015,False,0.0
Toby Alderweireld,BEL,DF,Southampton,Premier League,25.0,26,2261,1,0,2014-2015,False,0.0398
Romain Alessandrini,FRA,"FW,MF",Marseille,Ligue 1,25.0,26,1264,3,4,2014-2015,True,0.4984
Alex,BRA,DF,Milan,Serie A,32.0,21,1394,1,0,2014-2015,False,0.0646
Alexis,ESP,DF,Getafe,La Liga,28.0,29,2507,1,1,2014-2015,True,0.0718
Chaker Alhadhur,COM,"DF,MF",Nantes,Ligue 1,22.0,15,1103,0,0,2014-2015,False,0.0
Rachid Alioui,MAR,FW,Guingamp,Ligue 1,22.0,7,213,0,0,2014-2015,False,0.0
Sami Allagui,TUN,"FW,MF",Hertha BSC,Bundesliga,28.0,1,6,0,0,2014-2015,False,0.0
Sami Allagui,TUN,"FW,MF",Mainz 05,Bundesliga,28.0,19,807,2,0,2014-2015,False,0.223
Allan,BRA,"DF,MF",Udinese,Serie A,23.0,35,3001,1,5,2014-2015,True,0.1799
Joe Allen,WAL,MF,Liverpool,Premier League,24.0,21,1470,1,0,2014-2015,False,0.0612
Hugo Almeida,POR,FW,Cesena,Serie A,30.0,10,684,0,1,2014-2015,True,0.1316
Jak Alnwick,ENG,GK,Newcastle United,Premier League,21.0,6,495,0,0,2014-2015,False,0.0
Baptiste Aloé,FRA,DF,Marseille,Ligue 1,20.0,14,461,1,0,2014-2015,False,0.1952
Marcos Alonso,ESP,"DF,MF",Fiorentina,Serie A,23.0,22,1681,1,3,2014-2015,True,0.2142
Xabi Alonso,ESP,MF,Bayern Munich,Bundesliga,32.0,26,1963,2,3,2014-2015,True,0.2292
Jozy Altidore,USA,FW,Sunderland,Premier League,24.0,11,311,0,0,2014-2015,False,0.0
Halil Altıntop,TUR,"FW,MF",Augsburg,Bundesliga,31.0,31,2460,3,5,2014-2015,True,0.2927
Sone Aluko,NGA,"FW,MF",Hull City,Premier League,25.0,25,1242,1,0,2014-2015,False,0.0725
Cristian Álvarez,ARG,GK,Rayo Vallecano,La Liga,28.0,17,1440,0,0,2014-2015,False,0.0
Ricky Álvarez,ARG,MF,Sunderland,Premier League,26.0,13,497,0,0,2014-2015,False,0.0
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,27.0,38,3350,0,0,2014-2015,False,0.0
Víctor Álvarez,ESP,"DF,MF",Espanyol,La Liga,21.0,18,1224,0,2,2014-2015,True,0.1471
Dani Alves,BRA,"DF,MF",Barcelona,La Liga,31.0,30,2517,0,6,2014-2015,True,0.2145
Diego Alves,BRA,GK,Valencia,La Liga,29.0,37,3311,0,0,2014-2015,False,0.0
Morgan Amalfitano,FRA,MF,West Ham United,Premier League,29.0,24,1184,3,1,2014-2015,True,0.3041
Jordi Amat,IDN,DF,Swansea City,Premier League,22.0,10,588,0,0,2014-2015,False,0.0
Amauri,ITA,FW,Torino,Serie A,34.0,20,864,1,0,2014-2015,False,0.1042
Amauri,ITA,FW,Parma,Serie A,34.0,1,25,0,0,2014-2015,False,0.0
Jordan Amavi,FRA,DF,Nice,Ligue 1,20.0,36,3232,4,0,2014-2015,False,0.1114
Antonio Amaya,ESP,DF,Rayo Vallecano,La Liga,31.0,19,1587,1,0,2014-2015,False,0.0567
Sammy Ameobi,ENG,"FW,MF",Newcastle United,Premier League,22.0,25,1418,2,2,2014-2015,True,0.2539
Shola Ameobi,NGA,FW,Crystal Palace,Premier League,32.0,4,42,0,0,2014-2015,False,0.0
Nadiem Amiri,GER,MF,Hoffenheim,Bundesliga,17.0,7,330,0,0,2014-2015,False,0.0
Nordin Amrabat,MAR,"FW,MF",Málaga,La Liga,27.0,31,2048,6,4,2014-2015,True,0.4395
Anderson,BRA,MF,Manchester Utd,Premier League,26.0,1,21,0,0,2014-2015,False,0.0
Felipe Anderson,BRA,"FW,MF",Lazio,Serie A,21.0,32,2094,10,6,2014-2015,True,0.6877
Florin Andone,ROU,FW,Córdoba,La Liga,21.0,20,1519,5,0,2014-2015,False,0.2962
