player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Ismael Aaneba,FRA,"MF,DF",Strasbourg,Ligue 1,19,3,204,0,0,2018-2019,False,0.0
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,27,36,3195,3,2,2018-2019,False,0.1408
Ignazio Abate,ITA,DF,Milan,Serie A,31,19,1302,0,0,2018-2019,False,0.0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,30,38,3420,0,0,2018-2019,False,0.0
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,25,26,2023,3,0,2018-2019,False,0.1335
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,18,3,32,0,0,2018-2019,False,0.0
David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,32,17,1420,0,0,2018-2019,False,0.0
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,28,10,790,0,0,2018-2019,False,0.0
Francesco Acerbi,ITA,DF,Lazio,Serie A,30,37,3309,3,1,2018-2019,False,0.1088
Afriyie Acquah,GHA,MF,Empoli,Serie A,26,28,1510,2,0,2018-2019,False,0.1192
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,19,10,721,0,2,2018-2019,False,0.2497
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,31,1,90,0,0,2018-2019,False,0.0
Aday,ESP,"MF,DF",Girona,La Liga,30,10,645,0,2,2018-2019,False,0.2791
Khaled Adénon,BEN,DF,Amiens,Ligue 1,33,23,1994,0,0,2018-2019,False,0.0
Claud Adjapong,ITA,MF,Sassuolo,Serie A,20,5,270,1,0,2018-2019,False,0.3333
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,18,7,216,0,0,2018-2019,False,0.0
Ali Adnan Kadhim,IRQ,MF,Atalanta,Serie A,24,3,166,0,0,2018-2019,False,0.0
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,37,20,943,2,0,2018-2019,False,0.1909
Luis Advíncula,PER,"DF,MF",Rayo Vallecano,La Liga,28,28,2389,1,3,2018-2019,False,0.1507
Martin Agirregabiria,ESP,"DF,MF",Alavés,La Liga,22,27,2032,0,0,2018-2019,False,0.0
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,22,13,1050,3,0,2018-2019,False,0.2571
Sergio Agüero,ARG,FW,Manchester City,Premier League,30,33,2459,21,8,2018-2019,False,1.0614
Ruben Aguilar,FRA,MF,Montpellier,Ligue 1,25,29,2528,1,4,2018-2019,False,0.178
Juan Aguilera,ESP,MF,Huesca,La Liga,32,6,344,0,0,2018-2019,False,0.0
Emmanuel Agyemang-Badu,GHA,MF,Udinese,Serie A,27,4,161,0,0,2018-2019,False,0.0
Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,24,17,1075,0,1,2018-2019,False,0.0837
Antonis Aidonis,GER,DF,Stuttgart,Bundesliga,17,2,80,0,0,2018-2019,False,0.0
Ola Aina,NGA,MF,Torino,Serie A,21,30,2160,1,3,2018-2019,False,0.1667
