player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Jacques Abardonado,FRA,DF,Lorient,Division 1,23,28,2235,0,1,2001-2002,True,0.0403
Christian Abbiati,ITA,GK,Milan,Serie A,24,34,3060,0,0,2001-2002,False,0.0
Éric Abidal,FRA,DF,Monaco,Division 1,21,14,698,0,0,2001-2002,False,0.0
Acorán,ESP,MF,Tenerife,La Liga,18,10,378,0,0,2001-2002,False,0.0
Clarence Acuña,CHI,MF,Newcastle United,Premier League,26,16,978,3,0,2001-2002,False,0.2761
Roberto Acuña,PAR,MF,Zaragoza,La Liga,29,26,2273,6,3,2001-2002,True,0.3564
Adaílton,BRA,FW,Hellas Verona,Serie A,24,3,64,1,0,2001-2002,False,1.4062
Frédéric Adam,FRA,MF,Troyes,Division 1,27,2,15,0,0,2001-2002,False,0.0
Tony Adams,ENG,DF,Arsenal,Premier League,34,10,887,0,0,2001-2002,False,0.0
Yakubu Adamu,NGA,DF,St Pauli,Bundesliga,19,4,84,0,0,2001-2002,False,0.0
Daniele Adani,ITA,DF,Fiorentina,Serie A,27,23,1954,2,0,2001-2002,False,0.0921
Ishmael Addo,GHA,FW,Bastia,Division 1,19,2,29,0,0,2001-2002,False,0.0
Otto Addo,GHA,MF,Dortmund,Bundesliga,26,8,496,0,1,2001-2002,True,0.1815
Emmanuel Adebayor,TOG,FW,Metz,Division 1,17,10,709,2,1,2001-2002,True,0.3808
Adhemar,BRA,FW,Stuttgart,Bundesliga,29,28,1293,2,4,2001-2002,True,0.4176
Madjid Adjaoud,ALG,MF,Sedan,Division 1,29,8,278,0,0,2001-2002,False,0.0
Adriano,BRA,FW,Fiorentina,Serie A,19,15,1313,6,4,2001-2002,True,0.6855
Adriano,BRA,FW,Inter,Serie A,19,8,216,1,0,2001-2002,False,0.4167
Silvio Adzic,GER,"FW,MF",Kaiserslautern,Bundesliga,20,2,37,0,0,2001-2002,False,0.0
Kodjo Afanou,FRA,DF,Bordeaux,Division 1,23,22,1608,1,0,2001-2002,False,0.056
Victor Agali,NGA,FW,Schalke 04,Bundesliga,22,22,1119,4,0,2001-2002,False,0.3217
David Aganzo,ESP,FW,Espanyol,La Liga,20,11,353,0,0,2001-2002,False,0.0
Kuami Agboh,TOG,MF,Auxerre,Division 1,23,1,45,0,0,2001-2002,False,0.0
Agostinho,POR,MF,Paris Saint-Germain,Division 1,25,4,92,0,0,2001-2002,False,0.0
Alessandro Agostini,ITA,DF,Fiorentina,Serie A,22,13,639,0,0,2001-2002,False,0.0
Paul Agostino,AUS,FW,1860 Munich,Bundesliga,26,19,1217,5,0,2001-2002,False,0.3698
Xavier Aguado,ESP,DF,Zaragoza,La Liga,33,22,1902,1,0,2001-2002,False,0.0473
Hassan Ahamada,FRA,"FW,MF",Nantes,Division 1,20,16,658,2,1,2001-2002,True,0.4103
Lawrence Aidoo,GHA,"FW,MF",Gladbach,Bundesliga,19,14,878,2,2,2001-2002,True,0.41
Pablo Aimar,ARG,MF,Valencia,La Liga,21,33,2118,4,7,2001-2002,True,0.4674
Ade Akinbiyi,NGA,FW,Leicester City,Premier League,26,21,1528,2,1,2001-2002,True,0.1767
Charles Akonnor,GHA,MF,Wolfsburg,Bundesliga,27,23,1989,1,1,2001-2002,True,0.0905
Bruno Akrapović,BIH,MF,Energie Cottbus,Bundesliga,33,30,2458,0,0,2001-2002,False,0.0
David Albelda,ESP,"DF,MF",Valencia,La Liga,23,32,2759,2,0,2001-2002,False,0.0652
Demetrio Albertini,ITA,"FW,MF",Milan,Serie A,29,24,1827,0,0,2001-2002,False,0.0
Alberto,ESP,GK,Real Sociedad,La Liga,32,18,1620,0,0,2001-2002,False,0.0
Alberto,ESP,MF,Las Palmas,La Liga,24,8,516,0,0,2001-2002,False,0.0
Luiz Alberto,BRA,DF,Real Sociedad,La Liga,23,30,2655,6,0,2001-2002,False,0.2034
Jörg Albertz,GER,MF,Hamburger SV,Bundesliga,30,24,1872,4,3,2001-2002,True,0.3365
Philip Albrecht,GER,FW,St Pauli,Bundesliga,21,1,15,0,0,2001-2002,False,0.0
Alcázar,ESP,DF,Rayo Vallecano,La Liga,34,22,1679,0,0,2001-2002,False,0.0
Aldair,BRA,DF,Roma,Serie A,35,16,1312,0,0,2001-2002,False,0.0
Alberto Alejandro,NAN,FW,Real Sociedad,La Liga,21,3,31,0,0,2001-2002,False,0.0
Niclas Alexandersson,SWE,MF,Everton,Premier League,29,31,2365,2,4,2001-2002,True,0.2283
Alexis,ESP,DF,Tenerife,La Liga,27,18,1421,1,0,2001-2002,False,0.0633
Pablo Alfaro,ESP,DF,Sevilla,La Liga,32,36,3212,1,2,2001-2002,True,0.0841
Alfredo,ESP,MF,Osasuna,La Liga,28,27,2166,3,2,2001-2002,True,0.2078
Jimmy Algerino,FRA,DF,Venezia,Serie A,29,8,615,0,0,2001-2002,False,0.0
Jimmy Algerino,FRA,DF,Sochaux,Division 1,29,11,958,0,2,2001-2002,True,0.1879
Jérémie Aliadière,FRA,"FW,MF",Arsenal,Premier League,18,1,10,0,0,2001-2002,False,0.0
Hervé Alicarte,FRA,DF,Bordeaux,Division 1,26,5,308,0,0,2001-2002,False,0.0
Bittor Alkiza,ESP,MF,Athletic Club,La Liga,30,33,2584,1,2,2001-2002,True,0.1045
Rafael Alkorta,ESP,DF,Athletic Club,La Liga,32,6,474,1,0,2001-2002,False,0.1899
Éric Allibert,FRA,GK,Lille,Division 1,25,1,90,0,0,2001-2002,False,0.0
Matías Almeyda,ARG,"DF,MF",Parma,Serie A,27,18,1447,0,0,2001-2002,False,0.0
Sergio Almirón,ARG,MF,Udinese,Serie A,20,10,373,0,0,2001-2002,False,0.0
John Aloisi,AUS,FW,Osasuna,La Liga,25,29,1905,9,3,2001-2002,True,0.5669
Aloísio,BRA,FW,Paris Saint-Germain,Division 1,26,29,1724,6,3,2001-2002,True,0.4698
Edu Alonso,ESP,MF,Las Palmas,La Liga,27,34,2701,0,2,2001-2002,True,0.0666
Iván Alonso,URU,FW,Alavés,La Liga,22,26,1073,2,0,2001-2002,False,0.1678
Mikel Alonso,ESP,MF,Real Sociedad,La Liga,21,1,45,0,0,2001-2002,False,0.0
Xabi Alonso,ESP,MF,Real Sociedad,La Liga,19,30,2442,3,1,2001-2002,True,0.1474
Jérôme Alonzo,FRA,GK,Paris Saint-Germain,Division 1,28,6,540,0,0,2001-2002,False,0.0
Quique Álvarez,ESP,DF,Villarreal,La Liga,26,35,3074,1,0,2001-2002,False,0.0293
Álvaro,BRA,DF,Las Palmas,La Liga,23,10,771,0,0,2001-2002,False,0.0
Alex Alves,BRA,FW,Hertha BSC,Bundesliga,26,22,1493,7,3,2001-2002,True,0.6028
Moudachirou Amadou,BEN,DF,St Pauli,Bundesliga,29,21,1589,0,0,2001-2002,False,0.0
Amaral,BRA,MF,Fiorentina,Serie A,28,25,1742,0,0,2001-2002,False,0.0
Leandro Amaral,BRA,FW,Fiorentina,Serie A,23,1,37,0,0,2001-2002,False,0.0
Gabriel Amato,ARG,FW,Real Betis,La Liga,30,25,1008,5,0,2001-2002,False,0.4464
Amauri,ITA,FW,Piacenza,Serie A,21,7,75,0,0,2001-2002,False,0.0
José Amavisca,ESP,"FW,MF",Dep La Coruña,La Liga,30,28,1621,3,3,2001-2002,True,0.3331
Darren Ambrose,ENG,"FW,MF",Ipswich Town,Premier League,17,1,6,0,0,2001-2002,False,0.0
Gabriele Ambrosetti,ITA,MF,Piacenza,Serie A,27,14,438,0,0,2001-2002,False,0.0
Massimo Ambrosini,ITA,MF,Milan,Serie A,24,9,591,3,0,2001-2002,False,0.4569
Marco Ambrosio,ITA,GK,Chievo,Serie A,28,2,143,0,0,2001-2002,False,0.0
Shola Ameobi,NGA,FW,Newcastle United,Premier League,19,15,351,0,0,2001-2002,False,0.0
Guillermo Amor,ESP,MF,Villarreal,La Liga,33,29,1987,1,0,2001-2002,False,0.0453
Christian Amoroso,ITA,MF,Fiorentina,Serie A,24,28,2366,1,1,2001-2002,True,0.0761
Márcio Amoroso,BRA,FW,Dortmund,Bundesliga,27,31,2125,18,4,2001-2002,True,0.9318
Nicola Amoruso,ITA,FW,Juventus,Serie A,26,9,294,0,2,2001-2002,True,0.6122
Gharib Amzine,MAR,MF,Troyes,Division 1,28,21,1484,1,1,2001-2002,True,0.1213
Sonny Anderson,BRA,FW,Lyon,Division 1,30,25,1912,14,2,2001-2002,True,0.7531
Daniel Andersson,SWE,"DF,MF",Venezia,Serie A,23,28,2237,0,1,2001-2002,True,0.0402
Patrik Andersson,SWE,DF,Barcelona,La Liga,29,12,975,0,0,2001-2002,False,0.0
Darren Anderton,ENG,MF,Tottenham Hotspur,Premier League,29,35,2928,3,5,2001-2002,True,0.2459
Pierre-Yves André,FRA,FW,Nantes,Division 1,27,26,1427,4,2,2001-2002,True,0.3784
Nicolas Anelka,FRA,FW,Liverpool,Premier League,22,20,1263,4,2,2001-2002,True,0.4276
Nicolas Anelka,FRA,FW,Paris Saint-Germain,Division 1,22,12,1002,2,1,2001-2002,True,0.2695
Miguel Ángel Angulo,ESP,"FW,MF",Valencia,La Liga,24,26,1739,4,0,2001-2002,False,0.207
Miguel Ángel Benítez,PAR,FW,Espanyol,La Liga,31,4,84,0,0,2001-2002,False,0.0
Miguel Ángel,ESP,MF,Málaga,La Liga,22,31,2407,1,1,2001-2002,True,0.0748
Miguel Ángel Nadal,ESP,"DF,MF",Mallorca,La Liga,35,37,3330,2,0,2001-2002,False,0.0541
Jocelyn Angloma,FRA,"DF,MF",Valencia,La Liga,35,3,178,0,0,2001-2002,False,0.0
Iván Ania,ESP,MF,Tenerife,La Liga,23,28,1871,4,2,2001-2002,True,0.2886
Roda Antar,LIB,MF,Hamburger SV,Bundesliga,20,16,881,1,1,2001-2002,True,0.2043
José Antonio Pikabea,ESP,DF,Real Sociedad,La Liga,30,6,158,0,0,2001-2002,False,0.0
Juan Antonio Pizzi,ESP,FW,Villarreal,La Liga,33,13,916,1,1,2001-2002,True,0.1965
José Antonio Reyes,ESP,MF,Sevilla,La Liga,17,29,1793,8,2,2001-2002,True,0.502
Francesco Antonioli,ITA,GK,Roma,Serie A,31,30,2663,0,0,2001-2002,False,0.0
