player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Alcázar,ESP,DF,Rayo Vallecano,La Liga,33,35,2931,0,3,2000-2001,True,0.0921
Aldair,BRA,DF,Roma,Serie A,34,15,1218,0,0,2000-2001,False,0.0
Alberto Alejandro,NAN,FW,Real Sociedad,La Liga,20,3,11,0,0,2000-2001,False,0.0
Rati Aleksidze,GEO,FW,Chelsea,Premier League,21,2,18,0,0,2000-2001,False,0.0
Álex,ESP,MF,Las Palmas,La Liga,25,1,29,0,0,2000-2001,False,0.0
Niclas Alexandersson,SWE,MF,Everton,Premier League,28,20,1347,2,1,2000-2001,True,0.2004
Alfredo,ESP,MF,Osasuna,La Liga,27,19,1365,1,2,2000-2001,True,0.1978
Raúl Alfredo Cascini,ARG,MF,Toulouse,Division 1,29,29,2052,1,1,2000-2001,True,0.0877
Jimmy Algerino,FRA,DF,Paris Saint-Germain,Division 1,28,21,1730,0,1,2000-2001,True,0.052
Hervé Alicarte,FRA,DF,Toulouse,Division 1,25,10,795,0,1,2000-2001,True,0.1132
Bittor Alkiza,ESP,MF,Athletic Club,La Liga,29,22,1560,1,1,2000-2001,True,0.1154
Rafael Alkorta,ESP,DF,Athletic Club,La Liga,31,17,1416,0,0,2000-2001,False,0.0
Éric Allibert,FRA,GK,Lille,Division 1,24,2,109,0,0,2000-2001,False,0.0
Danny Allsopp,AUS,FW,Manchester City,Premier League,21,1,4,0,0,2000-2001,False,0.0
Matías Almeyda,ARG,"DF,MF",Parma,Serie A,26,16,1233,0,1,2000-2001,True,0.073
John Aloisi,AUS,FW,Coventry City,Premier League,24,18,799,3,2,2000-2001,True,0.5632
Aloísio,BRA,FW,Saint-Étienne,Division 1,25,10,690,2,1,2000-2001,True,0.3913
Diego Alonso,URU,FW,Valencia,La Liga,25,20,697,2,2,2000-2001,True,0.5165
Edu Alonso,ESP,MF,Las Palmas,La Liga,26,29,2242,0,4,2000-2001,True,0.1606
Iván Alonso,URU,FW,Alavés,La Liga,21,32,1191,8,2,2000-2001,True,0.7557
Mikel Alonso,ESP,MF,Real Sociedad,La Liga,20,1,6,0,0,2000-2001,False,0.0
Txema Alonso,ESP,"DF,MF",Racing Sant,La Liga,29,16,1275,0,0,2000-2001,False,0.0
Xabi Alonso,ESP,MF,Real Sociedad,La Liga,18,18,1299,0,5,2000-2001,True,0.3464
Jérôme Alonzo,FRA,GK,Saint-Étienne,Division 1,27,5,450,0,0,2000-2001,False,0.0
Ünal Alpuğan,GER,MF,Schalke 04,Bundesliga,26,1,90,0,0,2000-2001,False,0.0
Armando Álvarez,ESP,DF,Mallorca,La Liga,30,14,615,0,0,2000-2001,False,0.0
Julio Álvarez,VEN,MF,Racing Sant,La Liga,19,13,904,0,2,2000-2001,True,0.1991
Quique Álvarez,ESP,DF,Villarreal,La Liga,25,33,2936,2,1,2000-2001,True,0.092
Álvaro,BRA,DF,Las Palmas,La Liga,22,29,2610,4,1,2000-2001,True,0.1724
Alex Alves,BRA,FW,Hertha BSC,Bundesliga,25,23,1731,8,3,2000-2001,True,0.5719
Amador,ESP,GK,Las Palmas,La Liga,31,1,90,0,0,2000-2001,False,0.0
Amaral,BRA,MF,Fiorentina,Serie A,27,8,445,0,0,2000-2001,False,0.0
Leandro Amaral,BRA,FW,Fiorentina,Serie A,22,19,846,5,3,2000-2001,True,0.8511
Amauri,ITA,FW,Napoli,Serie A,20,6,188,1,0,2000-2001,False,0.4787
José Amavisca,ESP,"FW,MF",Racing Sant,La Liga,29,37,3153,7,3,2000-2001,True,0.2854
Massimo Ambrosini,ITA,MF,Milan,Serie A,23,16,1372,3,1,2000-2001,True,0.2624
Shola Ameobi,NGA,FW,Newcastle United,Premier League,18,20,1094,2,2,2000-2001,True,0.3291
Daniel Amieva,ESP,MF,Oviedo,La Liga,24,29,2108,0,3,2000-2001,True,0.1281
Guillermo Amor,ESP,MF,Villarreal,La Liga,32,36,2817,0,3,2000-2001,True,0.0958
Christian Amoroso,ITA,MF,Fiorentina,Serie A,23,26,1931,1,2,2000-2001,True,0.1398
Márcio Amoroso,BRA,FW,Parma,Serie A,26,23,1390,7,5,2000-2001,True,0.777
Nicola Amoruso,ITA,FW,Napoli,Serie A,25,30,2558,10,2,2000-2001,True,0.4222
Gharib Amzine,MAR,MF,Strasbourg,Division 1,27,16,1295,2,0,2000-2001,False,0.139
Luigi Anaclerio,ITA,FW,Bari,Serie A,19,6,269,0,0,2000-2001,False,0.0
Michele Anaclerio,ITA,DF,Bari,Serie A,18,1,8,0,0,2000-2001,False,0.0
Sonny Anderson,BRA,FW,Lyon,Division 1,29,29,2451,22,3,2000-2001,True,0.918
Daniel Andersson,SWE,"DF,MF",Bari,Serie A,22,32,2861,8,3,2000-2001,True,0.346
Patrik Andersson,SWE,DF,Bayern Munich,Bundesliga,28,22,1847,1,1,2000-2001,True,0.0975
Darren Anderton,ENG,MF,Tottenham Hotspur,Premier League,28,23,1927,2,3,2000-2001,True,0.2335
Tore André Flo,NOR,FW,Chelsea,Premier League,27,14,707,3,3,2000-2001,True,0.7638
Pierre-Yves André,FRA,FW,Bastia,Division 1,26,32,2691,10,5,2000-2001,True,0.5017
Nicolas Anelka,FRA,FW,Paris Saint-Germain,Division 1,21,27,2122,8,4,2000-2001,True,0.509
Miguel Ángel Angulo,ESP,"FW,MF",Valencia,La Liga,23,28,1883,0,5,2000-2001,True,0.239
Miguel Ángel Benítez,PAR,FW,Espanyol,La Liga,30,4,83,0,0,2000-2001,False,0.0
Ángel Luis,ESP,FW,Osasuna,La Liga,26,17,531,0,0,2000-2001,False,0.0
Miguel Ángel Nadal,ESP,"DF,MF",Mallorca,La Liga,34,36,3207,3,1,2000-2001,True,0.1123
Miguel Ángel Soria,ESP,DF,Numancia,La Liga,26,18,1456,0,0,2000-2001,False,0.0
Jocelyn Angloma,FRA,"DF,MF",Valencia,La Liga,34,27,2396,0,3,2000-2001,True,0.1127
Iván Ania,ESP,MF,Oviedo,La Liga,22,36,2470,5,4,2000-2001,True,0.3279
Edwin van Ankeren,NED,FW,Guingamp,Division 1,31,7,221,0,0,2000-2001,False,0.0
Mikel Antía,ESP,DF,Numancia,La Liga,27,19,1642,0,0,2000-2001,False,0.0
José Antonio Culebras,ESP,DF,Numancia,La Liga,21,5,360,0,0,2000-2001,False,0.0
José Antonio Pikabea,ESP,DF,Real Sociedad,La Liga,29,26,1853,0,0,2000-2001,False,0.0
Francesco Antonioli,ITA,GK,Roma,Serie A,30,26,2340,0,0,2000-2001,False,0.0
Luigi Apolloni,ITA,DF,Hellas Verona,Serie A,33,23,1813,0,0,2000-2001,False,0.0
Stephen Appiah,GHA,MF,Parma,Serie A,19,15,852,0,0,2000-2001,False,0.0
Santiago Aragón,ESP,MF,Zaragoza,La Liga,32,12,543,0,1,2000-2001,True,0.1657
Mikel Aranburu,ESP,MF,Real Sociedad,La Liga,21,16,1194,0,0,2000-2001,False,0.0
Agustín Aranzábal,ESP,DF,Real Sociedad,La Liga,27,30,2318,1,3,2000-2001,True,0.1553
Daniel Aranzubia,ESP,GK,Athletic Club,La Liga,20,2,180,0,0,2000-2001,False,0.0
Leonardo Araújo,BRA,"DF,MF",Milan,Serie A,30,22,1197,3,1,2000-2001,True,0.3008
Julio Arca,ARG,"DF,MF",Sunderland,Premier League,19,27,2145,2,4,2000-2001,True,0.2517
Alfredo Argensó,ESP,GK,Espanyol,La Liga,25,3,270,0,0,2000-2001,False,0.0
Pierre Aristouy,FRA,FW,Nantes,Division 1,20,1,19,0,0,2000-2001,False,0.0
Sylvain Armand,FRA,DF,Nantes,Division 1,19,23,1666,2,0,2000-2001,False,0.108
Mariano Armentano,ARG,FW,Osasuna,La Liga,26,26,1365,5,0,2000-2001,False,0.3297
Alun Armstrong,ENG,FW,Ipswich Town,Premier League,25,21,1486,8,2,2000-2001,True,0.6057
Chris Armstrong,ENG,FW,Tottenham Hotspur,Premier League,29,9,363,2,0,2000-2001,False,0.4959
Francesc Arnau,ESP,GK,Barcelona,La Liga,25,6,479,0,0,2000-2001,False,0.0
John Arne Riise,NOR,"DF,MF",Monaco,Division 1,19,16,821,3,0,2000-2001,False,0.3289
Frédéric Arpinon,FRA,MF,Troyes,Division 1,31,17,1023,1,0,2000-2001,False,0.088
Óscar Arpón,ESP,MF,Osasuna,La Liga,25,19,743,1,2,2000-2001,True,0.3634
Dominique Arribagé,FRA,DF,Rennes,Division 1,29,27,2430,1,0,2000-2001,False,0.037
Rodolfo Arruabarrena,ARG,DF,Villarreal,La Liga,25,37,3330,2,1,2000-2001,True,0.0811
Arteaga,ESP,MF,Espanyol,La Liga,31,25,1408,3,0,2000-2001,False,0.1918
Mikel Arteta,ESP,MF,Paris Saint-Germain,Division 1,18,6,443,1,0,2000-2001,False,0.2032
Archil Arveladze,GEO,FW,Köln,Bundesliga,27,26,1296,7,1,2000-2001,True,0.5556
Magnus Arvidsson,SWE,FW,Hansa Rostock,Bundesliga,27,29,1914,4,1,2000-2001,True,0.2351
Claudio Arzeno,ARG,DF,Racing Sant,La Liga,29,29,2610,3,0,2000-2001,False,0.1034
Gerald Asamoah,GER,"FW,MF",Schalke 04,Bundesliga,21,29,2044,4,2,2000-2001,True,0.2642
David Asensio López,NAN,,Athletic Club,La Liga,20,2,13,0,0,2000-2001,False,0.0
Mattias Asper,SWE,GK,Real Sociedad,La Liga,26,10,900,0,0,2000-2001,False,0.0
Éric Assati,REU,DF,Auxerre,Division 1,25,7,517,0,0,2000-2001,False,0.0
Marcos Assunção,BRA,MF,Roma,Serie A,24,12,580,2,3,2000-2001,True,0.7759
Martín Astudillo,ARG,MF,Alavés,La Liga,22,25,2127,0,1,2000-2001,True,0.0423
Ludovic Asuar,FRA,MF,Metz,Division 1,23,9,300,0,0,2000-2001,False,0.0
Peter Atherton,ENG,"DF,MF",Bradford City,Premier League,30,25,2211,0,2,2000-2001,True,0.0814
Athirson,BRA,"DF,MF",Juventus,Serie A,23,5,186,0,0,2000-2001,False,0.0
Jean-Marie Aubry,FRA,GK,Monaco,Division 1,31,10,819,0,0,2000-2001,False,0.0
Fabien Audard,FRA,GK,Toulouse,Division 1,22,5,434,0,0,2000-2001,False,0.0
Fábio Aurélio,BRA,"DF,MF",Valencia,La Liga,20,7,630,0,1,2000-2001,True,0.1429
Marco Aurélio,BRA,DF,Vicenza,Serie A,33,18,1421,0,0,2000-2001,False,0.0
Roberto Ayala,ARG,DF,Valencia,La Liga,27,28,2436,1,0,2000-2001,False,0.0369
Jorge Azkoitia,ESP,MF,Alavés,La Liga,26,11,432,1,0,2000-2001,False,0.2083
Ibrahim Ba,FRA,MF,Milan,Serie A,26,5,227,0,1,2000-2001,True,0.3965
Celestine Babayaro,NGA,"DF,MF",Chelsea,Premier League,21,24,1653,0,5,2000-2001,True,0.2722
Markus Babbel,GER,DF,Liverpool,Premier League,27,38,3354,3,3,2000-2001,True,0.161
Marko Babić,CRO,"DF,MF",Leverkusen,Bundesliga,19,3,81,0,0,2000-2001,False,0.0
Dario Baccin,ITA,DF,Napoli,Serie A,23,25,1953,1,0,2000-2001,False,0.0461
Jonathan Bachini,ITA,MF,Brescia,Serie A,25,27,2008,2,2,2000-2001,True,0.1793
Alexander Bade,GER,GK,Köln,Bundesliga,29,5,450,0,0,2000-2001,False,0.0
Mamadou Bagayoko,MLI,FW,Strasbourg,Division 1,21,15,1103,0,0,2000-2001,False,0.0
Dino Baggio,ITA,MF,Lazio,Serie A,29,25,2177,1,1,2000-2001,True,0.0827
Roberto Baggio,ITA,"FW,MF",Brescia,Serie A,33,24,2154,10,9,2000-2001,True,0.7939
Karim Bagheri,IRN,MF,Charlton Athletic,Premier League,26,1,18,0,0,2000-2001,False,0.0
Schumann Bah,GUI,DF,Metz,Division 1,25,3,191,0,0,2000-2001,False,0.0
Baiano,BRA,"DF,MF",Las Palmas,La Liga,22,9,572,0,1,2000-2001,True,0.1573
Davide Baiocco,ITA,MF,Perugia,Serie A,25,31,2692,1,1,2000-2001,True,0.0669
Jacek Bąk,POL,DF,Lyon,Division 1,27,5,186,0,0,2000-2001,False,0.0
Dagui Bakari,CIV,FW,Lille,Division 1,25,31,1847,5,2,2000-2001,True,0.3411
Ibrahima Bakayoko,CIV,FW,Marseille,Division 1,23,26,1311,3,1,2000-2001,True,0.2746
Eirik Bakke,NOR,MF,Leeds United,Premier League,22,29,2085,2,1,2000-2001,True,0.1295
Krasimir Balakov,BUL,MF,Stuttgart,Bundesliga,34,28,2335,6,6,2000-2001,True,0.4625
Abel Balbo,ARG,FW,Roma,Serie A,34,2,13,0,0,2000-2001,False,0.0
Bobo Baldé,GUI,DF,Toulouse,Division 1,24,24,2038,1,0,2000-2001,False,0.0442
Francesco Baldini,ITA,DF,Napoli,Serie A,26,30,2613,0,0,2000-2001,False,0.0
Michael Ball,ENG,DF,Everton,Premier League,20,29,2573,3,0,2000-2001,False,0.1049
Michael Ballack,GER,MF,Leverkusen,Bundesliga,23,27,2295,7,3,2000-2001,True,0.3922
David Balleri,ITA,DF,Lecce,Serie A,31,27,1916,1,0,2000-2001,False,0.047
Sergio Ballesteros,ESP,DF,Rayo Vallecano,La Liga,24,36,3154,2,0,2000-2001,False,0.0571
Marco Ballotta,ITA,GK,Inter,Serie A,36,6,540,0,0,2000-2001,False,0.0
Giacomo Banchelli,ITA,FW,Atalanta,Serie A,27,1,14,0,0,2000-2001,False,0.0
Ricardo Bango,ESP,MF,Oviedo,La Liga,31,8,336,0,0,2000-2001,False,0.0
Ivica Banović,CRO,MF,Werder Bremen,Bundesliga,19,17,782,0,3,2000-2001,True,0.3453
Hélder Baptista,POR,MF,Rayo Vallecano,La Liga,28,27,1897,1,1,2000-2001,True,0.0949
Rubén Baraja,ESP,MF,Valencia,La Liga,25,35,2921,4,4,2000-2001,True,0.2465
Miroslav Baranek,CZE,MF,Köln,Bundesliga,26,16,629,2,0,2000-2001,False,0.2862
Sergej Barbarez,BIH,"FW,MF",Hamburger SV,Bundesliga,28,30,2497,22,4,2000-2001,True,0.9371
Constantin Barbu,ROU,MF,Numancia,La Liga,29,8,273,0,0,2000-2001,False,0.0
Cédric Bardon,FRA,"FW,MF",Rennes,Division 1,23,6,151,0,0,2000-2001,False,0.0
Yannick Baret,FRA,MF,Guingamp,Division 1,27,32,2726,3,3,2000-2001,True,0.1981
Sergi Barjuán,ESP,DF,Barcelona,La Liga,28,33,2556,1,0,2000-2001,False,0.0352
José Barkero,ESP,MF,Toulouse,Division 1,21,3,135,0,0,2000-2001,False,0.0
Nick Barmby,ENG,"FW,MF",Liverpool,Premier League,26,26,1834,2,3,2000-2001,True,0.2454
Roberto Baronio,ITA,MF,Lazio,Serie A,22,12,580,0,0,2000-2001,False,0.0
Gustavo Barros Schelotto,ARG,MF,Villarreal,La Liga,27,8,269,0,2,2000-2001,True,0.6691
Gareth Barry,ENG,MF,Aston Villa,Premier League,19,30,2501,0,0,2000-2001,False,0.0
Gustavo Bartelt,ARG,FW,Rayo Vallecano,La Liga,25,12,323,1,1,2000-2001,True,0.5573
Mike Barten,GER,DF,Werder Bremen,Bundesliga,26,9,538,0,0,2000-2001,False,0.0
Fabien Barthez,FRA,GK,Manchester Utd,Premier League,29,30,2672,0,0,2000-2001,False,0.0
Shaun Bartlett,RSA,FW,Charlton Athletic,Premier League,27,18,1437,7,1,2000-2001,True,0.501
Giovanni Bartolucci,ITA,DF,Fiorentina,Serie A,16,1,90,0,0,2000-2001,False,0.0
Warren Barton,ENG,DF,Newcastle United,Premier League,31,29,2297,0,0,2000-2001,False,0.0
Patrick Barul,FRA,DF,Lens,Division 1,22,8,401,0,0,2000-2001,False,0.0
Mario Basler,GER,"FW,MF",Kaiserslautern,Bundesliga,31,21,1761,4,3,2000-2001,True,0.3578
Christian Bassedas,ARG,"DF,MF",Newcastle United,Premier League,27,22,1487,1,0,2000-2001,False,0.0605
Christian Bassila,FRA,"DF,MF",West Ham United,Premier League,22,3,78,0,0,2000-2001,False,0.0
Christian Bassila,FRA,"DF,MF",Rennes,Division 1,22,1,10,0,0,2000-2001,False,0.0
Anthony Basso,FRA,GK,Udinese,Serie A,21,1,45,0,0,2000-2001,False,0.0
Basti,ESP,FW,Málaga,La Liga,26,6,157,0,1,2000-2001,True,0.5732
Christophe Bastien,FRA,MF,Metz,Division 1,24,25,1831,2,1,2000-2001,True,0.1475
Bruno Basto,POR,DF,Bordeaux,Division 1,22,19,562,0,0,2000-2001,False,0.0
Yıldıray Baştürk,TUR,MF,Bochum,Bundesliga,21,29,2548,4,4,2000-2001,True,0.2826
Gérald Baticle,FRA,FW,Metz,Division 1,30,34,3000,15,1,2000-2001,True,0.48
Gabriel Batistuta,ARG,FW,Roma,Serie A,31,28,2453,20,2,2000-2001,True,0.8072
Laurent Batlles,FRA,MF,Bordeaux,Division 1,24,32,2254,3,3,2000-2001,True,0.2396
David Batty,ENG,MF,Leeds United,Premier League,31,16,1171,0,0,2000-2001,False,0.0
Frank Baumann,GER,"DF,MF",Werder Bremen,Bundesliga,24,30,2617,2,2,2000-2001,True,0.1376
Steffen Baumgart,GER,FW,Hansa Rostock,Bundesliga,28,29,1698,2,2,2000-2001,True,0.212
Zoubeir Baya,TUN,MF,Freiburg,Bundesliga,29,28,1719,5,3,2000-2001,True,0.4188
Henryk Bałuszyński,POL,FW,Bochum,Bundesliga,28,11,439,0,0,2000-2001,False,0.0
Peter Beagrie,ENG,FW,Bradford City,Premier League,34,19,917,1,1,2000-2001,True,0.1963
Nicola Beati,ITA,MF,Inter,Serie A,17,1,45,0,0,2000-2001,False,0.0
James Beattie,ENG,FW,Southampton,Premier League,22,37,2612,11,4,2000-2001,True,0.5168
Xavier Bécas,FRA,MF,Sedan,Division 1,21,5,77,0,0,2000-2001,False,0.0
Mikkel Beck,DEN,FW,Lille,Division 1,27,21,1094,4,2,2000-2001,True,0.4936
David Beckham,ENG,MF,Manchester Utd,Premier League,25,31,2648,9,12,2000-2001,True,0.7137
Maurizio Bedin,ITA,MF,Lecce,Serie A,21,9,157,0,0,2000-2001,False,0.0
Christian Beeck,GER,DF,Energie Cottbus,Bundesliga,28,17,1379,0,0,2000-2001,False,0.0
Massimo Beghetto,ITA,DF,Vicenza,Serie A,31,18,966,0,0,2000-2001,False,0.0
Ibon Begoña,ESP,DF,Alavés,La Liga,26,31,2104,2,4,2000-2001,True,0.2567
Markus Beierle,GER,FW,1860 Munich,Bundesliga,28,18,861,2,1,2000-2001,True,0.3136
Stefan Beinlich,GER,MF,Hertha BSC,Bundesliga,28,15,1298,5,7,2000-2001,True,0.832
Radek Bejbl,CZE,"DF,MF",Lens,Division 1,27,25,1988,0,0,2000-2001,False,0.0
Emanuele Belardi,ITA,GK,Reggina,Serie A,22,1,1,0,0,2000-2001,False,0.0
Craig Bellamy,WAL,FW,Coventry City,Premier League,21,34,2758,6,1,2000-2001,True,0.2284
Antonio Bellavista,ITA,MF,Bari,Serie A,22,28,2234,1,2,2000-2001,True,0.1209
Gianpaolo Bellini,ITA,DF,Atalanta,Serie A,20,23,1118,0,0,2000-2001,False,0.0
Gonzalo Belloso,ARG,FW,Strasbourg,Division 1,26,12,668,0,0,2000-2001,False,0.0
Claudio Bellucci,ITA,FW,Napoli,Serie A,25,18,1121,2,4,2000-2001,True,0.4817
Djamel Belmadi,ALG,MF,Marseille,Division 1,24,29,2145,8,3,2000-2001,True,0.4615
Michał Bemben,GER,"DF,MF",Bochum,Bundesliga,24,17,995,0,0,2000-2001,False,0.0
Francis Benali,ENG,DF,Southampton,Premier League,31,4,65,0,0,2000-2001,False,0.0
Ali Benarbia,ALG,MF,Paris Saint-Germain,Division 1,31,14,784,0,2,2000-2001,True,0.2296
Antonio Benarrivo,ITA,DF,Parma,Serie A,31,13,704,0,1,2000-2001,True,0.1278
Trevor Benjamin,JAM,FW,Leicester City,Premier League,21,21,775,1,0,2000-2001,False,0.1161
Sven Benken,GER,"DF,MF",Hansa Rostock,Bundesliga,30,22,1450,1,0,2000-2001,False,0.0621
Pasquale Berardi,ITA,MF,Bari,Serie A,17,1,18,0,0,2000-2001,False,0.0
Dimitar Berbatov,BUL,FW,Leverkusen,Bundesliga,19,6,124,0,1,2000-2001,True,0.7258
Marlon Beresford,ENG,GK,Middlesbrough,Premier League,30,1,67,0,0,2000-2001,False,0.0
Henning Berg,NOR,DF,Manchester Utd,Premier League,30,1,45,0,0,2000-2001,False,0.0
Jörg Bergen,GER,DF,Unterhaching,Bundesliga,34,5,232,0,0,2000-2001,False,0.0
Patrik Berger,CZE,MF,Liverpool,Premier League,26,14,899,2,5,2000-2001,True,0.7008
Dennis Bergkamp,NED,FW,Arsenal,Premier League,31,25,1692,3,3,2000-2001,True,0.3191
Eduardo Berizzo,ARG,DF,Celta Vigo,La Liga,30,17,1423,0,1,2000-2001,True,0.0632
Lucas Bernardi,ARG,MF,Marseille,Division 1,22,8,694,0,0,2000-2001,False,0.0
Antonino Bernardini,ITA,MF,Vicenza,Serie A,26,20,1137,0,2,2000-2001,True,0.1583
Andrea Bernini,ITA,MF,Reggina,Serie A,27,21,959,2,0,2000-2001,False,0.1877
Tommy Berntsen,NOR,DF,Eintracht Frankfurt,Bundesliga,26,3,177,0,0,2000-2001,False,0.0
Daniele Berretta,ITA,MF,Atalanta,Serie A,28,16,1146,0,1,2000-2001,True,0.0785
Iñaki Berruet,ESP,DF,Villarreal,La Liga,27,27,2059,0,0,2000-2001,False,0.0
Mathieu Berson,FRA,MF,Nantes,Division 1,20,28,2387,0,0,2000-2001,False,0.0
Sékou Berthé,MLI,DF,Troyes,Division 1,22,6,189,0,0,2000-2001,False,0.0
Teddy Bertin,FRA,DF,Strasbourg,Division 1,30,34,2984,5,2,2000-2001,True,0.2111
Valerio Bertotto,ITA,DF,Udinese,Serie A,25,32,2869,0,1,2000-2001,True,0.0314
Vladimir Beschastnykh,RUS,"FW,MF",Racing Sant,La Liga,26,14,724,1,2,2000-2001,True,0.3729
Marinus Bester,GER,FW,Hamburger SV,Bundesliga,31,11,385,2,0,2000-2001,False,0.4675
Robert Betts,ENG,MF,Coventry City,Premier League,18,1,3,0,0,2000-2001,False,0.0
Habib Beye,SEN,DF,Strasbourg,Division 1,22,31,2730,3,2,2000-2001,True,0.1648
Giovanni Bia,ITA,DF,Bologna,Serie A,31,21,1680,4,0,2000-2001,False,0.2143
Leonardo Biagini,ARG,FW,Mallorca,La Liga,23,13,467,1,0,2000-2001,False,0.1927
André Biancarelli,FRA,GK,Monaco,Division 1,30,2,100,0,0,2000-2001,False,0.0
Rolando Bianchi,ITA,FW,Atalanta,Serie A,17,1,12,0,0,2000-2001,False,0.0
Oliver Bierhoff,GER,FW,Milan,Serie A,32,27,1767,6,5,2000-2001,True,0.5603
Daniel Bierofka,GER,MF,1860 Munich,Bundesliga,21,28,1763,3,1,2000-2001,True,0.2042
Yoann Bigné,FRA,MF,Rennes,Division 1,22,14,724,0,0,2000-2001,False,0.0
Marino Biliškov,CRO,DF,Wolfsburg,Bundesliga,24,20,1348,0,1,2000-2001,True,0.0668
Uwe Bindewald,GER,DF,Eintracht Frankfurt,Bundesliga,31,14,884,0,0,2000-2001,False,0.0
Jonatan Binotto,ITA,MF,Bologna,Serie A,25,21,729,1,0,2000-2001,False,0.1235
Alessandro Birindelli,ITA,DF,Juventus,Serie A,25,19,1227,0,1,2000-2001,True,0.0733
Igor Bišćan,CRO,"DF,MF",Liverpool,Premier League,22,13,658,0,0,2000-2001,False,0.0
Morten Bisgaard,DEN,MF,Udinese,Serie A,26,13,781,0,0,2000-2001,False,0.0
Ian Bishop,ENG,MF,Manchester City,Premier League,35,10,525,0,0,2000-2001,False,0.0
Pierpaolo Bisoli,ITA,MF,Brescia,Serie A,33,31,2121,2,0,2000-2001,False,0.0849
Albano Bizzarri,ARG,GK,Valladolid,La Liga,22,26,2340,0,0,2000-2001,False,0.0
