player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Jacques Abardonado,FRA,DF,Marseille,Division 1,22,18,1193,1,0,2000-2001,False,0.0754
Christian Abbiati,ITA,GK,Milan,Serie A,23,21,1817,0,0,2000-2001,False,0.0
Yacine Abdessadki,MAR,MF,Strasbourg,Division 1,19,4,169,0,0,2000-2001,False,0.0
Éric Abidal,FRA,DF,Monaco,Division 1,20,7,430,0,0,2000-2001,False,0.0
Nabil Abidallah,NED,MF,Ipswich Town,Premier League,17,2,14,0,0,2000-2001,False,0.0
Fabrice Abriel,FRA,MF,Paris Saint-Germain,Division 1,21,1,13,0,0,2000-2001,False,0.0
Clarence Acuña,CHI,MF,Newcastle United,Premier League,25,26,1978,3,0,2000-2001,False,0.1365
Roberto Acuña,PAR,MF,Zaragoza,La Liga,28,34,3018,4,3,2000-2001,True,0.2087
Adaílton,BRA,FW,Hellas Verona,Serie A,23,18,1058,4,3,2000-2001,True,0.5955
Frédéric Adam,FRA,MF,Troyes,Division 1,26,25,2097,0,0,2000-2001,False,0.0
Tony Adams,ENG,DF,Arsenal,Premier League,33,26,2340,1,2,2000-2001,True,0.1154
Daniele Adani,ITA,DF,Fiorentina,Serie A,26,25,1993,1,0,2000-2001,False,0.0452
Otto Addo,GHA,MF,Dortmund,Bundesliga,25,32,2268,9,5,2000-2001,True,0.5556
Adhemar,BRA,FW,Stuttgart,Bundesliga,28,11,660,7,0,2000-2001,False,0.9545
Madjid Adjaoud,ALG,MF,Sedan,Division 1,28,24,1554,0,0,2000-2001,False,0.0
Silvio Adzic,GER,"FW,MF",Kaiserslautern,Bundesliga,19,6,162,1,2,2000-2001,True,1.6667
Kodjo Afanou,FRA,DF,Bordeaux,Division 1,22,24,1630,1,0,2000-2001,False,0.0552
Victor Agali,NGA,FW,Hansa Rostock,Bundesliga,21,22,1850,5,2,2000-2001,True,0.3405
Kuami Agboh,TOG,MF,Auxerre,Division 1,22,15,974,0,0,2000-2001,False,0.0
Jan Åge Fjørtoft,NOR,FW,Eintracht Frankfurt,Bundesliga,33,14,734,3,1,2000-2001,True,0.4905
Agostinho,POR,MF,Málaga,La Liga,24,29,1626,4,6,2000-2001,True,0.5535
Paul Agostino,AUS,FW,1860 Munich,Bundesliga,25,27,1733,12,2,2000-2001,True,0.7271
Xavier Aguado,ESP,DF,Zaragoza,La Liga,32,26,2239,2,0,2000-2001,False,0.0804
Hassan Ahamada,FRA,"FW,MF",Nantes,Division 1,19,12,380,0,1,2000-2001,True,0.2368
Abdelaziz Ahanfouf,MAR,FW,Unterhaching,Bundesliga,22,10,259,1,1,2000-2001,True,0.695
Abdelaziz Ahanfouf,MAR,FW,Hansa Rostock,Bundesliga,22,4,66,0,0,2000-2001,False,0.0
Pablo Aimar,ARG,MF,Valencia,La Liga,20,10,688,2,2,2000-2001,True,0.5233
Ade Akinbiyi,NGA,FW,Leicester City,Premier League,25,37,2816,9,2,2000-2001,True,0.3516
Charles Akonnor,GHA,MF,Wolfsburg,Bundesliga,26,27,2294,5,2,2000-2001,True,0.2746
Jonathan Akpoborie,NGA,FW,Wolfsburg,Bundesliga,31,20,1206,8,2,2000-2001,True,0.7463
Bruno Akrapović,BIH,MF,Energie Cottbus,Bundesliga,32,30,2616,0,1,2000-2001,True,0.0344
David Albelda,ESP,"DF,MF",Valencia,La Liga,22,21,1380,0,1,2000-2001,True,0.0652
Demetrio Albertini,ITA,"FW,MF",Milan,Serie A,28,12,973,0,4,2000-2001,True,0.37
Alberto,ESP,GK,Real Sociedad,La Liga,31,28,2520,0,0,2000-2001,False,0.0
Luiz Alberto,BRA,DF,Saint-Étienne,Division 1,22,10,771,0,0,2000-2001,False,0.0
Luiz Alberto,BRA,DF,Real Sociedad,La Liga,22,17,1307,0,0,2000-2001,False,0.0
