player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Patrick van Aanholt,NED,"DF,MF",Crystal Palace,Premier League,25.0,11,714,2,0,2016-2017,False,0.2521
Patrick van Aanholt,NED,"DF,MF",Sunderland,Premier League,25.0,21,1784,3,1,2016-2017,False,0.2018
Ignazio Abate,ITA,DF,Milan,Serie A,29.0,23,1924,0,2,2016-2017,False,0.0936
Yunis Abdelhamid,MAR,DF,Dijon,Ligue 1,28.0,18,1314,0,0,2016-2017,False,0.0
Aymen Abdennour,TUN,DF,Valencia,La Liga,26.0,13,879,0,0,2016-2017,False,0.0
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,23.0,28,2374,3,2,2016-2017,False,0.1896
David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,30.0,30,2584,1,1,2016-2017,False,0.0697
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,26.0,20,1320,1,0,2016-2017,False,0.0682
Francesco Acerbi,ITA,DF,Sassuolo,Serie A,28.0,38,3420,4,0,2016-2017,False,0.1053
Geoffrey Acheampong,GHA,MF,Bastia,Ligue 1,19.0,2,12,0,0,2016-2017,False,0.0
Maxwell Acosty,GHA,"MF,FW",Crotone,Serie A,24.0,11,378,0,0,2016-2017,False,0.0
Afriyie Acquah,GHA,MF,Torino,Serie A,24.0,20,1077,2,0,2016-2017,False,0.1671
Charlie Adam,SCO,MF,Stoke City,Premier League,30.0,24,1491,1,3,2016-2017,False,0.2414
Antonio Adán,ESP,GK,Real Betis,La Liga,29.0,37,3330,0,0,2016-2017,False,0.0
Jordan Adéoti,BEN,DF,Caen,Ligue 1,27.0,27,2120,0,1,2016-2017,False,0.0425
Claud Adjapong,ITA,"DF,FW",Sassuolo,Serie A,18.0,9,510,1,0,2016-2017,False,0.1765
René Adler,GER,GK,Hamburger SV,Bundesliga,31.0,19,1710,0,0,2016-2017,False,0.0
Ali Adnan Kadhim,IRQ,"DF,MF",Udinese,Serie A,22.0,14,872,0,0,2016-2017,False,0.0
Albert Adomah,GHA,MF,Middlesbrough,Premier League,28.0,2,122,0,0,2016-2017,False,0.0
Adrián,ESP,GK,West Ham United,Premier League,29.0,16,1440,0,0,2016-2017,False,0.0
Luiz Adriano,BRA,FW,Milan,Serie A,29.0,7,127,0,0,2016-2017,False,0.0
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,35.0,32,2458,16,1,2016-2017,False,0.6225
Ibrahim Afellay,NED,MF,Stoke City,Premier League,30.0,12,384,0,0,2016-2017,False,0.0
Akram Afif,QAT,MF,Sporting Gijón,La Liga,19.0,9,234,0,0,2016-2017,False,0.0
Benik Afobe,COD,FW,Bournemouth,Premier League,23.0,31,1461,6,3,2016-2017,False,0.5544
Sergio Agüero,ARG,FW,Manchester City,Premier League,28.0,31,2403,20,4,2016-2017,False,0.8989
Dan Agyei,GHA,"FW,MF",Burnley,Premier League,19.0,3,25,0,0,2016-2017,False,0.0
Emmanuel Agyemang-Badu,GHA,MF,Udinese,Serie A,25.0,29,2033,0,3,2016-2017,False,0.1328
Ola Aina,NGA,"DF,MF",Chelsea,Premier League,19.0,3,26,0,0,2016-2017,False,0.0
Youssef Aït Bennasser,MAR,MF,Nancy,Ligue 1,20.0,26,1930,3,1,2016-2017,False,0.1865
Rachid Aït-Atmane,ALG,MF,Sporting Gijón,La Liga,23.0,8,492,0,0,2016-2017,False,0.0
Arlind Ajeti,ALB,DF,Torino,Serie A,22.0,4,251,1,0,2016-2017,False,0.3586
Nathan Aké,NED,DF,Bournemouth,Premier League,21.0,10,735,3,0,2016-2017,False,0.3673
Nathan Aké,NED,DF,Chelsea,Premier League,21.0,2,99,0,0,2016-2017,False,0.0
Jean-Daniel Akpa-Akpro,CIV,"DF,MF",Toulouse,Ligue 1,23.0,2,73,0,0,2016-2017,False,0.0
David Alaba,AUT,DF,Bayern Munich,Bundesliga,24.0,32,2506,4,4,2016-2017,False,0.2873
Javi Álamo,ESP,"FW,MF",Osasuna,La Liga,27.0,2,13,0,0,2016-2017,False,0.0
Jordi Alba,ESP,DF,Barcelona,La Liga,27.0,26,1968,1,6,2016-2017,False,0.3201
Raúl Albentosa,ESP,DF,Dep La Coruña,La Liga,27.0,27,2335,1,1,2016-2017,False,0.0771
Luis Alberto,ESP,"MF,FW",Lazio,Serie A,23.0,9,365,1,2,2016-2017,False,0.7397
Raúl Albiol,ESP,DF,Napoli,Serie A,30.0,26,2297,0,1,2016-2017,False,0.0392
Marc Albrighton,ENG,MF,Leicester City,Premier League,26.0,33,2411,2,6,2016-2017,False,0.2986
Paco Alcácer,ESP,FW,Barcelona,La Liga,22.0,20,858,6,3,2016-2017,False,0.9441
Paco Alcácer,ESP,FW,Valencia,La Liga,22.0,1,90,0,0,2016-2017,False,0.0
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,25.0,27,2288,6,5,2016-2017,False,0.4327
Toby Alderweireld,BEL,DF,Tottenham Hotspur,Premier League,27.0,30,2601,1,0,2016-2017,False,0.0346
Haitam Aleesami,NOR,"MF,DF",Palermo,Serie A,25.0,31,2630,1,3,2016-2017,False,0.1369
Álex Alegría,ESP,FW,Real Betis,La Liga,23.0,25,1438,3,2,2016-2017,False,0.3129
Alexis Alegue,FRA,"FW,MF",Nantes,Ligue 1,19.0,2,18,0,0,2016-2017,False,0.0
Carles Aleñá,ESP,MF,Barcelona,La Liga,18.0,3,43,0,0,2016-2017,False,0.0
Romain Alessandrini,FRA,"FW,MF",Marseille,Ligue 1,27.0,6,241,0,0,2016-2017,False,0.0
Alexander,ARG,MF,Leganés,La Liga,27.0,28,2031,8,2,2016-2017,False,0.4431
Trent Alexander-Arnold,ENG,"MF,DF",Liverpool,Premier League,17.0,7,167,0,0,2016-2017,False,0.0
Alexis,ESP,DF,Alavés,La Liga,30.0,24,1819,2,1,2016-2017,False,0.1484
Jérémie Aliadière,FRA,FW,Lorient,Ligue 1,33.0,13,487,1,2,2016-2017,False,0.5544
Sami Allagui,TUN,"FW,MF",Hertha BSC,Bundesliga,30.0,12,181,1,0,2016-2017,False,0.4972
Allan,BRA,MF,Hertha BSC,Bundesliga,19.0,15,798,0,0,2016-2017,False,0.0
Allan,BRA,MF,Napoli,Serie A,25.0,29,1610,1,6,2016-2017,False,0.3913
Joe Allen,WAL,MF,Stoke City,Premier League,26.0,36,2930,6,2,2016-2017,False,0.2457
Dele Alli,ENG,MF,Tottenham Hotspur,Premier League,20.0,37,3034,18,7,2016-2017,False,0.7416
Ryan Allsop,ENG,GK,Bournemouth,Premier League,24.0,1,90,0,0,2016-2017,False,0.0
Júnior Alonso,PAR,DF,Lille,Ligue 1,23.0,12,959,0,1,2016-2017,False,0.0938
Marcos Alonso,ESP,MF,Fiorentina,Serie A,25.0,2,180,0,0,2016-2017,False,0.0
Marcos Alonso,ESP,MF,Chelsea,Premier League,25.0,31,2693,6,3,2016-2017,False,0.3008
Xabi Alonso,ESP,MF,Bayern Munich,Bundesliga,34.0,27,1903,3,2,2016-2017,False,0.2365
Halil Altıntop,TUR,MF,Augsburg,Bundesliga,33.0,31,1605,6,2,2016-2017,False,0.4486
Hamit Altıntop,TUR,MF,Darmstadt 98,Bundesliga,33.0,16,1362,0,0,2016-2017,False,0.0
Ricky Álvarez,ARG,MF,Sampdoria,Serie A,28.0,21,987,2,2,2016-2017,False,0.3647
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,29.0,26,2340,0,1,2016-2017,False,0.0385
Sergio Álvarez,ESP,MF,Sporting Gijón,La Liga,24.0,36,3003,2,1,2016-2017,False,0.0899
Víctor Álvarez,ESP,DF,Espanyol,La Liga,23.0,4,204,0,0,2016-2017,False,0.0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,21.0,26,2271,0,0,2016-2017,False,0.0
Bruno Alves,POR,DF,Cagliari,Serie A,34.0,36,3240,1,0,2016-2017,False,0.0278
Dani Alves,BRA,"DF,MF",Juventus,Serie A,33.0,19,1359,2,3,2016-2017,False,0.3311
Diego Alves,BRA,GK,Valencia,La Liga,31.0,33,2970,0,0,2016-2017,False,0.0
Ibrahim Amadou,FRA,MF,Lille,Ligue 1,23.0,35,2952,1,0,2016-2017,False,0.0305
Morgan Amalfitano,FRA,MF,Rennes,Ligue 1,31.0,6,401,1,0,2016-2017,False,0.2244
Morgan Amalfitano,FRA,"MF,FW",Lille,Ligue 1,31.0,17,733,0,0,2016-2017,False,0.0
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,26.0,26,1418,0,0,2016-2017,False,0.0
Daniel Amartey,GHA,MF,Leicester City,Premier League,21.0,24,1673,1,1,2016-2017,False,0.1076
Jordi Amat,IDN,DF,Swansea City,Premier League,24.0,17,1409,0,0,2016-2017,False,0.0
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,18.0,22,1776,0,0,2016-2017,False,0.0
Nadiem Amiri,GER,"MF,FW",Hoffenheim,Bundesliga,19.0,33,1989,2,4,2016-2017,False,0.2715
Fernando Amorebieta,VEN,DF,Sporting Gijón,La Liga,31.0,27,2218,0,1,2016-2017,False,0.0406
Nordin Amrabat,MAR,"MF,FW",Watford,Premier League,29.0,29,2091,0,3,2016-2017,False,0.1291
Jon Ander Serantes,ESP,GK,Leganés,La Liga,26.0,13,1109,0,0,2016-2017,False,0.0
Felipe Anderson,BRA,"FW,MF",Lazio,Serie A,23.0,36,2908,4,8,2016-2017,False,0.3714
Florin Andone,ROU,FW,Dep La Coruña,La Liga,23.0,37,2893,12,2,2016-2017,False,0.4355
Benjamin André,FRA,MF,Rennes,Ligue 1,25.0,36,3215,0,3,2016-2017,False,0.084
Marco Andreolli,ITA,DF,Inter,Serie A,30.0,6,362,1,0,2016-2017,False,0.2486
Yoann Andreu,FRA,DF,Angers,Ligue 1,27.0,16,1367,0,0,2016-2017,False,0.0
Victorien Angban,CIV,MF,Granada,La Liga,19.0,10,682,0,0,2016-2017,False,0.0
Miguel Ángel Guerrero,ESP,FW,Leganés,La Liga,26.0,31,2139,5,1,2016-2017,False,0.2525
José Ángel,ESP,DF,Villarreal,La Liga,26.0,7,630,0,1,2016-2017,False,0.1429
Miguel Ángel Moyá,ESP,GK,Atlético Madrid,La Liga,32.0,9,770,0,0,2016-2017,False,0.0
Gabriele Angella,ITA,"DF,MF",Udinese,Serie A,27.0,14,1017,1,0,2016-2017,False,0.0885
Benjamin Angoua,CIV,DF,Guingamp,Ligue 1,29.0,7,538,0,0,2016-2017,False,0.0
Victor Anichebe,NGA,"FW,MF",Sunderland,Premier League,28.0,18,1219,3,0,2016-2017,False,0.2215
Cristian Ansaldi,ARG,DF,Inter,Serie A,29.0,21,1500,0,1,2016-2017,False,0.06
Luca Antei,ITA,DF,Sassuolo,Serie A,24.0,15,1114,1,0,2016-2017,False,0.0808
Luca Antonelli,ITA,DF,Milan,Serie A,29.0,7,309,0,1,2016-2017,False,0.2913
Michail Antonio,JAM,"MF,FW",West Ham United,Premier League,26.0,29,2433,9,3,2016-2017,False,0.4439
José Antonio Reyes,ESP,"MF,FW",Espanyol,La Liga,32.0,21,869,3,4,2016-2017,False,0.725
Ikechi Anya,SCO,"FW,MF",Watford,Premier League,28.0,1,10,0,0,2016-2017,False,0.0
Siniša Anđelković,SVN,DF,Palermo,Serie A,30.0,22,1836,0,1,2016-2017,False,0.049
Dennis Aogo,GER,"MF,DF",Schalke 04,Bundesliga,29.0,7,290,0,0,2016-2017,False,0.0
Houssem Aouar,ALG,FW,Lyon,Ligue 1,18.0,3,127,0,0,2016-2017,False,0.0
Carlos Apna Embaló,GNB,"FW,MF",Palermo,Serie A,21.0,12,621,0,1,2016-2017,False,0.1449
Alberto Aquilani,ITA,"MF,FW",Pescara,Serie A,32.0,9,551,1,1,2016-2017,False,0.3267
Alberto Aquilani,ITA,MF,Sassuolo,Serie A,32.0,16,1237,0,1,2016-2017,False,0.0728
Mauro Arambarri,URU,MF,Bordeaux,Ligue 1,20.0,4,40,0,0,2016-2017,False,0.0
Mattia Aramu,ITA,FW,Torino,Serie A,21.0,1,45,0,0,2016-2017,False,0.0
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,27.0,26,1815,2,2,2016-2017,False,0.1983
Sergio Araujo,ARG,FW,Las Palmas,La Liga,24.0,11,533,2,1,2016-2017,False,0.5066
Álvaro Arbeloa,ESP,DF,West Ham United,Premier League,33.0,3,258,0,0,2016-2017,False,0.0
Anaitz Arbilla,ESP,DF,Eibar,La Liga,29.0,22,1574,0,2,2016-2017,False,0.1144
Markel Areitio,ESP,GK,Eibar,La Liga,19.0,1,46,0,0,2016-2017,False,0.0
Alphonse Areola,FRA,GK,Paris Saint-Germain,Ligue 1,23.0,15,1297,0,0,2016-2017,False,0.0
Scott Arfield,CAN,MF,Burnley,Premier League,27.0,31,2102,1,1,2016-2017,False,0.0856
Fernando Aristeguieta,VEN,FW,Nantes,Ligue 1,24.0,5,52,0,0,2016-2017,False,0.0
Sylvain Armand,FRA,DF,Rennes,Ligue 1,35.0,1,66,0,0,2016-2017,False,0.0
Pablo Armero,COL,DF,Udinese,Serie A,29.0,2,180,0,0,2016-2017,False,0.0
Marko Arnautović,AUT,"MF,FW",Stoke City,Premier League,27.0,32,2714,6,5,2016-2017,False,0.3648
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,22.0,32,2423,2,3,2016-2017,False,0.1857
Alejandro Arribas,ESP,DF,Dep La Coruña,La Liga,27.0,23,1910,0,0,2016-2017,False,0.0
Kepa Arrizabalaga,ESP,GK,Athletic Club,La Liga,21.0,23,2015,0,0,2016-2017,False,0.0
Harry Arter,IRL,MF,Bournemouth,Premier League,26.0,35,2956,1,3,2016-2017,False,0.1218
Aythami Artiles,ESP,DF,Las Palmas,La Liga,30.0,11,835,0,0,2016-2017,False,0.0
Kwadwo Asamoah,GHA,"DF,MF",Juventus,Serie A,27.0,18,1472,0,1,2016-2017,False,0.0611
Sergio Asenjo,ESP,GK,Villarreal,La Liga,27.0,24,2104,0,0,2016-2017,False,0.0
Marco Asensio,ESP,"FW,MF",Real Madrid,La Liga,20.0,23,1082,3,2,2016-2017,False,0.4159
Joel Asoro,SWE,"FW,MF",Sunderland,Premier League,17.0,1,10,0,0,2016-2017,False,0.0
Iago Aspas,ESP,"FW,MF",Celta Vigo,La Liga,28.0,32,2315,19,3,2016-2017,False,0.8553
Benoît Assou-Ekotto,CMR,DF,Metz,Ligue 1,32.0,18,1479,0,1,2016-2017,False,0.0609
Davide Astori,ITA,DF,Fiorentina,Serie A,29.0,33,2967,2,0,2016-2017,False,0.0607
Barış Atik,GER,"FW,MF",Hoffenheim,Bundesliga,21.0,3,70,0,0,2016-2017,False,0.0
Omer Atzili,ISR,MF,Granada,La Liga,23.0,9,317,0,0,2016-2017,False,0.0
Pierre-Emerick Aubameyang,GAB,FW,Dortmund,Bundesliga,27.0,32,2779,31,3,2016-2017,False,1.1011
Emil Audero,IDN,GK,Juventus,Serie A,19.0,1,90,0,0,2016-2017,False,0.0
Jean-Kévin Augustin,FRA,FW,Paris Saint-Germain,Ligue 1,19.0,10,196,1,2,2016-2017,False,1.3776
Serge Aurier,CIV,DF,Paris Saint-Germain,Ligue 1,23.0,22,1829,0,3,2016-2017,False,0.1476
Charlie Austin,ENG,FW,Southampton,Premier League,27.0,15,934,6,1,2016-2017,False,0.6745
Donis Avdijaj,KVX,MF,Schalke 04,Bundesliga,19.0,9,298,2,0,2016-2017,False,0.604
Danilo Avelar,BRA,DF,Torino,Serie A,27.0,3,262,0,0,2016-2017,False,0.0
