player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
David Alaba,AUT,"DF,MF",Bayern Munich,Bundesliga,17,3,198,0,0,2009-2010,False,0.0
Jordi Alba,ESP,"DF,MF",Valencia,La Liga,20,15,1123,1,0,2009-2010,False,0.0801
David Albelda,ESP,"DF,MF",Valencia,La Liga,31,28,2037,1,1,2009-2010,True,0.0884
Raúl Albiol,ESP,DF,Real Madrid,La Liga,23,33,2844,0,0,2009-2010,False,0.0
Marc Albrighton,ENG,MF,Aston Villa,Premier League,19,3,61,0,0,2009-2010,False,0.0
Thiago Alcántara,ESP,MF,Barcelona,La Liga,18,1,15,1,0,2009-2010,False,6.0
Danijel Aleksić,SRB,"FW,MF",Genoa,Serie A,18,1,2,0,0,2009-2010,False,0.0
Nauzet Alemán,ESP,MF,Valladolid,La Liga,24,26,1622,6,3,2009-2010,True,0.4994
Alex,BRA,DF,Chelsea,Premier League,27,16,1270,1,0,2009-2010,False,0.0709
Graham Alexander,SCO,"DF,MF",Burnley,Premier League,37,33,2735,7,1,2009-2010,True,0.2633
Alexis,ESP,DF,Valencia,La Liga,23,24,1912,1,0,2009-2010,False,0.0471
Alejandro Alfaro,ESP,"FW,MF",Tenerife,La Liga,22,36,3123,7,4,2009-2010,True,0.317
Riccardo Allegretti,ITA,MF,Bari,Serie A,31,16,923,3,2,2009-2010,True,0.4875
Hugo Almeida,POR,FW,Werder Bremen,Bundesliga,25,26,1343,7,1,2009-2010,True,0.5361
Sergio Almirón,ARG,MF,Bari,Serie A,28,27,1748,5,0,2009-2010,False,0.2574
Manuel Almunia,ESP,GK,Arsenal,Premier League,32,29,2610,0,1,2009-2010,True,0.0345
Ben Alnwick,ENG,GK,Tottenham Hotspur,Premier League,22,1,90,0,0,2009-2010,False,0.0
Paul Alo'o,CMR,FW,Nancy,Ligue 1,25,23,1274,4,1,2009-2010,True,0.3532
Alejandro Alonso,ARG,MF,Monaco,Ligue 1,27,27,2300,2,5,2009-2010,True,0.2739
Iván Alonso,URU,FW,Espanyol,La Liga,30,34,1703,5,0,2009-2010,False,0.2642
Marcos Alonso,ESP,"DF,MF",Real Madrid,La Liga,18,1,3,0,0,2009-2010,False,0.0
Mikel Alonso,ESP,MF,Tenerife,La Liga,29,28,1963,1,1,2009-2010,True,0.0917
Xabi Alonso,ESP,MF,Real Madrid,La Liga,27,34,3010,3,3,2009-2010,True,0.1794
Jozy Altidore,USA,FW,Hull City,Premier League,19,28,1461,1,3,2009-2010,True,0.2464
Halil Altıntop,TUR,"FW,MF",Schalke 04,Bundesliga,26,6,291,0,0,2009-2010,False,0.0
Halil Altıntop,TUR,"FW,MF",Eintracht Frankfurt,Bundesliga,26,15,1296,3,1,2009-2010,True,0.2778
Hamit Altıntop,TUR,"DF,MF",Bayern Munich,Bundesliga,26,15,539,0,0,2009-2010,False,0.0
Matías Alustiza,MEX,FW,Xerez,La Liga,25,11,246,1,0,2009-2010,False,0.3659
Cristian Álvarez,ARG,GK,Espanyol,La Liga,23,8,670,0,0,2009-2010,False,0.0
Édgar Álvarez,HON,"DF,MF",Bari,Serie A,29,37,3073,3,2,2009-2010,True,0.1464
Julio Álvarez,VEN,MF,Mallorca,La Liga,28,26,1722,6,3,2009-2010,True,0.4704
Marcos Álvarez,GER,"FW,MF",Eintracht Frankfurt,Bundesliga,17,1,4,0,0,2009-2010,False,0.0
Pablo Álvarez,ESP,MF,Dep La Coruña,La Liga,29,28,1413,2,0,2009-2010,False,0.1274
Pablo Álvarez,ARG,DF,Catania,Serie A,25,25,2123,0,1,2009-2010,True,0.0424
Sergio Álvarez,ESP,"DF,MF",Sporting Gijón,La Liga,17,1,90,0,0,2009-2010,False,0.0
Caio Alves,BRA,MF,Eintracht Frankfurt,Bundesliga,23,26,1355,4,1,2009-2010,True,0.3321
Dani Alves,BRA,"DF,MF",Barcelona,La Liga,26,29,2493,3,8,2009-2010,True,0.3971
Diego Alves,BRA,GK,Almería,La Liga,24,37,3302,0,0,2009-2010,False,0.0
Morgan Amalfitano,FRA,MF,Lorient,Ligue 1,24,37,3285,6,4,2009-2010,True,0.274
Ioannis Amanatidis,GRE,"FW,MF",Eintracht Frankfurt,Bundesliga,27,8,559,3,0,2009-2010,False,0.483
Luis Amaranto Perea,COL,DF,Atlético Madrid,La Liga,30,28,2475,0,0,2009-2010,False,0.0
Jordi Amat,IDN,DF,Espanyol,La Liga,17,6,388,0,0,2009-2010,False,0.0
Amauri,ITA,FW,Juventus,Serie A,29,30,2228,5,1,2009-2010,True,0.2424
Massimo Ambrosini,ITA,MF,Milan,Serie A,32,30,2321,1,2,2009-2010,True,0.1163
Marco Amelia,ITA,GK,Genoa,Serie A,27,30,2700,0,0,2009-2010,False,0.0
Pablo Amo,ESP,DF,Zaragoza,La Liga,31,9,705,0,0,2009-2010,False,0.0
Fernando Amorebieta,VEN,DF,Athletic Club,La Liga,24,34,2990,0,0,2009-2010,False,0.0
Nicola Amoruso,ITA,FW,Atalanta,Serie A,34,15,1044,1,0,2009-2010,False,0.0862
Nicola Amoruso,ITA,FW,Parma,Serie A,34,17,1070,5,0,2009-2010,False,0.4206
Chadli Amri,ALG,"FW,MF",Mainz 05,Bundesliga,24,19,859,1,0,2009-2010,False,0.1048
Anderson,BRA,MF,Manchester Utd,Premier League,21,14,858,1,2,2009-2010,True,0.3147
Elinton Andrade,BRA,GK,Marseille,Ligue 1,30,3,245,0,0,2009-2010,False,0.0
Leon Andreasen,DEN,"DF,MF",Hannover 96,Bundesliga,26,7,525,1,0,2009-2010,False,0.1714
Marco Andreolli,ITA,DF,Roma,Serie A,23,8,438,0,0,2009-2010,False,0.0
Yoann Andreu,FRA,DF,Saint-Étienne,Ligue 1,20,12,743,0,0,2009-2010,False,0.0
Keith Andrews,IRL,MF,Blackburn Rovers,Premier League,28,32,2121,1,0,2009-2010,False,0.0424
Mariano Andújar,ARG,GK,Catania,Serie A,26,35,3115,0,0,2009-2010,False,0.0
Nicolas Anelka,FRA,FW,Chelsea,Premier League,30,33,2688,11,7,2009-2010,True,0.6027
Juan Ángel Albín,URU,"FW,MF",Getafe,La Liga,23,23,1221,3,0,2009-2010,False,0.2211
José Ángel Crespo,ESP,DF,Racing Sant,La Liga,22,14,1176,0,1,2009-2010,True,0.0765
José Ángel,ESP,"DF,MF",Sporting Gijón,La Liga,19,13,959,0,0,2009-2010,False,0.0
Miguel Ángel Moyá,ESP,GK,Valencia,La Liga,25,8,720,0,0,2009-2010,False,0.0
Miguel Ángel Nieto,ESP,MF,Almería,La Liga,23,14,418,0,0,2009-2010,False,0.0
Benjamin Angoua,CIV,DF,Valenciennes,Ligue 1,22,15,1350,1,0,2009-2010,False,0.0667
Victor Anichebe,NGA,FW,Everton,Premier League,21,11,480,1,2,2009-2010,True,0.5625
David Añón,ESP,FW,Dep La Coruña,La Liga,20,3,97,0,0,2009-2010,False,0.0
Filippo Antonelli,ITA,MF,Bari,Serie A,31,4,101,0,0,2009-2010,False,0.0
Luca Antonelli,ITA,"DF,MF",Parma,Serie A,22,24,1302,1,0,2009-2010,False,0.0691
Luca Antonini,ITA,"DF,MF",Milan,Serie A,26,22,1764,1,1,2009-2010,True,0.102
José Antonio Culebras,ESP,DF,Tenerife,La Liga,30,18,1415,1,0,2009-2010,False,0.0636
José Antonio Reyes,ESP,MF,Atlético Madrid,La Liga,25,30,1699,2,4,2009-2010,True,0.3178
Antoñito,ESP,FW,Xerez,La Liga,31,25,725,3,1,2009-2010,True,0.4966
Dennis Aogo,GER,"DF,MF",Hamburger SV,Bundesliga,22,31,2663,0,3,2009-2010,True,0.1014
Dudu Aouate,ISR,GK,Mallorca,La Liga,31,38,3375,0,0,2009-2010,False,0.0
Onyekachi Apam,NGA,DF,Nice,Ligue 1,22,23,2015,0,0,2009-2010,False,0.0
Apoño,ESP,MF,Málaga,La Liga,25,24,1712,2,0,2009-2010,False,0.1051
Stephen Appiah,GHA,MF,Bologna,Serie A,28,2,110,0,0,2009-2010,False,0.0
Alberto Aquilani,ITA,MF,Liverpool,Premier League,25,18,817,1,6,2009-2010,True,0.7711
Sergio Aragoneses,ESP,GK,Tenerife,La Liga,32,38,3420,0,0,2009-2010,False,0.0
Manuel Arana,ESP,MF,Racing Sant,La Liga,24,31,1772,4,2,2009-2010,True,0.3047
Carlos Aranda,ESP,FW,Osasuna,La Liga,29,29,2093,5,5,2009-2010,True,0.43
Juan Arango,VEN,MF,Gladbach,Bundesliga,29,34,2904,2,6,2009-2010,True,0.2479
Daniel Aranzubia,ESP,GK,Dep La Coruña,La Liga,29,36,3161,0,0,2009-2010,False,0.0
Álvaro Arbeloa,ESP,DF,Real Madrid,La Liga,26,30,2646,2,1,2009-2010,True,0.102
Luca Ariatti,ITA,"DF,MF",Chievo,Serie A,30,31,946,0,0,2009-2010,False,0.0
Lorenzo Ariaudo,ITA,DF,Cagliari,Serie A,20,9,702,0,0,2009-2010,False,0.0
Javier Arizmendi,ESP,"FW,MF",Zaragoza,La Liga,25,32,2144,6,2,2009-2010,True,0.3358
Sylvain Armand,FRA,DF,Paris Saint-Germain,Ligue 1,28,33,2966,2,0,2009-2010,False,0.0607
Armando,ESP,GK,Athletic Club,La Liga,38,1,90,0,0,2009-2010,False,0.0
Emiliano Armenteros,ARG,MF,Xerez,La Liga,23,25,1560,4,0,2009-2010,False,0.2308
Marko Arnautović,AUT,"FW,MF",Inter,Serie A,20,3,59,0,0,2009-2010,False,0.0
John Arne Riise,NOR,"DF,MF",Roma,Serie A,28,36,3084,5,0,2009-2010,False,0.1459
Grégory Arnolin,MTQ,DF,Sporting Gijón,La Liga,28,35,3084,2,0,2009-2010,False,0.0584
Salvatore Aronica,ITA,DF,Napoli,Serie A,31,26,2065,0,2,2009-2010,True,0.0872
Andrey Arshavin,RUS,"FW,MF",Arsenal,Premier League,28,30,2255,10,1,2009-2010,True,0.439
Tolgay Arslan,GER,MF,Hamburger SV,Bundesliga,18,5,161,0,0,2009-2010,False,0.0
Mikel Arteta,ESP,MF,Everton,Premier League,27,13,1032,6,1,2009-2010,True,0.6105
Aythami Artiles,ESP,DF,Xerez,La Liga,23,30,2610,2,0,2009-2010,False,0.069
César Arzo,ESP,"DF,MF",Valladolid,La Liga,23,22,1722,1,1,2009-2010,True,0.1045
Gerald Asamoah,GER,"FW,MF",Schalke 04,Bundesliga,30,8,229,1,1,2009-2010,True,0.786
Kwadwo Asamoah,GHA,"DF,MF",Udinese,Serie A,20,25,2137,1,1,2009-2010,True,0.0842
Sergio Asenjo,ESP,GK,Atlético Madrid,La Liga,20,15,1272,0,0,2009-2010,False,0.0
Jamie Ashdown,ENG,GK,Portsmouth,Premier League,28,6,452,0,0,2009-2010,False,0.0
Asier,ESP,MF,Valladolid,La Liga,22,1,74,0,0,2009-2010,False,0.0
Benoît Assou-Ekotto,CMR,DF,Tottenham Hotspur,Premier League,25,30,2530,1,2,2009-2010,True,0.1067
Paulo Assunção,BRA,MF,Atlético Madrid,La Liga,29,30,2482,1,0,2009-2010,False,0.0363
Davide Astori,ITA,DF,Cagliari,Serie A,22,34,3038,2,0,2009-2010,False,0.0592
Will Atkinson,ENG,MF,Hull City,Premier League,20,2,180,1,0,2009-2010,False,0.5
Pierre-Emerick Aubameyang,GAB,"FW,MF",Lille,Ligue 1,20,14,502,2,0,2009-2010,False,0.3586
Lucien Aubey,CGO,DF,Rennes,Ligue 1,25,3,270,0,0,2009-2010,False,0.0
Fabien Audard,FRA,GK,Lorient,Ligue 1,31,35,3146,0,0,2009-2010,False,0.0
Johan Audel,MTQ,"FW,MF",Valenciennes,Ligue 1,25,26,1763,7,3,2009-2010,True,0.5105
Renato Augusto,BRA,MF,Leverkusen,Bundesliga,21,17,945,0,0,2009-2010,False,0.0
Błażej Augustyn,POL,DF,Catania,Serie A,21,10,599,0,0,2009-2010,False,0.0
Fábio Aurélio,BRA,"DF,MF",Liverpool,Premier League,29,14,653,0,1,2009-2010,True,0.1378
Serge Aurier,CIV,"DF,MF",Lens,Ligue 1,16,5,450,0,0,2009-2010,False,0.0
Gerard Autet,ESP,DF,Sporting Gijón,La Liga,30,8,704,0,0,2009-2010,False,0.0
Vlada Avramov,SRB,GK,Fiorentina,Serie A,30,2,180,0,0,2009-2010,False,0.0
Daniel Ayala,ESP,DF,Liverpool,Premier League,18,5,236,0,0,2009-2010,False,0.0
Roberto Ayala,ARG,DF,Zaragoza,La Liga,36,13,1125,0,1,2009-2010,True,0.08
Mirkan Aydın,GER,FW,Bochum,Bundesliga,22,1,29,0,0,2009-2010,False,0.0
Jordan Ayew,GHA,"FW,MF",Marseille,Ligue 1,17,4,70,1,0,2009-2010,False,1.2857
Onur Ayık,TUR,"FW,MF",Werder Bremen,Bundesliga,19,1,25,0,0,2009-2010,False,0.0
Floyd Ayité,TOG,"FW,MF",Nancy,Ligue 1,20,6,336,0,0,2009-2010,False,0.0
Mimoun Azaouagh,GER,MF,Bochum,Bundesliga,26,17,1098,3,1,2009-2010,True,0.3279
César Azpilicueta,ESP,"DF,MF",Osasuna,La Liga,19,33,2970,0,0,2009-2010,False,0.0
Demba Ba,SEN,FW,Hoffenheim,Bundesliga,24,17,1207,5,0,2009-2010,False,0.3728
Ludovic Baal,GUF,"DF,MF",Le Mans,Ligue 1,23,38,3179,0,1,2009-2010,True,0.0283
Khouma Babacar,SEN,FW,Fiorentina,Serie A,16,4,113,1,1,2009-2010,True,1.5929
Ryan Babel,NED,"FW,MF",Liverpool,Premier League,22,25,966,4,1,2009-2010,True,0.4658
Marko Babić,CRO,"DF,MF",Zaragoza,La Liga,28,14,620,0,0,2009-2010,False,0.0
Maxime Baca,FRA,DF,Lorient,Ligue 1,26,15,1170,0,0,2009-2010,False,0.0
Fabian Bäcker,GER,FW,Gladbach,Bundesliga,19,2,43,1,0,2009-2010,False,2.093
Holger Badstuber,GER,DF,Bayern Munich,Bundesliga,20,33,2924,1,2,2009-2010,True,0.0923
Raúl Baena,ESP,MF,Espanyol,La Liga,20,19,1051,0,0,2009-2010,False,0.0
Mamadou Bagayoko,MLI,FW,Nice,Ligue 1,30,23,1602,1,0,2009-2010,False,0.0562
Florian Bague,FRA,GK,Boulogne,Ligue 1,25,1,90,0,0,2009-2010,False,0.0
Nabil Baha,MAR,FW,Málaga,La Liga,27,32,1987,5,1,2009-2010,True,0.2718
Daniel Baier,GER,MF,Wolfsburg,Bundesliga,25,1,1,0,0,2009-2010,False,0.0
Logan Bailly,BEL,GK,Gladbach,Bundesliga,23,29,2610,0,0,2009-2010,False,0.0
Leighton Baines,ENG,DF,Everton,Premier League,24,37,3330,1,8,2009-2010,True,0.2432
Chris Baird,NIR,"DF,MF",Fulham,Premier League,27,32,2658,0,1,2009-2010,True,0.0339
Zlatan Bajramović,BIH,MF,Eintracht Frankfurt,Bundesliga,29,11,707,0,0,2009-2010,False,0.0
Djamel Bakar,COM,"FW,MF",Nancy,Ligue 1,20,32,1403,2,1,2009-2010,True,0.1924
Djamel Bakar,COM,"FW,MF",Monaco,Ligue 1,20,4,248,0,0,2009-2010,False,0.0
Bobo Baldé,GUI,DF,Valenciennes,Ligue 1,33,10,611,1,0,2009-2010,False,0.1473
Ibrahima Baldé,SEN,FW,Atlético Madrid,La Liga,20,18,520,3,0,2009-2010,False,0.5192
Gareth Bale,WAL,"FW,MF",Tottenham Hotspur,Premier League,20,23,1713,3,5,2009-2010,True,0.4203
Hanno Balitsch,GER,MF,Hannover 96,Bundesliga,28,27,2273,2,2,2009-2010,True,0.1584
Srđan Baljak,SRB,FW,Mainz 05,Bundesliga,30,4,144,0,0,2009-2010,False,0.0
Michael Ballack,GER,MF,Chelsea,Premier League,32,32,2362,4,5,2009-2010,True,0.3429
Florent Balmont,FRA,MF,Lille,Ligue 1,29,35,3024,2,2,2009-2010,True,0.119
Leon Balogun,NGA,DF,Hannover 96,Bundesliga,21,2,128,0,0,2009-2010,False,0.0
Mario Balotelli,ITA,FW,Inter,Serie A,18,26,1390,9,5,2009-2010,True,0.9065
Federico Balzaretti,ITA,DF,Palermo,Serie A,27,34,2916,1,3,2009-2010,True,0.1235
Habib Bamogo,BFA,FW,Nice,Ligue 1,27,13,356,0,0,2009-2010,False,0.0
Aristide Bancé,BFA,FW,Mainz 05,Bundesliga,24,30,2477,10,1,2009-2010,True,0.3997
Éver Banega,ARG,MF,Valencia,La Liga,21,36,2806,2,6,2009-2010,True,0.2566
Ismaël Bangoura,GUI,FW,Rennes,Ligue 1,24,35,1695,6,3,2009-2010,True,0.4779
Karba Bangoura,GUI,MF,Valenciennes,Ligue 1,23,1,13,0,0,2009-2010,False,0.0
Ivica Banović,CRO,MF,Freiburg,Bundesliga,28,25,1878,4,2,2009-2010,True,0.2875
Júlio Baptista,BRA,"FW,MF",Roma,Serie A,27,23,649,3,0,2009-2010,False,0.416
Javier Baraja,ESP,"DF,MF",Valladolid,La Liga,28,25,1654,2,0,2009-2010,False,0.1088
Rubén Baraja,ESP,MF,Valencia,La Liga,34,18,779,0,1,2009-2010,True,0.1155
Francesco Bardi,ITA,GK,Livorno,Serie A,17,1,90,0,0,2009-2010,False,0.0
Phil Bardsley,SCO,DF,Sunderland,Premier League,24,26,1704,0,0,2009-2010,False,0.0
Philipp Bargfrede,GER,MF,Werder Bremen,Bundesliga,20,23,1658,0,2,2009-2010,True,0.1086
Nick Barmby,ENG,"FW,MF",Hull City,Premier League,35,20,758,0,0,2009-2010,False,0.0
Tranquillo Barnetta,SUI,MF,Leverkusen,Bundesliga,24,32,2547,4,8,2009-2010,True,0.424
Alan Baró,ESP,"DF,MF",Osasuna,La Liga,24,1,2,0,0,2009-2010,False,0.0
Simone Barone,ITA,MF,Cagliari,Serie A,31,16,571,0,0,2009-2010,False,0.0
Roberto Baronio,ITA,MF,Lazio,Serie A,31,24,1842,0,2,2009-2010,True,0.0977
Antonio Barragán,ESP,"DF,MF",Valladolid,La Liga,22,17,1247,0,0,2009-2010,False,0.0
David Barral,ESP,FW,Sporting Gijón,La Liga,26,33,1982,4,0,2009-2010,False,0.1816
Édgar Barreto,PAR,MF,Atalanta,Serie A,25,4,301,0,0,2009-2010,False,0.0
Pablo Barrientos,ARG,MF,Catania,Serie A,24,2,61,0,0,2009-2010,False,0.0
Lucas Barrios,PAR,FW,Dortmund,Bundesliga,24,33,2618,19,4,2009-2010,True,0.7907
Gareth Barry,ENG,MF,Manchester City,Premier League,28,34,2994,2,7,2009-2010,True,0.2705
Oliver Barth,GER,DF,Freiburg,Bundesliga,29,16,1020,0,1,2009-2010,True,0.0882
Maxime Barthelmé,FRA,"FW,MF",Lorient,Ligue 1,20,1,26,0,0,2009-2010,False,0.0
Marc Bartra,ESP,DF,Barcelona,La Liga,18,1,30,0,0,2009-2010,False,0.0
Andrea Barzagli,ITA,DF,Wolfsburg,Bundesliga,28,24,2068,1,0,2009-2010,False,0.0435
Chris Basham,ENG,"DF,MF",Bolton Wanderers,Premier League,21,8,240,0,1,2009-2010,True,0.375
Angelos Basinas,GRE,MF,Portsmouth,Premier League,33,12,775,0,0,2009-2010,False,0.0
Alessandro Bassoli,ITA,DF,Bologna,Serie A,19,1,14,0,0,2009-2010,False,0.0
Sébastien Bassong,CMR,DF,Tottenham Hotspur,Premier League,23,28,2296,1,0,2009-2010,False,0.0392
Dušan Basta,SRB,"DF,MF",Udinese,Serie A,24,16,1294,0,0,2009-2010,False,0.0
Felix Bastians,GER,"DF,MF",Freiburg,Bundesliga,21,34,3015,1,0,2009-2010,False,0.0299
Borja Bastón,ESP,FW,Atlético Madrid,La Liga,16,1,21,0,0,2009-2010,False,0.0
Michel Bastos,BRA,"DF,MF",Lyon,Ligue 1,25,32,1966,10,1,2009-2010,True,0.5036
Yıldıray Baştürk,TUR,MF,Stuttgart,Bundesliga,30,1,10,0,0,2009-2010,False,0.0
Yıldıray Baştürk,TUR,MF,Blackburn Rovers,Premier League,30,1,45,0,0,2009-2010,False,0.0
Laurent Batlles,FRA,MF,Grenoble Foot,Ligue 1,33,34,2745,2,0,2009-2010,False,0.0656
Oliver Baumann,GER,GK,Freiburg,Bundesliga,19,1,90,0,0,2009-2010,False,0.0
Alexander Baumjohann,GER,MF,Bayern Munich,Bundesliga,22,3,92,0,1,2009-2010,True,0.9783
Alexander Baumjohann,GER,MF,Schalke 04,Bundesliga,22,11,351,0,1,2009-2010,True,0.2564
Jose Baxter,ENG,"FW,MF",Everton,Premier League,17,2,5,0,0,2009-2010,False,0.0
Moustapha Bayal Sall,SEN,DF,Saint-Étienne,Ligue 1,23,9,707,0,0,2009-2010,False,0.0
James Beattie,ENG,FW,Stoke City,Premier League,31,22,800,3,1,2009-2010,True,0.45
Tommy Bechmann,DEN,"FW,MF",Freiburg,Bundesliga,27,21,1005,1,0,2009-2010,False,0.0896
Andreas Beck,GER,"DF,MF",Hoffenheim,Bundesliga,22,25,2070,0,2,2009-2010,True,0.087
David Beckham,ENG,MF,Milan,Serie A,34,11,670,0,1,2009-2010,True,0.1343
Jean-François Bédénik,FRA,GK,Boulogne,Ligue 1,30,25,2250,0,0,2009-2010,False,0.0
Edu Bedia,ESP,MF,Racing Sant,La Liga,20,5,77,0,0,2009-2010,False,0.0
Henri Bedimo,CMR,DF,Lens,Ligue 1,25,15,1058,1,0,2009-2010,False,0.0851
Asmir Begović,BIH,GK,Stoke City,Premier League,22,4,326,0,0,2009-2010,False,0.0
Asmir Begović,BIH,GK,Portsmouth,Premier League,22,9,736,0,0,2009-2010,False,0.0
Valon Behrami,SUI,"DF,MF",West Ham United,Premier League,24,27,2048,1,1,2009-2010,True,0.0879
Maximilian Beister,GER,"FW,MF",Hamburger SV,Bundesliga,18,2,11,0,0,2009-2010,False,0.0
Shqipon Bektasi,GER,"FW,MF",Freiburg,Bundesliga,18,1,9,0,0,2009-2010,False,0.0
David Belenguer,ESP,DF,Getafe,La Liga,36,13,680,0,0,2009-2010,False,0.0
Ishak Belfodil,ALG,"FW,MF",Lyon,Ligue 1,17,3,17,0,0,2009-2010,False,0.0
Nadir Belhadj,ALG,"DF,MF",Portsmouth,Premier League,27,19,1471,3,2,2009-2010,True,0.3059
Younès Belhanda,MAR,"FW,MF",Montpellier,Ligue 1,19,33,1867,1,2,2009-2010,True,0.1446
Habib Bellaïd,ALG,DF,Boulogne,Ligue 1,23,9,804,0,0,2009-2010,False,0.0
Craig Bellamy,WAL,FW,Manchester City,Premier League,30,32,2379,10,8,2009-2010,True,0.681
Juliano Belletti,BRA,"DF,MF",Chelsea,Premier League,33,11,490,0,1,2009-2010,True,0.1837
Gianpaolo Bellini,ITA,DF,Atalanta,Serie A,29,29,2538,1,0,2009-2010,False,0.0355
David Bellion,FRA,FW,Bordeaux,Ligue 1,26,20,719,3,1,2009-2010,True,0.5007
Claudio Bellucci,ITA,FW,Sampdoria,Serie A,34,8,296,0,1,2009-2010,True,0.3041
Claudio Bellucci,ITA,FW,Livorno,Serie A,34,14,860,1,1,2009-2010,True,0.2093
Giuseppe Bellusci,ITA,DF,Catania,Serie A,19,12,599,0,0,2009-2010,False,0.0
Carlos Bellvís,ESP,DF,Tenerife,La Liga,24,15,1287,0,0,2009-2010,False,0.0
Nicola Belmonte,ITA,DF,Bari,Serie A,22,18,1522,0,0,2009-2010,False,0.0
Hatem Ben Arfa,FRA,"FW,MF",Marseille,Ligue 1,22,29,1538,3,3,2009-2010,True,0.3511
Saber Ben Frej,TUN,DF,Le Mans,Ligue 1,30,1,7,0,0,2009-2010,False,0.0
Tal Ben Haim,ISR,DF,Portsmouth,Premier League,27,22,1915,0,0,2009-2010,False,0.0
Fahid Ben Khalfallah,TUN,"FW,MF",Valenciennes,Ligue 1,26,36,2336,7,10,2009-2010,True,0.655
Chaouki Ben Saada,TUN,"FW,MF",Nice,Ligue 1,25,28,1650,6,4,2009-2010,True,0.5455
Selim Benachour,TUN,MF,Málaga,La Liga,27,23,1422,0,2,2009-2010,True,0.1266
