player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Patrick van Aanholt,NED,DF,Chelsea,Premier League,18,2,35,0,0,2009-2010,False,0.0
Jacques Abardonado,FRA,DF,Valenciennes,Ligue 1,31,15,1047,0,0,2009-2010,False,0.0
Ignazio Abate,ITA,"DF,MF",Milan,Serie A,22,30,2029,0,0,2009-2010,False,0.0
Christian Abbiati,ITA,GK,Milan,Serie A,32,9,724,0,0,2009-2010,False,0.0
Elvis Abbruscato,ITA,FW,Chievo,Serie A,28,15,815,2,1,2009-2010,True,0.3313
Aymen Abdennour,TUN,DF,Werder Bremen,Bundesliga,19,6,381,0,0,2009-2010,False,0.0
Yacine Abdessadki,MAR,MF,Freiburg,Bundesliga,28,23,1801,2,1,2009-2010,True,0.1499
Almen Abdi,SUI,MF,Le Mans,Ligue 1,22,13,785,0,0,2009-2010,False,0.0
Éric Abidal,FRA,DF,Barcelona,La Liga,29,17,1410,0,2,2009-2010,True,0.1277
Fabrice Abriel,FRA,MF,Marseille,Ligue 1,30,32,1764,1,3,2009-2010,True,0.2041
Santiago Acasiete,PER,DF,Almería,La Liga,31,31,2735,0,1,2009-2010,True,0.0329
Pietro Accardi,ITA,DF,Sampdoria,Serie A,26,14,623,0,0,2009-2010,False,0.0
Lautaro Acosta,ARG,"FW,MF",Sevilla,La Liga,21,6,199,0,0,2009-2010,False,0.0
Robert Acquafresca,ITA,FW,Genoa,Serie A,21,10,706,2,0,2009-2010,False,0.255
Robert Acquafresca,ITA,FW,Atalanta,Serie A,21,12,881,1,0,2009-2010,False,0.1022
Adaílton,BRA,FW,Bologna,Serie A,32,31,1967,11,4,2009-2010,True,0.6863
Emmanuel Adebayor,TOG,FW,Manchester City,Premier League,25,26,2207,14,3,2009-2010,True,0.6932
Olubayo Adefemi,NGA,"DF,MF",Boulogne,Ligue 1,23,13,1038,1,0,2009-2010,False,0.0867
René Adler,GER,GK,Leverkusen,Bundesliga,24,31,2790,0,0,2009-2010,False,0.0
Adriano,BRA,DF,Monaco,Ligue 1,27,16,1312,0,0,2009-2010,False,0.0
Adriano,BRA,"DF,MF",Sevilla,La Liga,24,27,2079,0,4,2009-2010,True,0.1732
Aritz Aduriz,ESP,FW,Mallorca,La Liga,28,34,2755,12,4,2009-2010,True,0.5227
Kieran Agard,ENG,"FW,MF",Everton,Premier League,19,1,1,0,0,2009-2010,False,0.0
Michael Agazzi,ITA,GK,Cagliari,Serie A,25,3,270,0,0,2009-2010,False,0.0
Gabriel Agbonlahor,ENG,"FW,MF",Aston Villa,Premier League,22,36,3075,13,3,2009-2010,True,0.4683
Daniel Agger,DEN,DF,Liverpool,Premier League,24,23,1977,0,0,2009-2010,False,0.0
Alessandro Agostini,ITA,DF,Cagliari,Serie A,30,38,3420,0,1,2009-2010,True,0.0263
Laurent Agouazi,ALG,MF,Boulogne,Ligue 1,25,25,1696,1,2,2009-2010,True,0.1592
Sergio Agüero,ARG,FW,Atlético Madrid,La Liga,21,31,2198,12,4,2009-2010,True,0.6551
Abel Aguilar,COL,MF,Zaragoza,La Liga,24,26,1587,4,1,2009-2010,True,0.2836
Emmanuel Agyemang-Badu,GHA,MF,Udinese,Serie A,18,5,69,0,0,2009-2010,False,0.0
Karim Aït-Fana,MAR,"FW,MF",Montpellier,Ligue 1,20,33,2093,5,2,2009-2010,True,0.301
Yakubu Aiyegbeni,NGA,FW,Everton,Premier League,26,25,1097,5,4,2009-2010,True,0.7384
Kanga Akalé,CIV,"FW,MF",Lens,Ligue 1,28,28,1433,2,2,2009-2010,True,0.2512
Isaac Aketxe,ESP,"FW,MF",Athletic Club,La Liga,20,1,12,0,0,2009-2010,False,0.0
Nassim Akrour,ALG,FW,Grenoble Foot,Ligue 1,35,38,2596,6,2,2009-2010,True,0.2773
