player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Agustín Abadía,ESP,MF,Logroñés,La Liga,34,22,1895,1,0,1996-1997,True,0.0475
Beniamino Abate,ITA,GK,Cagliari,Serie A,34,3,270,0,0,1996-1997,True,0.0
Yassine Abdellaoui,NED,"FW,MF",Rayo Vallecano,La Liga,21,16,708,0,0,1996-1997,True,0.0
Denis Abed,FRA,FW,Lille,Division 1,27,7,240,1,0,1996-1997,True,0.375
Samassi Abou,FRA,FW,Cannes,Division 1,23,27,1845,4,0,1996-1997,True,0.1951
Stéphane Adam,FRA,FW,Metz,Division 1,27,21,1088,3,0,1996-1997,True,0.2482
Tony Adams,ENG,DF,Arsenal,Premier League,29,28,2254,3,1,1996-1997,False,0.1597
Mutiu Adepoju,NGA,MF,Real Sociedad,La Liga,25,36,2080,6,0,1996-1997,True,0.2596
Jean-Marc Adjovi-Bocco,BEN,DF,Lens,Division 1,32,32,2551,0,0,1996-1997,True,0.0
Ivan Adžić,SRB,MF,Logroñés,La Liga,23,3,39,0,0,1996-1997,True,0.0
Kodjo Afanou,FRA,DF,Bordeaux,Division 1,18,12,917,0,0,1996-1997,True,0.0
Victor Agali,NGA,FW,Marseille,Division 1,17,5,118,0,0,1996-1997,True,0.0
Jan Åge Fjørtoft,NOR,FW,Middlesbrough,Premier League,29,5,214,1,0,1996-1997,False,0.4206
Borja Agirretxu,ESP,DF,Celta Vigo,La Liga,27,20,1666,0,0,1996-1997,True,0.0
Alfredo Aglietti,ITA,FW,Napoli,Serie A,25,28,1926,8,0,1996-1997,True,0.3738
Steve Agnew,ENG,MF,Sunderland,Premier League,30,15,960,2,0,1996-1997,False,0.1875
Xavier Aguado,ESP,DF,Zaragoza,La Liga,28,37,3264,1,0,1996-1997,True,0.0276
Carlos Aguilera,ESP,DF,Atlético Madrid,La Liga,27,31,1834,2,0,1996-1997,True,0.0981
Markus Ahlf,GER,DF,St Pauli,Bundesliga,18,1,46,0,0,1996-1997,True,0.0
Sam Aiston,ENG,MF,Sunderland,Premier League,19,2,74,0,0,1996-1997,False,0.0
Jorge Aizkorreta,ESP,GK,Logroñés,La Liga,22,27,2430,0,0,1996-1997,True,0.0
Jonathan Akpoborie,NGA,FW,Hansa Rostock,Bundesliga,27,31,2729,14,0,1996-1997,True,0.4617
Philippe Albert,BEL,DF,Newcastle United,Premier League,28,27,2407,2,2,1996-1997,False,0.1496
Demetrio Albertini,ITA,"FW,MF",Milan,Serie A,24,29,2427,8,0,1996-1997,True,0.2967
Alberto,ESP,GK,Real Sociedad,La Liga,27,42,3735,0,0,1996-1997,True,0.0
Alberto Albístegui,ESP,DF,Real Sociedad,La Liga,31,35,2925,1,0,1996-1997,True,0.0308
Thorsten Albustin,GER,GK,MSV Duisburg,Bundesliga,22,1,3,0,0,1996-1997,True,0.0
