player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Jacques Abardonado,FRA,DF,Valenciennes,Ligue 1,30,18,1252,0,0,2008-2009,False,0.0
Ignazio Abate,ITA,"DF,MF",Torino,Serie A,21,25,1913,1,2,2008-2009,True,0.1411
Christian Abbiati,ITA,GK,Milan,Serie A,31,28,2441,0,0,2008-2009,False,0.0
Pato Abbondanzieri,ARG,GK,Getafe,La Liga,35,13,1083,0,0,2008-2009,False,0.0
Elvis Abbruscato,ITA,FW,Torino,Serie A,27,10,388,1,0,2008-2009,False,0.232
Djamel Abdoun,ALG,MF,Nantes,Ligue 1,22,22,1139,1,0,2008-2009,False,0.079
Damià Abella,ESP,"DF,MF",Real Betis,La Liga,26,25,1788,2,0,2008-2009,False,0.1007
Éric Abidal,FRA,DF,Barcelona,La Liga,28,25,2116,0,0,2008-2009,False,0.0
Fabrice Abriel,FRA,MF,Lorient,Ligue 1,29,35,3060,7,4,2008-2009,True,0.3235
Santiago Acasiete,PER,DF,Almería,La Liga,30,17,1507,1,0,2008-2009,False,0.0597
Pietro Accardi,ITA,DF,Sampdoria,Serie A,25,24,2122,0,0,2008-2009,False,0.0
Paolo Acerbis,ITA,GK,Catania,Serie A,27,1,90,0,0,2008-2009,False,0.0
Lautaro Acosta,ARG,"FW,MF",Sevilla,La Liga,20,7,360,0,0,2008-2009,False,0.0
Robert Acquafresca,ITA,FW,Cagliari,Serie A,20,36,2275,14,0,2008-2009,False,0.5538
Adaílton,BRA,FW,Bologna,Serie A,31,23,1133,1,3,2008-2009,True,0.3177
Emmanuel Adebayor,TOG,FW,Arsenal,Premier League,24,26,1876,10,4,2008-2009,True,0.6716
Adeílson,BRA,FW,Nice,Ligue 1,22,10,295,0,0,2008-2009,False,0.0
Daniel Adejo,NGA,DF,Reggina,Serie A,18,8,414,0,1,2008-2009,True,0.2174
Khaled Adénon,BEN,"DF,MF",Le Mans,Ligue 1,23,5,295,0,0,2008-2009,False,0.0
Geoffrey Adjet,FRA,DF,Nancy,Ligue 1,20,6,98,1,0,2008-2009,False,0.9184
René Adler,GER,GK,Leverkusen,Bundesliga,23,31,2790,0,0,2008-2009,False,0.0
Youssef Adnane,FRA,FW,Caen,Ligue 1,23,14,511,0,0,2008-2009,False,0.0
Adriano,BRA,FW,Málaga,La Liga,26,7,154,0,0,2008-2009,False,0.0
Adriano,BRA,DF,Monaco,Ligue 1,26,15,1256,0,1,2008-2009,True,0.0717
Adriano,BRA,FW,Inter,Serie A,26,12,805,3,3,2008-2009,True,0.6708
Adriano,BRA,"DF,MF",Sevilla,La Liga,23,29,1977,3,3,2008-2009,True,0.2731
Freddy Adu,USA,"FW,MF",Monaco,Ligue 1,19,9,96,0,0,2008-2009,False,0.0
Godfried Aduobe,GHA,MF,Karlsruher,Bundesliga,32,22,1373,0,1,2008-2009,True,0.0655
Aritz Aduriz,ESP,FW,Mallorca,La Liga,27,35,2726,11,5,2008-2009,True,0.5282
Rabiu Afolabi,NGA,DF,Sochaux,Ligue 1,28,30,2491,2,0,2008-2009,False,0.0723
Gabriel Agbonlahor,ENG,"FW,MF",Aston Villa,Premier League,21,36,3122,12,5,2008-2009,True,0.4901
Daniel Agger,DEN,DF,Liverpool,Premier League,23,18,1370,1,2,2008-2009,True,0.1971
Alessandro Agostini,ITA,DF,Cagliari,Serie A,29,34,2951,0,1,2008-2009,True,0.0305
Sergio Agüero,ARG,FW,Atlético Madrid,La Liga,20,37,2863,17,9,2008-2009,True,0.8173
Marcos Aguirre,ARG,MF,Valladolid,La Liga,24,15,649,1,0,2008-2009,False,0.1387
Stefan Aigner,GER,"FW,MF",Arminia,Bundesliga,20,5,36,0,0,2008-2009,False,0.0
Yakubu Aiyegbeni,NGA,FW,Everton,Premier League,25,14,1119,4,1,2008-2009,True,0.4021
Kanga Akalé,CIV,"FW,MF",Recreativo,La Liga,27,26,798,0,0,2008-2009,False,0.0
Nassim Akrour,ALG,FW,Grenoble Foot,Ligue 1,34,37,2272,6,2,2008-2009,True,0.3169
Amadou Alassane,FRA,FW,Le Havre,Ligue 1,25,32,2555,10,1,2008-2009,True,0.3875
David Albelda,ESP,"DF,MF",Valencia,La Liga,30,30,2273,0,0,2008-2009,False,0.0
Gal Alberman,ISR,MF,Gladbach,Bundesliga,25,16,1152,0,0,2008-2009,False,0.0
Raúl Albiol,ESP,DF,Valencia,La Liga,22,34,2940,2,1,2008-2009,True,0.0918
Thiago Alcántara,ESP,MF,Barcelona,La Liga,17,1,18,0,0,2008-2009,False,0.0
Gabriele Aldegani,ITA,GK,Chievo,Serie A,32,1,90,0,0,2008-2009,False,0.0
Alex,BRA,DF,Chelsea,Premier League,26,24,1972,2,1,2008-2009,True,0.1369
Alexis,ESP,DF,Valencia,La Liga,22,24,2051,1,0,2008-2009,False,0.0439
Jérémie Aliadière,FRA,"FW,MF",Middlesbrough,Premier League,25,29,2260,2,2,2008-2009,True,0.1593
Hassane Alla,MAR,MF,Le Havre,Ligue 1,27,32,2169,1,0,2008-2009,False,0.0415
Hugo Almeida,POR,FW,Werder Bremen,Bundesliga,24,27,1754,9,2,2008-2009,True,0.5644
Sergio Almirón,ARG,MF,Fiorentina,Serie A,27,11,509,0,0,2008-2009,False,0.0
Manuel Almunia,ESP,GK,Arsenal,Premier League,31,32,2867,0,0,2008-2009,False,0.0
Alejandro Alonso,ARG,MF,Monaco,Ligue 1,26,17,1323,3,3,2008-2009,True,0.4082
Iván Alonso,URU,FW,Espanyol,La Liga,29,16,1128,5,1,2008-2009,True,0.4787
Xabi Alonso,ESP,MF,Liverpool,Premier League,26,33,2563,3,4,2008-2009,True,0.2458
Jérôme Alonzo,FRA,GK,Nantes,Ligue 1,35,27,2372,0,0,2008-2009,False,0.0
Jozy Altidore,USA,FW,Villarreal,La Liga,18,6,259,1,0,2008-2009,False,0.3475
Halil Altıntop,TUR,"FW,MF",Schalke 04,Bundesliga,25,31,2040,4,4,2008-2009,True,0.3529
Hamit Altıntop,TUR,"DF,MF",Bayern Munich,Bundesliga,25,11,536,2,1,2008-2009,True,0.5037
Cristian Álvarez,ARG,GK,Espanyol,La Liga,22,1,90,0,0,2008-2009,False,0.0
Julio Álvarez,VEN,MF,Almería,La Liga,27,21,1615,0,0,2008-2009,False,0.0
