player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,28,29,2507,3,2,2019-2020,False,0.1795
Max Aarons,ENG,DF,Norwich City,Premier League,19,36,3240,0,1,2019-2020,False,0.0278
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,31,28,2520,3,0,2019-2020,False,0.1071
Suleiman Abdullahi,NGA,MF,Union Berlin,Bundesliga,22,6,157,1,0,2019-2020,False,0.5732
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,26,25,1817,1,2,2019-2020,False,0.1486
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,19,15,623,0,0,2019-2020,False,0.0
David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,33,20,1688,2,0,2019-2020,False,0.1066
Tammy Abraham,ENG,FW,Chelsea,Premier League,21,34,2215,15,3,2019-2020,False,0.7314
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,29,13,663,0,0,2019-2020,False,0.0
Francesco Acerbi,ITA,DF,Lazio,Serie A,31,36,3162,2,2,2019-2020,False,0.1139
Che Adams,SCO,FW,Southampton,Premier League,23,30,1111,4,2,2019-2020,False,0.486
Tyler Adams,USA,"MF,DF",RB Leipzig,Bundesliga,20,14,953,0,0,2019-2020,False,0.0
Sargis Adamyan,ARM,"MF,FW",Hoffenheim,Bundesliga,26,15,746,5,1,2019-2020,False,0.7239
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,32,1,25,0,0,2019-2020,False,0.0
Bobby Adekanye,NED,"FW,MF",Lazio,Serie A,20,11,188,1,0,2019-2020,False,0.4787
Claud Adjapong,ITA,MF,Hellas Verona,Serie A,21,5,231,0,0,2019-2020,False,0.0
Amine Adli,MAR,"FW,MF",Toulouse,Ligue 1,19,4,46,0,0,2019-2020,False,0.0
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,19,21,1020,3,3,2019-2020,False,0.5294
Adrián,ESP,GK,Liverpool,Premier League,32,11,875,0,0,2019-2020,False,0.0
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,38,14,208,1,0,2019-2020,False,0.4327
Lumor Agbenyenu,GHA,DF,Mallorca,La Liga,22,23,1805,1,0,2019-2020,False,0.0499
Martin Agirregabiria,ESP,DF,Alavés,La Liga,23,31,2099,1,1,2019-2020,False,0.0858
Lucien Agoume,FRA,MF,Inter,Serie A,17,3,68,0,0,2019-2020,False,0.0
Kevin Agudelo,COL,MF,Fiorentina,Serie A,20,3,64,0,0,2019-2020,False,0.0
Kevin Agudelo,COL,"MF,FW",Genoa,Serie A,20,10,666,1,1,2019-2020,False,0.2703
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,23,11,957,1,0,2019-2020,False,0.094
Sergio Agüero,ARG,FW,Manchester City,Premier League,31,24,1452,16,3,2019-2020,False,1.1777
Ruben Aguilar,FRA,"DF,MF",Monaco,Ligue 1,26,19,1072,0,2,2019-2020,False,0.1679
Emmanuel Agyemang-Badu,GHA,MF,Hellas Verona,Serie A,28,10,230,0,0,2019-2020,False,0.0
Jean-Eudes Aholou,CIV,MF,Saint-Étienne,Ligue 1,25,11,630,1,1,2019-2020,False,0.2857
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,23,32,2502,0,1,2019-2020,False,0.036
Ola Aina,NGA,MF,Torino,Serie A,22,32,2079,0,2,2019-2020,False,0.0866
Youssef Aït Bennasser,MAR,MF,Bordeaux,Ligue 1,23,12,536,0,1,2019-2020,False,0.1679
Rayan Aït-Nouri,ALG,DF,Angers,Ligue 1,18,17,1282,0,2,2019-2020,False,0.1404
Albian Ajeti,SUI,FW,West Ham United,Premier League,22,9,139,0,0,2019-2020,False,0.0
Ludovic Ajorque,FRA,FW,Strasbourg,Ligue 1,25,26,2058,8,4,2019-2020,False,0.5248
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,24,29,2309,0,1,2019-2020,False,0.039
Marley Aké,FRA,"FW,MF",Marseille,Ligue 1,18,9,99,0,0,2019-2020,False,0.0
Nathan Aké,NED,DF,Bournemouth,Premier League,24,29,2503,2,2,2019-2020,False,0.1438
Chadrac Akolo,COD,MF,Amiens,Ligue 1,24,15,544,2,1,2019-2020,False,0.4963
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,24,18,1142,0,0,2019-2020,False,0.0
David Alaba,AUT,DF,Bayern Munich,Bundesliga,27,28,2498,1,1,2019-2020,False,0.0721
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,21,17,1400,0,0,2019-2020,False,0.0
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,26,24,1174,7,1,2019-2020,False,0.6133
Jordi Alba,ESP,DF,Barcelona,La Liga,30,27,2187,2,5,2019-2020,False,0.2881
Luis Alberto,ESP,MF,Lazio,Serie A,26,36,3113,6,15,2019-2020,False,0.6071
Raúl Albiol,ESP,DF,Villarreal,La Liga,33,36,3237,1,0,2019-2020,False,0.0278
Marc Albrighton,ENG,MF,Leicester City,Premier League,29,20,867,0,3,2019-2020,False,0.3114
Paco Alcácer,ESP,FW,Villarreal,La Liga,25,13,924,4,1,2019-2020,False,0.487
Paco Alcácer,ESP,FW,Dortmund,Bundesliga,25,11,530,5,1,2019-2020,False,1.0189
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,28,24,1771,3,0,2019-2020,False,0.1525
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,28,27,1927,2,2,2019-2020,False,0.1868
Toby Alderweireld,BEL,DF,Tottenham Hotspur,Premier League,30,33,2957,2,2,2019-2020,False,0.1217
Haitam Aleesami,NOR,DF,Amiens,Ligue 1,28,22,1916,1,1,2019-2020,False,0.0939
Álex Alegría,ESP,FW,Mallorca,La Liga,26,6,109,0,0,2019-2020,False,0.0
Carles Aleñá,ESP,MF,Barcelona,La Liga,21,4,172,0,0,2019-2020,False,0.0
Carles Aleñá,ESP,MF,Real Betis,La Liga,21,17,735,1,0,2019-2020,False,0.1224
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,24,11,901,0,0,2019-2020,False,0.0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,20,38,3175,4,13,2019-2020,False,0.4819
Enrico Alfonso,ITA,GK,Brescia,Serie A,31,4,279,0,0,2019-2020,False,0.0
Rachid Alioui,MAR,FW,Angers,Ligue 1,27,28,1563,6,1,2019-2020,False,0.4031
Alisson,BRA,GK,Liverpool,Premier League,26,29,2543,0,1,2019-2020,False,0.0354
Allan,BRA,MF,Napoli,Serie A,28,23,1280,2,1,2019-2020,False,0.2109
Dele Alli,ENG,"MF,FW",Tottenham Hotspur,Premier League,23,25,1847,8,4,2019-2020,False,0.5847
Miguel Almirón,PAR,"MF,FW",Newcastle United,Premier League,25,36,3021,4,2,2019-2020,False,0.1787
Marcos Alonso,ESP,"DF,MF",Chelsea,Premier League,28,18,1430,4,2,2019-2020,False,0.3776
Mickaël Alphonse,GLP,"DF,MF",Dijon,Ligue 1,30,17,1378,0,1,2019-2020,False,0.0653
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,32,2,180,0,0,2019-2020,False,0.0
Sergio Álvarez,ESP,"MF,DF",Eibar,La Liga,27,18,1147,0,0,2019-2020,False,0.0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,24,32,2810,0,0,2019-2020,False,0.0
Bruno Alves,POR,DF,Parma,Serie A,37,33,2671,0,0,2019-2020,False,0.0
Steven Alzate,COL,"MF,DF",Brighton,Premier League,20,19,1188,0,0,2019-2020,False,0.0
Ibrahim Amadou,FRA,"DF,MF",Norwich City,Premier League,26,11,759,0,0,2019-2020,False,0.0
Ibrahim Amadou,FRA,MF,Leganés,La Liga,26,10,770,0,0,2019-2020,False,0.0
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,29,26,1695,1,1,2019-2020,False,0.1062
Amath,SEN,"FW,MF",Getafe,La Liga,23,7,66,0,0,2019-2020,False,0.0
Jordan Amavi,FRA,DF,Marseille,Ligue 1,25,26,2164,1,1,2019-2020,False,0.0832
Thierry Ambrose,GLP,"FW,MF",Metz,Ligue 1,22,18,548,0,0,2019-2020,False,0.0
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,21,20,1633,0,2,2019-2020,False,0.1102
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,22,30,1857,1,2,2019-2020,False,0.1454
Ethan Ampadu,WAL,"DF,MF",RB Leipzig,Bundesliga,18,3,81,0,0,2019-2020,False,0.0
Opoku Ampomah,GHA,"FW,MF",Düsseldorf,Bundesliga,23,12,500,0,0,2019-2020,False,0.0
Sofyan Amrabat,MAR,MF,Hellas Verona,Serie A,22,34,2919,1,1,2019-2020,False,0.0617
Joachim Andersen,DEN,DF,Lyon,Ligue 1,23,18,1531,1,0,2019-2020,False,0.0588
Djavan Anderson,SUR,MF,Lazio,Serie A,24,6,167,0,0,2019-2020,False,0.0
Felipe Anderson,BRA,MF,West Ham United,Premier League,26,25,1497,1,4,2019-2020,False,0.3006
Sebastian Andersson,SWE,FW,Union Berlin,Bundesliga,28,33,2682,12,1,2019-2020,False,0.4362
Florin Andone,ROU,FW,Brighton,Premier League,26,3,73,1,0,2019-2020,False,1.2329
Benjamin André,FRA,MF,Lille,Ligue 1,28,26,2054,2,1,2019-2020,False,0.1315
Lorenzo Andrenacci,ITA,GK,Brescia,Serie A,24,6,531,0,0,2019-2020,False,0.0
Robert Andrich,GER,MF,Union Berlin,Bundesliga,24,30,2572,1,2,2019-2020,False,0.105
Victorien Angban,CIV,MF,Metz,Ligue 1,22,20,1029,0,0,2019-2020,False,0.0
Miguel Ángel Guerrero,ESP,FW,Leganés,La Liga,29,13,790,1,0,2019-2020,False,0.1139
José Ángel,ESP,DF,Eibar,La Liga,29,28,2360,1,1,2019-2020,False,0.0763
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,35,13,1170,0,0,2019-2020,False,0.0
Angeliño,ESP,"MF,DF",RB Leipzig,Bundesliga,22,13,1095,1,2,2019-2020,False,0.2466
Angeliño,ESP,DF,Manchester City,Premier League,22,6,423,0,0,2019-2020,False,0.0
Faustino Anjorin,ENG,MF,Chelsea,Premier League,17,1,20,0,0,2019-2020,False,0.0
Peter Ankersen,DEN,"MF,DF",Genoa,Serie A,28,19,1063,0,1,2019-2020,False,0.0847
Cristian Ansaldi,ARG,MF,Torino,Serie A,32,27,1768,4,4,2019-2020,False,0.4072
Janis Antiste,FRA,"FW,MF",Toulouse,Ligue 1,16,1,12,0,0,2019-2020,False,0.0
