player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Gabriel Amato,ARG,FW,Albacete,La Liga,32,8,421,0,1,2003-2004,False,0.2138
Amauri,ITA,FW,Chievo,Serie A,23,28,1758,4,2,2003-2004,False,0.3072
José Amavisca,ESP,"FW,MF",Dep La Coruña,La Liga,32,4,148,0,0,2003-2004,False,0.0
Darren Ambrose,ENG,"FW,MF",Newcastle United,Premier League,19,24,960,2,2,2003-2004,False,0.375
Massimo Ambrosini,ITA,MF,Milan,Serie A,26,20,985,1,0,2003-2004,False,0.0914
Marco Ambrosio,ITA,GK,Chelsea,Premier League,30,8,720,0,0,2003-2004,False,0.0
Marco Amelia,ITA,GK,Lecce,Serie A,21,13,1139,0,0,2003-2004,False,0.0
Shola Ameobi,NGA,FW,Newcastle United,Premier League,21,26,1556,7,2,2003-2004,False,0.5206
Pablo Amo,ESP,DF,Dep La Coruña,La Liga,25,5,450,0,0,2003-2004,False,0.0
Christian Amoroso,ITA,MF,Bologna,Serie A,26,12,642,1,0,2003-2004,False,0.1402
Márcio Amoroso,BRA,FW,Dortmund,Bundesliga,29,4,329,4,0,2003-2004,False,1.0942
Lorenzo Amoruso,ITA,DF,Blackburn Rovers,Premier League,32,12,991,3,0,2003-2004,False,0.2725
Nicola Amoruso,ITA,FW,Modena,Serie A,28,25,1953,5,0,2003-2004,False,0.2304
Sonny Anderson,BRA,FW,Villarreal,La Liga,32,35,2189,12,2,2003-2004,False,0.5756
Daniel Andersson,SWE,"DF,MF",Ancona,Serie A,25,25,1975,1,2,2003-2004,False,0.1367
Patrik Andersson,SWE,DF,Barcelona,La Liga,31,4,208,0,0,2003-2004,False,0.0
Darren Anderton,ENG,MF,Tottenham Hotspur,Premier League,31,20,1435,1,4,2003-2004,False,0.3136
Jorge Andrade,POR,DF,Dep La Coruña,La Liga,25,37,3330,0,0,2003-2004,False,0.0
Tore André Flo,NOR,FW,Siena,Serie A,30,33,2673,8,3,2003-2004,False,0.3704
Pierre-Yves André,FRA,FW,Guingamp,Ligue 1,29,34,2295,1,2,2003-2004,False,0.1176
Martin Andresen,NOR,"FW,MF",Blackburn Rovers,Premier League,26,11,861,0,0,2003-2004,False,0.0
Keith Andrews,IRL,MF,Wolves,Premier League,22,1,90,0,0,2003-2004,False,0.0
Nicolas Anelka,FRA,FW,Manchester City,Premier League,24,32,2737,16,4,2003-2004,False,0.6577
Markus Anfang,GER,MF,Kaiserslautern,Bundesliga,29,8,439,0,1,2003-2004,False,0.205
Miguel Ángel Angulo,ESP,"FW,MF",Valencia,La Liga,26,22,1172,2,2,2003-2004,False,0.3072
Miguel Ángel,ESP,MF,Málaga,La Liga,24,35,3006,3,0,2003-2004,False,0.0898
Miguel Ángel Nadal,ESP,"DF,MF",Mallorca,La Liga,37,24,1743,1,0,2003-2004,False,0.0516
Juan Ángel Seguro,MEX,MF,Osasuna,La Liga,19,2,28,0,0,2003-2004,False,0.0
Miguel Ángel Tena,ESP,DF,Villarreal,La Liga,21,2,151,0,0,2003-2004,False,0.0
Roda Antar,LIB,MF,Freiburg,Bundesliga,22,17,1422,7,1,2003-2004,False,0.5063
Luca Antonini,ITA,"DF,MF",Sampdoria,Serie A,20,2,123,0,0,2003-2004,False,0.0
José Antonio Reyes,ESP,MF,Arsenal,Premier League,19,13,655,2,1,2003-2004,False,0.4122
José Antonio Reyes,ESP,MF,Sevilla,La Liga,19,21,1728,5,5,2003-2004,False,0.5208
Francesco Antonioli,ITA,GK,Sampdoria,Serie A,33,32,2835,0,0,2003-2004,False,0.0
