player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Jacques Abardonado,FRA,DF,Nice,Ligue 1,29,10,434,0,0,2007-2008,False,0.0
Jacques Abardonado,FRA,DF,Nürnberg,Bundesliga,29,10,820,0,0,2007-2008,False,0.0
Ignazio Abate,ITA,"DF,MF",Empoli,Serie A,20,24,1167,1,2,2007-2008,False,0.2314
Christian Abbiati,ITA,GK,Atlético Madrid,La Liga,30,21,1804,0,0,2007-2008,False,0.0
Pato Abbondanzieri,ARG,GK,Getafe,La Liga,34,34,3046,0,0,2007-2008,False,0.0
Yacine Abdessadki,MAR,MF,Strasbourg,Ligue 1,26,23,1549,0,2,2007-2008,False,0.1162
Damià Abella,ESP,"DF,MF",Real Betis,La Liga,25,26,2230,0,0,2007-2008,False,0.0
Éric Abidal,FRA,DF,Barcelona,La Liga,27,30,2523,0,0,2007-2008,False,0.0
Ahmed Abou Moslem,EGY,"DF,MF",Strasbourg,Ligue 1,26,2,91,0,0,2007-2008,False,0.0
Fabrice Abriel,FRA,MF,Lorient,Ligue 1,28,38,3420,2,2,2007-2008,False,0.1053
Santiago Acasiete,PER,DF,Almería,La Liga,29,20,1373,2,0,2007-2008,False,0.1311
Pietro Accardi,ITA,DF,Sampdoria,Serie A,24,22,1635,1,0,2007-2008,False,0.055
Robert Acquafresca,ITA,FW,Cagliari,Serie A,19,32,1714,10,1,2007-2008,False,0.5776
Daniele Adani,ITA,DF,Empoli,Serie A,33,6,434,0,0,2007-2008,False,0.0
Miles Addison,ENG,"DF,MF",Derby County,Premier League,18,1,90,0,0,2007-2008,False,0.0
Otto Addo,GHA,MF,Hamburger SV,Bundesliga,32,4,24,0,0,2007-2008,False,0.0
Emmanuel Adebayor,TOG,FW,Arsenal,Premier League,23,36,2926,24,4,2007-2008,False,0.8612
Nicky Adler,GER,"FW,MF",Nürnberg,Bundesliga,22,13,472,0,0,2007-2008,False,0.0
