player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Patrick van Aanholt,NED,DF,Sunderland,Premier League,24.0,33,2970,4,3,2015-2016,False,0.2121
Rolando Aarons,ENG,"DF,MF",Newcastle United,Premier League,19.0,10,381,1,1,2015-2016,False,0.4724
Ignazio Abate,ITA,DF,Milan,Serie A,28.0,27,2248,1,1,2015-2016,False,0.0801
Christian Abbiati,ITA,GK,Milan,Serie A,38.0,1,72,0,0,2015-2016,False,0.0
Aymen Abdennour,TUN,DF,Valencia,La Liga,25.0,22,1851,0,0,2015-2016,False,0.0
Almen Abdi,SUI,MF,Watford,Premier League,28.0,32,1974,2,0,2015-2016,False,0.0912
Rafidine Abdullah,COM,MF,Lorient,Ligue 1,21.0,12,579,1,0,2015-2016,False,0.1554
David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,29.0,31,2547,0,0,2015-2016,False,0.0
Tammy Abraham,ENG,FW,Chelsea,Premier League,17.0,2,55,0,0,2015-2016,False,0.0
Francesco Acerbi,ITA,DF,Sassuolo,Serie A,27.0,36,3240,4,0,2015-2016,False,0.1111
Robert Acquafresca,ITA,FW,Bologna,Serie A,27.0,6,208,0,0,2015-2016,False,0.0
Afriyie Acquah,GHA,MF,Torino,Serie A,23.0,29,1888,2,3,2015-2016,False,0.2383
Charlie Adam,SCO,MF,Stoke City,Premier League,29.0,22,1044,1,1,2015-2016,False,0.1724
Antonio Adán,ESP,GK,Real Betis,La Liga,28.0,36,3212,0,0,2015-2016,False,0.0
Emmanuel Adebayor,TOG,FW,Crystal Palace,Premier League,31.0,12,619,1,1,2015-2016,False,0.2908
Jordan Adéoti,BEN,"MF,DF",Caen,Ligue 1,26.0,32,1718,0,0,2015-2016,False,0.0
Claud Adjapong,ITA,"DF,MF",Sassuolo,Serie A,17.0,2,20,0,0,2015-2016,False,0.0
René Adler,GER,GK,Hamburger SV,Bundesliga,30.0,24,2071,0,1,2015-2016,False,0.0435
Ali Adnan Kadhim,IRQ,"MF,DF",Udinese,Serie A,21.0,28,1904,1,1,2015-2016,False,0.0945
Adrián,ESP,GK,West Ham United,Premier League,28.0,32,2880,0,0,2015-2016,False,0.0
Adriano,BRA,DF,Barcelona,La Liga,30.0,8,434,0,1,2015-2016,False,0.2074
Luiz Adriano,BRA,FW,Milan,Serie A,28.0,26,1194,4,0,2015-2016,False,0.3015
Adryan,BRA,"MF,FW",Nantes,Ligue 1,20.0,26,1423,3,2,2015-2016,False,0.3162
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,34.0,34,2776,20,6,2015-2016,False,0.8429
Ibrahim Afellay,NED,MF,Stoke City,Premier League,29.0,31,2102,2,2,2015-2016,False,0.1713
Benik Afobe,COD,FW,Bournemouth,Premier League,22.0,15,930,4,0,2015-2016,False,0.3871
Kossi Agassa,TOG,GK,Reims,Ligue 1,37.0,11,901,0,0,2015-2016,False,0.0
Gabriel Agbonlahor,ENG,FW,Aston Villa,Premier League,28.0,15,1031,1,2,2015-2016,False,0.2619
Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,28.0,16,1170,13,0,2015-2016,False,1.0
Sergio Agüero,ARG,FW,Manchester City,Premier League,27.0,30,2360,24,2,2015-2016,False,0.9915
Rodrigo Aguirre,URU,FW,Udinese,Serie A,20.0,10,340,0,1,2015-2016,False,0.2647
Emmanuel Agyemang-Badu,GHA,MF,Udinese,Serie A,24.0,33,2661,4,1,2015-2016,False,0.1691
Ali Ahamada,COM,GK,Toulouse,Ligue 1,23.0,6,540,0,0,2015-2016,False,0.0
Stefan Aigner,GER,"MF,FW",Eintracht Frankfurt,Bundesliga,27.0,31,2394,3,3,2015-2016,False,0.2256
