player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Jacques Abardonado,FRA,DF,Nice,Ligue 1,27,32,2716,1,0,2005-2006,False,0.0331
Christian Abbiati,ITA,GK,Juventus,Serie A,28,19,1612,0,0,2005-2006,False,0.0
Hosny Abd Rabo,EGY,MF,Strasbourg,Ligue 1,20,22,1802,0,0,2005-2006,False,0.0
Yacine Abdessadki,MAR,MF,Toulouse,Ligue 1,24,9,574,0,0,2005-2006,False,0.0
Yacine Abdessadki,MAR,MF,Strasbourg,Ligue 1,24,13,1116,0,0,2005-2006,False,0.0
Djamel Abdoun,ALG,MF,Ajaccio,Ligue 1,19,7,302,2,0,2005-2006,False,0.596
Nelson Abeijón,URU,MF,Cagliari,Serie A,32,28,2036,2,0,2005-2006,False,0.0884
Mathias Abel,GER,DF,Mainz 05,Bundesliga,24,20,1527,0,1,2005-2006,True,0.0589
Damià Abella,ESP,"DF,MF",Racing Sant,La Liga,23,18,1368,3,3,2005-2006,True,0.3947
Éric Abidal,FRA,DF,Lyon,Ligue 1,25,14,1207,0,2,2005-2006,True,0.1491
Ahmed Abou Moslem,EGY,"DF,MF",Strasbourg,Ligue 1,24,14,1053,0,1,2005-2006,True,0.0855
Hicham Aboucherouane,MAR,"FW,MF",Lille,Ligue 1,24,12,849,2,0,2005-2006,False,0.212
Giuseppe Abruzzese,ITA,DF,Lecce,Serie A,24,5,424,0,0,2005-2006,False,0.0
Abuda,BRA,FW,Wolfsburg,Bundesliga,19,1,9,0,0,2005-2006,False,0.0
Pietro Accardi,ITA,DF,Palermo,Serie A,22,6,407,0,0,2005-2006,False,0.0
Paolo Acerbis,ITA,GK,Livorno,Serie A,24,2,180,0,0,2005-2006,False,0.0
Milenko Ačimovič,SVN,MF,Lille,Ligue 1,28,12,810,2,1,2005-2006,True,0.3333
Robert Acquafresca,ITA,FW,Treviso,Serie A,17,8,305,0,0,2005-2006,False,0.0
Roberto Acuña,PAR,MF,Dep La Coruña,La Liga,33,5,82,0,0,2005-2006,False,0.0
Adaílton,BRA,DF,Rennes,Ligue 1,22,19,1528,0,1,2005-2006,True,0.0589
Adaílton,BRA,DF,Nancy,Ligue 1,25,16,1021,0,1,2005-2006,True,0.0881
Frédéric Adam,FRA,MF,Troyes,Ligue 1,31,9,599,1,0,2005-2006,False,0.1503
Daniele Adani,ITA,DF,Ascoli,Serie A,31,3,136,0,0,2005-2006,False,0.0
Otto Addo,GHA,MF,Mainz 05,Bundesliga,30,17,695,0,2,2005-2006,True,0.259
Emmanuel Adebayor,TOG,FW,Arsenal,Premier League,21,13,1001,4,4,2005-2006,True,0.7193
Emmanuel Adebayor,TOG,FW,Monaco,Ligue 1,21,13,945,1,0,2005-2006,False,0.0952
Ador,ESP,FW,Málaga,La Liga,19,2,32,0,0,2005-2006,False,0.0
Adriano,BRA,"DF,MF",Sevilla,La Liga,20,32,2299,3,2,2005-2006,True,0.1957
Adriano,BRA,FW,Inter,Serie A,23,30,2323,13,2,2005-2006,True,0.5811
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,24,15,1122,6,2,2005-2006,True,0.6417
Kodjo Afanou,FRA,DF,Bordeaux,Ligue 1,27,18,1554,0,0,2005-2006,False,0.0
Rabiu Afolabi,NGA,DF,Sochaux,Ligue 1,25,32,2818,1,0,2005-2006,False,0.0319
David Aganzo,ESP,FW,Racing Sant,La Liga,24,17,825,3,0,2005-2006,False,0.3273
Kossi Agassa,TOG,GK,Metz,Ligue 1,27,1,90,0,0,2005-2006,False,0.0
Gabriel Agbonlahor,ENG,"FW,MF",Aston Villa,Premier League,18,9,446,1,1,2005-2006,True,0.4036
Daniel Agger,DEN,DF,Liverpool,Premier League,20,4,360,0,0,2005-2006,False,0.0
Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,18,1,12,0,0,2005-2006,False,0.0
Federico Agliardi,ITA,GK,Palermo,Serie A,22,10,900,0,0,2005-2006,False,0.0
Alessandro Agostini,ITA,DF,Cagliari,Serie A,26,35,2620,0,2,2005-2006,True,0.0687
Laurent Agouazi,ALG,MF,Metz,Ligue 1,21,8,472,1,2,2005-2006,True,0.572
Abel Aguilar,COL,MF,Udinese,Serie A,20,2,77,0,0,2005-2006,False,0.0
Alberto Aguilar,ESP,"DF,MF",Getafe,La Liga,21,16,968,0,0,2005-2006,False,0.0
Abdelaziz Ahanfouf,MAR,FW,MSV Duisburg,Bundesliga,27,27,2055,9,2,2005-2006,True,0.4818
Pablo Aimar,ARG,MF,Valencia,La Liga,25,32,2429,5,3,2005-2006,True,0.2964
Yakubu Aiyegbeni,NGA,FW,Middlesbrough,Premier League,22,34,2586,13,6,2005-2006,True,0.6613
Kanga Akalé,CIV,"FW,MF",Auxerre,Ligue 1,24,31,1912,4,5,2005-2006,True,0.4236
Jean-Louis Akpa Akpro,CIV,FW,Toulouse,Ligue 1,20,14,494,3,0,2005-2006,False,0.5466
David Albelda,ESP,"DF,MF",Valencia,La Liga,27,32,2833,2,1,2005-2006,True,0.0953
Alberto,ESP,GK,Real Sociedad,La Liga,36,6,515,0,0,2005-2006,False,0.0
Raúl Albiol,ESP,DF,Valencia,La Liga,19,29,2610,1,1,2005-2006,True,0.069
Martin Albrechtsen,DEN,DF,West Brom,Premier League,25,31,2513,1,0,2005-2006,False,0.0358
Carlos Alcántara,ESP,DF,Villarreal,La Liga,20,3,270,0,0,2005-2006,False,0.0
Alex,POR,"DF,MF",Wolfsburg,Bundesliga,25,17,1360,0,1,2005-2006,True,0.0662
