player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Agustín Abadía,ESP,MF,Compostela,La Liga,33,14,378,0,0,1995-1996,True,0.0
Beniamino Abate,ITA,GK,Cagliari,Serie A,33,15,1350,0,0,1995-1996,True,0.0
Giovanni Abate,ITA,MF,Sampdoria,Serie A,19,1,56,0,0,1995-1996,True,0.0
Denis Abed,FRA,FW,Lille,Division 1,26,14,925,0,0,1995-1996,True,0.0
Gary Ablett,ENG,DF,Everton,Premier League,29,13,1017,0,0,1995-1996,False,0.0
Samassi Abou,FRA,FW,Lyon,Division 1,22,1,15,0,0,1995-1996,True,0.0
Jean Acedo,FRA,DF,Gueugnon,Division 1,31,36,3239,0,0,1995-1996,True,0.0
Stéphane Adam,FRA,FW,Metz,Division 1,26,19,809,1,0,1995-1996,True,0.1112
Tony Adams,ENG,DF,Arsenal,Premier League,28,21,1853,1,1,1995-1996,False,0.0971
Mutiu Adepoju,NGA,MF,Racing Sant,La Liga,24,37,3067,7,0,1995-1996,True,0.2054
Jean-Marc Adjovi-Bocco,BEN,DF,Lens,Division 1,31,28,2038,0,0,1995-1996,True,0.0
Kodjo Afanou,FRA,DF,Bordeaux,Division 1,17,1,90,0,0,1995-1996,True,0.0
Wilfred Agbonavbare,NGA,GK,Rayo Vallecano,La Liga,28,16,1392,0,0,1995-1996,True,0.0
Jan Åge Fjørtoft,NOR,FW,Middlesbrough,Premier League,28,28,2288,6,4,1995-1996,False,0.3934
Joseba Agirre,ESP,MF,Real Sociedad,La Liga,18,1,16,0,0,1995-1996,True,0.0
Borja Agirretxu,ESP,DF,Celta Vigo,La Liga,26,27,1879,0,0,1995-1996,True,0.0
Massimo Agostini,ITA,FW,Napoli,Serie A,31,30,2496,4,0,1995-1996,True,0.1442
Festus Agu,NGA,FW,Compostela,La Liga,20,8,171,0,0,1995-1996,True,0.0
Xavier Aguado,ESP,DF,Zaragoza,La Liga,27,36,3177,2,0,1995-1996,True,0.0567
Carlos Aguilera,ESP,DF,Tenerife,La Liga,26,39,2771,5,0,1995-1996,True,0.1624
Sauveur Aiello,FRA,MF,Bastia,Division 1,20,4,76,0,0,1995-1996,True,0.0
Jorge Aizkorreta,ESP,GK,Athletic Club,La Liga,21,8,644,0,0,1995-1996,True,0.0
José Aizpurúa,ESP,GK,Salamanca,La Liga,25,40,3600,0,0,1995-1996,True,0.0
Christophe Ajas,FRA,FW,Gueugnon,Division 1,23,9,255,0,0,1995-1996,True,0.0
