player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Dani Abalo,ESP,"FW,MF",Celta Vigo,La Liga,18.0,1,13,0,0,2006-2007,True,0.0
Jacques Abardonado,FRA,DF,Nice,Ligue 1,28.0,30,2492,0,0,2006-2007,False,0.0
Christian Abbiati,ITA,GK,Torino,Serie A,29.0,36,3235,0,0,2006-2007,False,0.0
Pato Abbondanzieri,ARG,GK,Getafe,La Liga,33.0,36,3215,0,0,2006-2007,False,0.0
Elvis Abbruscato,ITA,FW,Torino,Serie A,25.0,29,1432,3,0,2006-2007,False,0.1885
Nadjim Abdou,COM,MF,Sedan,Ligue 1,22.0,17,1136,0,0,2006-2007,False,0.0
Nelson Abeijón,URU,MF,Atalanta,Serie A,33.0,5,121,0,0,2006-2007,False,0.0
Mathias Abel,GER,DF,Hamburger SV,Bundesliga,25.0,8,416,0,0,2006-2007,False,0.0
Éric Abidal,FRA,DF,Lyon,Ligue 1,26.0,33,2750,0,1,2006-2007,False,0.0327
Fernando de Abreu Ferreira,BRA,DF,Racing Sant,La Liga,21.0,1,6,0,0,2006-2007,True,0.0
Fabrice Abriel,FRA,MF,Lorient,Ligue 1,27.0,38,3420,1,1,2006-2007,False,0.0526
Pietro Accardi,ITA,DF,Sampdoria,Serie A,23.0,27,2320,0,0,2006-2007,False,0.0
Daniele Adani,ITA,DF,Empoli,Serie A,32.0,15,892,0,0,2006-2007,False,0.0
Otto Addo,GHA,MF,Mainz 05,Bundesliga,31.0,2,48,0,0,2006-2007,False,0.0
Emmanuel Adebayor,TOG,FW,Arsenal,Premier League,22.0,29,1985,8,3,2006-2007,False,0.4987
René Adler,GER,GK,Leverkusen,Bundesliga,21.0,11,990,0,0,2006-2007,False,0.0
Adriano,BRA,DF,Atalanta,Serie A,24.0,25,1662,1,4,2006-2007,False,0.2708
Adriano,BRA,"DF,MF",Sevilla,La Liga,21.0,26,1819,2,1,2006-2007,False,0.1484
Adriano,BRA,FW,Inter,Serie A,24.0,23,1414,5,9,2006-2007,False,0.8911
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,25.0,34,2399,9,3,2006-2007,False,0.4502
Rabiu Afolabi,NGA,DF,Sochaux,Ligue 1,26.0,34,2953,2,0,2006-2007,False,0.061
David Aganzo,ESP,FW,Racing Sant,La Liga,25.0,6,148,0,0,2006-2007,False,0.0
Didier Agathe,FRA,"DF,FW",Aston Villa,Premier League,30.0,5,166,0,0,2006-2007,False,0.0
Gabriel Agbonlahor,ENG,"FW,MF",Aston Villa,Premier League,19.0,38,3325,9,4,2006-2007,False,0.3519
Daniel Agger,DEN,DF,Liverpool,Premier League,21.0,27,2168,2,2,2006-2007,False,0.1661
Julius Aghahowa,NGA,FW,Wigan Athletic,Premier League,24.0,6,311,0,0,2006-2007,False,0.0
Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,19.0,6,79,0,0,2006-2007,False,0.0
Federico Agliardi,ITA,GK,Palermo,Serie A,23.0,9,667,0,0,2006-2007,False,0.0
Alessandro Agostini,ITA,DF,Cagliari,Serie A,27.0,27,1914,0,0,2006-2007,False,0.0
Sergio Agüero,ARG,FW,Atlético Madrid,La Liga,18.0,38,2484,6,2,2006-2007,False,0.2899
Alberto Aguilar,ESP,"DF,MF",Getafe,La Liga,22.0,14,539,0,0,2006-2007,False,0.0
Abdelaziz Ahanfouf,MAR,FW,Arminia,Bundesliga,28.0,6,216,2,0,2006-2007,False,0.8333
Lawrence Aidoo,GHA,"FW,MF",Energie Cottbus,Bundesliga,24.0,1,54,0,0,2006-2007,False,0.0
Pablo Aimar,ARG,MF,Zaragoza,La Liga,26.0,31,2506,5,7,2006-2007,False,0.431
Yakubu Aiyegbeni,NGA,FW,Middlesbrough,Premier League,23.0,37,3164,12,4,2006-2007,False,0.4551
Kanga Akalé,CIV,"FW,MF",Auxerre,Ligue 1,25.0,36,2746,9,6,2006-2007,False,0.4916
