player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Jacques Abardonado,FRA,DF,Marseille,Division 1,20,2,30,0,0,1998-1999,True,0.0
Christian Abbiati,ITA,GK,Milan,Serie A,21,18,1531,0,0,1998-1999,False,0.0
Nelson Abeijón,URU,MF,Cagliari,Serie A,25,7,219,0,0,1998-1999,False,0.0
Samassi Abou,FRA,FW,West Ham United,Premier League,25,3,188,0,0,1998-1999,False,0.0
Roberto Acuña,PAR,MF,Zaragoza,La Liga,26,31,2565,2,0,1998-1999,True,0.0702
Adaílton,BRA,FW,Paris Saint-Germain,Division 1,21,19,648,2,0,1998-1999,True,0.2778
Tony Adams,ENG,DF,Arsenal,Premier League,31,26,2340,1,0,1998-1999,False,0.0385
Mutiu Adepoju,NGA,MF,Real Sociedad,La Liga,27,17,787,0,0,1998-1999,True,0.0
Kodjo Afanou,FRA,DF,Bordeaux,Division 1,20,19,1322,0,0,1998-1999,True,0.0
Victor Agali,NGA,FW,Hansa Rostock,Bundesliga,19,22,1001,6,0,1998-1999,True,0.5395
Didier Agathe,FRA,"DF,FW",Montpellier,Division 1,22,2,77,0,0,1998-1999,True,0.0
Kuami Agboh,TOG,MF,Auxerre,Division 1,20,24,1857,0,0,1998-1999,True,0.0
Jan Åge Fjørtoft,NOR,FW,Eintracht Frankfurt,Bundesliga,31,17,1315,6,0,1998-1999,True,0.4106
Junior Agogo,GHA,FW,Sheffield Weds,Premier League,18,1,41,0,0,1998-1999,False,0.0
Paul Agostino,AUS,FW,1860 Munich,Bundesliga,23,7,139,0,0,1998-1999,True,0.0
Xavier Aguado,ESP,DF,Zaragoza,La Liga,30,36,3195,4,0,1998-1999,True,0.1127
Carlos Aguilera,ESP,DF,Atlético Madrid,La Liga,29,28,2333,1,0,1998-1999,True,0.0386
Augustine Ahinful,GHA,FW,Venezia,Serie A,23,3,98,0,0,1998-1999,False,0.0
Gareth Ainsworth,ENG,MF,Wimbledon,Premier League,25,8,465,0,1,1998-1999,False,0.1935
José Aizpurúa,ESP,GK,Salamanca,La Liga,28,6,503,0,0,1998-1999,True,0.0
Charles Akonnor,GHA,MF,Wolfsburg,Bundesliga,24,32,2415,6,0,1998-1999,True,0.2236
Jonathan Akpoborie,NGA,FW,Stuttgart,Bundesliga,29,28,2156,11,0,1998-1999,True,0.4592
David Albelda,ESP,"DF,MF",Villarreal,La Liga,20,35,3092,2,0,1998-1999,True,0.0582
Philippe Albert,BEL,DF,Newcastle United,Premier League,30,6,362,0,0,1998-1999,False,0.0
Demetrio Albertini,ITA,"FW,MF",Milan,Serie A,26,29,2480,2,5,1998-1999,False,0.254
Alberto,ESP,GK,Real Sociedad,La Liga,29,37,3330,0,0,1998-1999,True,0.0
Alberto Albístegui,ESP,DF,Alavés,La Liga,33,19,1274,0,0,1998-1999,True,0.0
Thorsten Albustin,GER,GK,Gladbach,Bundesliga,24,2,180,0,0,1998-1999,True,0.0
Óscar Alcides Mena,ARG,MF,Atlético Madrid,La Liga,27,29,1753,2,0,1998-1999,True,0.1027
Aldair,BRA,DF,Roma,Serie A,32,27,2421,0,0,1998-1999,False,0.0
Aitor Aldeondo,ESP,FW,Real Sociedad,La Liga,23,19,490,1,0,1998-1999,True,0.1837
Dmitri Alenichev,RUS,MF,Roma,Serie A,25,21,1080,1,5,1998-1999,False,0.5
Niclas Alexandersson,SWE,MF,Sheffield Weds,Premier League,26,32,2608,3,3,1998-1999,False,0.2071
Alexis,ESP,DF,Tenerife,La Liga,24,31,2777,3,0,1998-1999,True,0.0972
Manuel Alfaro,ESP,FW,Villarreal,La Liga,27,35,2148,12,0,1998-1999,True,0.5028
Jimmy Algerino,FRA,DF,Paris Saint-Germain,Division 1,26,30,2580,3,0,1998-1999,True,0.1047
Imanol Alguacil,ESP,DF,Villarreal,La Liga,27,8,545,1,0,1998-1999,True,0.1651
Hervé Alicarte,FRA,DF,Bordeaux,Division 1,23,29,2610,2,0,1998-1999,True,0.069
Mohammed Aliyu,NGA,FW,Milan,Serie A,16,1,14,0,0,1998-1999,True,0.0
Bittor Alkiza,ESP,MF,Athletic Club,La Liga,27,37,2814,0,0,1998-1999,True,0.0
Rafael Alkorta,ESP,DF,Athletic Club,La Liga,29,15,1313,1,0,1998-1999,True,0.0685
Rory Allen,ENG,FW,Tottenham Hotspur,Premier League,20,5,29,0,0,1998-1999,False,0.0
Bernard Allou,FRA,"FW,MF",Nottingham Forest,Premier League,23,2,14,0,0,1998-1999,False,0.0
Matías Almeyda,ARG,"DF,MF",Lazio,Serie A,24,25,2153,1,0,1998-1999,False,0.0418
Simone Aloe,NAN,,Sampdoria,Serie A,19,1,5,0,0,1998-1999,True,0.0
John Aloisi,AUS,FW,Coventry City,Premier League,22,16,724,5,2,1998-1999,False,0.8702
Ross Aloisi,AUS,MF,Lorient,Division 1,25,1,33,0,0,1998-1999,True,0.0
Edu Alonso,ESP,MF,Salamanca,La Liga,24,36,3232,3,0,1998-1999,True,0.0835
Txema Alonso,ESP,"DF,MF",Racing Sant,La Liga,27,25,1936,0,0,1998-1999,True,0.0
