player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Ismael Aaneba,FRA,DF,Strasbourg,Ligue 1,21,2,11,0,0,2020-2021,False,0.0
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,22,1777,0,1,2020-2021,True,0.0506
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,33,2889,3,0,2020-2021,False,0.0935
Sabit Abdulai,GHA,MF,Getafe,La Liga,21,3,60,0,0,2020-2021,False,0.0
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,18,1320,0,0,2020-2021,False,0.0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,38,2963,3,1,2020-2021,True,0.1215
Charles Abi,FRA,"FW,MF",Saint-Étienne,Ligue 1,20,24,912,3,2,2020-2021,True,0.4934
Matthis Abline,FRA,"FW,MF",Rennes,Ligue 1,17,1,2,0,0,2020-2021,False,0.0
Pape Abou Cissé,SEN,DF,Saint-Étienne,Ligue 1,24,14,1260,0,0,2020-2021,False,0.0
David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,34,14,1222,1,0,2020-2021,False,0.0736
Tammy Abraham,ENG,FW,Chelsea,Premier League,22,22,1040,6,1,2020-2021,True,0.6058
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,30,5,60,0,0,2020-2021,False,0.0
Gennaro Acampora,ITA,"MF,FW",Spezia,Serie A,26,14,441,0,0,2020-2021,False,0.0
Francesco Acerbi,ITA,DF,Lazio,Serie A,32,32,2813,0,1,2020-2021,True,0.032
Ragnar Ache,GER,FW,Eintracht Frankfurt,Bundesliga,22,7,100,1,0,2020-2021,False,0.9
Marcos Acuña,ARG,DF,Sevilla,La Liga,28,30,2330,1,2,2020-2021,True,0.1159
Che Adams,SCO,FW,Southampton,Premier League,24,36,2667,9,5,2020-2021,True,0.4724
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,21,27,1850,1,1,2020-2021,True,0.0973
Sargis Adamyan,ARM,MF,Hoffenheim,Bundesliga,27,18,479,2,3,2020-2021,True,0.9395
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,22,33,2953,0,0,2020-2021,False,0.0
Bobby Adekanye,NED,"FW,MF",Cádiz,La Liga,21,3,36,0,0,2020-2021,False,0.0
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,20,35,2418,2,5,2020-2021,True,0.2605
Andrea Adorante,ITA,FW,Parma,Serie A,20,1,10,0,0,2020-2021,False,0.0
Adrián,ESP,GK,Liverpool,Premier League,33,3,270,0,0,2020-2021,False,0.0
Martin Agirregabiria,ESP,"DF,MF",Alavés,La Liga,24,26,1558,0,1,2020-2021,True,0.0578
Lucien Agoume,FRA,MF,Spezia,Serie A,18,12,800,0,0,2020-2021,False,0.0
Felix Agu,NGA,MF,Werder Bremen,Bundesliga,20,15,701,1,0,2020-2021,False,0.1284
Kevin Agudelo,COL,FW,Spezia,Serie A,21,29,1356,1,2,2020-2021,True,0.1991
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,24,35,3147,3,1,2020-2021,True,0.1144
Sergio Agüero,ARG,"FW,MF",Manchester City,Premier League,32,12,559,4,1,2020-2021,True,0.805
Ruben Aguilar,FRA,"DF,MF",Monaco,Ligue 1,27,33,2225,1,3,2020-2021,True,0.1618
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,18,6,252,0,0,2020-2021,False,0.0
Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21,20,899,2,0,2020-2021,False,0.2002
Jean-Eudes Aholou,CIV,"MF,DF",Strasbourg,Ligue 1,26,27,2146,2,2,2020-2021,True,0.1678
Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,26,2,36,0,0,2020-2021,False,0.0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,24,25,1289,0,0,2020-2021,False,0.0
Ola Aina,NGA,DF,Fulham,Premier League,23,31,2664,2,1,2020-2021,True,0.1014
Rayan Aït-Nouri,ALG,DF,Angers,Ligue 1,19,3,187,0,1,2020-2021,True,0.4813
Rayan Aït-Nouri,ALG,"MF,DF",Wolves,Premier League,19,21,1404,1,1,2020-2021,True,0.1282
Semi Ajayi,NGA,DF,West Brom,Premier League,26,33,2780,2,0,2020-2021,False,0.0647
Ludovic Ajorque,FRA,FW,Strasbourg,Ligue 1,26,35,2967,16,4,2020-2021,True,0.6067
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,25,28,2350,2,0,2020-2021,False,0.0766
Carlos Akapo,EQG,DF,Cádiz,La Liga,27,13,865,1,0,2020-2021,False,0.104
Marley Aké,FRA,"FW,MF",Marseille,Ligue 1,19,9,146,0,0,2020-2021,False,0.0
Nathan Aké,NED,DF,Manchester City,Premier League,25,10,797,1,0,2020-2021,False,0.1129
Paul Akouokou,CIV,MF,Real Betis,La Liga,22,10,378,0,0,2020-2021,False,0.0
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,27,32,1056,0,1,2020-2021,True,0.0852
Kevin Akpoguma,NGA,"DF,MF",Hoffenheim,Bundesliga,25,16,1184,1,0,2020-2021,False,0.076
David Alaba,AUT,"DF,MF",Bayern Munich,Bundesliga,28,32,2675,2,4,2020-2021,True,0.2019
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,22,22,1505,0,2,2020-2021,True,0.1196
Jony Álamo,ESP,MF,Elche,La Liga,18,1,73,0,0,2020-2021,False,0.0
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,27,25,1245,11,2,2020-2021,True,0.9398
Jordi Alba,ESP,"DF,MF",Barcelona,La Liga,31,35,3025,3,5,2020-2021,True,0.238
Luis Alberto,ESP,MF,Lazio,Serie A,27,34,2618,9,2,2020-2021,True,0.3782
Raúl Albiol,ESP,DF,Villarreal,La Liga,34,35,3115,0,0,2020-2021,False,0.0
Marc Albrighton,ENG,MF,Leicester City,Premier League,30,31,1746,1,5,2020-2021,True,0.3093
Paco Alcácer,ESP,FW,Villarreal,La Liga,26,27,1544,6,4,2020-2021,True,0.5829
Pedro Alcalá,ESP,DF,Cádiz,La Liga,31,13,909,0,0,2020-2021,False,0.0
Thiago Alcántara,ESP,MF,Liverpool,Premier League,29,24,1854,1,0,2020-2021,False,0.0485
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,29,30,2165,1,0,2020-2021,False,0.0416
Omar Alderete,PAR,DF,Hertha BSC,Bundesliga,23,17,1299,0,0,2020-2021,False,0.0
Toby Alderweireld,BEL,DF,Tottenham Hotspur,Premier League,31,25,2240,1,0,2020-2021,False,0.0402
Iván Alejo,ESP,MF,Cádiz,La Liga,25,22,827,1,1,2020-2021,True,0.2177
Carles Aleñá,ESP,MF,Barcelona,La Liga,22,2,48,0,0,2020-2021,False,0.0
Carles Aleñá,ESP,MF,Getafe,La Liga,22,22,1366,2,2,2020-2021,True,0.2635
Rúnar Alex Rúnarsson,ISL,GK,Arsenal,Premier League,25,1,16,0,0,2020-2021,False,0.0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,21,36,3031,2,7,2020-2021,True,0.2672
Alfon,ESP,FW,Celta Vigo,La Liga,21,2,34,0,0,2020-2021,False,0.0
Mohamed Ali Cho,FRA,FW,Angers,Ligue 1,16,21,348,0,0,2020-2021,False,0.0
Ezgjan Alioski,MKD,"DF,MF",Leeds United,Premier League,28,36,2461,2,3,2020-2021,True,0.1829
Rachid Alioui,MAR,FW,Angers,Ligue 1,28,1,15,0,0,2020-2021,False,0.0
Alisson,BRA,GK,Liverpool,Premier League,27,33,2970,1,0,2020-2021,False,0.0303
Saturnin Allagbé,BEN,GK,Dijon,Ligue 1,26,12,1080,0,0,2020-2021,False,0.0
Allan,BRA,MF,Everton,Premier League,29,24,2051,0,0,2020-2021,False,0.0
Dele Alli,ENG,MF,Tottenham Hotspur,Premier League,24,15,620,0,1,2020-2021,True,0.1452
Miguel Almirón,PAR,"MF,FW",Newcastle United,Premier League,26,34,2429,4,1,2020-2021,True,0.1853
Marcos Alonso,ESP,"MF,DF",Chelsea,Premier League,29,13,960,2,0,2020-2021,False,0.1875
Sergio Álvarez,ESP,"MF,DF",Eibar,La Liga,28,27,1568,0,0,2020-2021,False,0.0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,25,23,1948,1,0,2020-2021,False,0.0462
Bruno Alves,POR,DF,Parma,Serie A,38,19,1632,1,0,2020-2021,False,0.0551
Steven Alzate,COL,MF,Brighton,Premier League,21,15,896,1,0,2020-2021,False,0.1004
Ibrahim Amadou,FRA,MF,Angers,Ligue 1,27,24,1504,0,0,2020-2021,False,0.0
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,30,2,116,0,0,2020-2021,False,0.0
Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,18,1,45,0,0,2020-2021,False,0.0
Daniel Amartey,GHA,DF,Leicester City,Premier League,25,12,722,1,0,2020-2021,False,0.1247
Jordan Amavi,FRA,"DF,MF",Marseille,Ligue 1,26,13,813,1,0,2020-2021,False,0.1107
Thierry Ambrose,GLP,"FW,MF",Metz,Ligue 1,23,23,753,0,1,2020-2021,True,0.1195
Wisdom Amey,ITA,DF,Bologna,Serie A,14,1,2,0,0,2020-2021,False,0.0
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,23,29,1890,2,6,2020-2021,True,0.381
Ethan Ampadu,WAL,"DF,MF",Sheffield United,Premier League,19,25,2089,0,0,2020-2021,False,0.0
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,23,31,2441,0,0,2020-2021,False,0.0
Jon Ander Garrido,ESP,MF,Cádiz,La Liga,30,23,800,0,0,2020-2021,False,0.0
Joachim Andersen,DEN,DF,Lyon,Ligue 1,24,3,192,0,0,2020-2021,False,0.0
Joachim Andersen,DEN,DF,Fulham,Premier League,24,31,2730,1,1,2020-2021,True,0.0659
Djavan Anderson,SUR,MF,Lazio,Serie A,25,3,72,0,0,2020-2021,False,0.0
Elliot Anderson,ENG,MF,Newcastle United,Premier League,17,1,4,0,0,2020-2021,False,0.0
Felipe Anderson,BRA,"FW,MF",West Ham United,Premier League,27,2,3,0,0,2020-2021,False,0.0
Sebastian Andersson,SWE,FW,Köln,Bundesliga,29,16,1126,3,0,2020-2021,False,0.2398
Nícolas Andrade,BRA,GK,Udinese,Serie A,32,2,180,0,0,2020-2021,False,0.0
Benjamin André,FRA,MF,Lille,Ligue 1,29,35,2885,0,1,2020-2021,True,0.0312
Marcos André,BRA,FW,Valladolid,La Liga,23,23,1177,4,1,2020-2021,True,0.3823
Robert Andrich,GER,MF,Union Berlin,Bundesliga,25,29,2526,5,2,2020-2021,True,0.2494
Victorien Angban,CIV,MF,Metz,Ligue 1,23,26,1672,0,1,2020-2021,True,0.0538
Ángel,ESP,GK,Granada,La Liga,18,1,90,0,0,2020-2021,False,0.0
José Ángel,ESP,DF,Eibar,La Liga,30,14,901,0,0,2020-2021,False,0.0
Miguel Ángel Rubio,ESP,DF,Valladolid,La Liga,22,2,135,0,0,2020-2021,False,0.0
Angeliño,ESP,"MF,DF",RB Leipzig,Bundesliga,23,26,2161,4,4,2020-2021,True,0.3332
Davide Angelo Ghislandi,ITA,MF,Atalanta,Serie A,19,1,5,0,0,2020-2021,False,0.0
Philip Ankhrah,GHA,FW,Hellas Verona,Serie A,17,1,13,0,0,2020-2021,False,0.0
Cristian Ansaldi,ARG,MF,Torino,Serie A,33,31,1947,1,6,2020-2021,True,0.3236
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,24,31,2711,0,1,2020-2021,True,0.0332
Michail Antonio,JAM,FW,West Ham United,Premier League,30,26,1974,10,5,2020-2021,True,0.6839
José Antonio Miranda,EQG,MF,Getafe,La Liga,22,4,26,0,0,2020-2021,False,0.0
Valentin Antov,BUL,DF,Bologna,Serie A,19,5,232,0,0,2020-2021,False,0.0
Houssem Aouar,ALG,MF,Lyon,Ligue 1,22,30,1781,7,3,2020-2021,True,0.5053
Adil Aouchiche,ALG,"MF,FW",Saint-Étienne,Ligue 1,18,34,1731,2,5,2020-2021,True,0.364
Dennis Appiah,FRA,DF,Nantes,Ligue 1,28,22,1556,0,2,2020-2021,True,0.1157
Aritz Arambarri,ESP,DF,Real Sociedad,La Liga,22,1,26,0,0,2020-2021,False,0.0
Mauro Arambarri,URU,MF,Getafe,La Liga,24,34,2983,3,0,2020-2021,False,0.0905
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,31,21,1669,0,0,2020-2021,False,0.0
Luiz Araújo,BRA,MF,Lille,Ligue 1,24,28,1496,4,2,2020-2021,True,0.361
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,28,33,2426,0,0,2020-2021,False,0.0
Ronald Araújo,URU,DF,Barcelona,La Liga,21,24,1510,2,1,2020-2021,True,0.1788
Anaitz Arbilla,ESP,DF,Eibar,La Liga,33,34,2807,0,1,2020-2021,True,0.0321
Alphonse Areola,FRA,GK,Fulham,Premier League,27,36,3240,0,0,2020-2021,False,0.0
Santiago Arias,COL,DF,Leverkusen,Bundesliga,28,1,90,0,0,2020-2021,False,0.0
Karim Aribi,ALG,FW,Nîmes,Ligue 1,26,13,294,0,0,2020-2021,False,0.0
Unai Arietaleanizbeaskoa,ESP,FW,Eibar,La Liga,21,4,47,0,0,2020-2021,False,0.0
Nicolò Armini,ITA,DF,Lazio,Serie A,19,1,5,0,0,2020-2021,False,0.0
Stuart Armstrong,SCO,MF,Southampton,Premier League,28,33,2764,4,5,2020-2021,True,0.2931
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,26,30,2585,3,6,2020-2021,True,0.3133
Tolu Arokodare,NGA,FW,Köln,Bundesliga,19,10,112,0,0,2020-2021,False,0.0
Sergio Arribas,ESP,MF,Real Madrid,La Liga,18,8,135,0,0,2020-2021,False,0.0
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,25,7,585,0,0,2020-2021,False,0.0
Tolgay Arslan,GER,MF,Udinese,Serie A,29,30,1818,3,0,2020-2021,False,0.1485
Kwadwo Asamoah,GHA,MF,Cagliari,Serie A,31,9,224,0,0,2020-2021,False,0.0
Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,23,13,762,1,0,2020-2021,False,0.1181
Sergio Asenjo,ESP,GK,Villarreal,La Liga,31,36,3240,0,0,2020-2021,False,0.0
Marco Asensio,ESP,"FW,MF",Real Madrid,La Liga,24,35,1869,5,2,2020-2021,True,0.3371
Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,19,6,95,0,0,2020-2021,False,0.0
Iago Aspas,ESP,FW,Celta Vigo,La Liga,32,33,2864,14,13,2020-2021,True,0.8485
Roger Assalé,CIV,"MF,FW",Dijon,Ligue 1,26,17,828,1,1,2020-2021,True,0.2174
Youcef Atal,ALG,"MF,DF",Nice,Ligue 1,24,18,956,1,0,2020-2021,False,0.0941
Miguel Atienza,ESP,MF,Eibar,La Liga,21,12,838,0,0,2020-2021,False,0.0
Pierre-Emerick Aubameyang,GAB,"FW,MF",Arsenal,Premier League,31,29,2332,10,3,2020-2021,True,0.5017
Emil Audero,IDN,GK,Sampdoria,Serie A,23,37,3330,0,1,2020-2021,True,0.027
Tommaso Augello,ITA,DF,Sampdoria,Serie A,25,37,3216,1,3,2020-2021,True,0.1119
Jean-Kévin Augustin,FRA,FW,Nantes,Ligue 1,23,3,36,0,0,2020-2021,False,0.0
Ludwig Augustinsson,SWE,"MF,DF",Werder Bremen,Bundesliga,26,23,1957,0,4,2020-2021,True,0.184
Serge Aurier,CIV,"DF,MF",Tottenham Hotspur,Premier League,27,19,1605,2,3,2020-2021,True,0.2804
Charlie Austin,ENG,FW,West Brom,Premier League,31,5,138,0,0,2020-2021,False,0.0
Ezequiel Ávila,ARG,"MF,FW",Osasuna,La Liga,26,8,202,0,0,2020-2021,False,0.0
Taiwo Awoniyi,NGA,FW,Union Berlin,Bundesliga,22,21,1359,5,2,2020-2021,True,0.4636
Mehmet Aydin,GER,MF,Schalke 04,Bundesliga,18,6,500,0,0,2020-2021,False,0.0
Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,28,33,2096,1,3,2020-2021,True,0.1718
Kaan Ayhan,TUR,DF,Sassuolo,Serie A,25,19,796,0,0,2020-2021,False,0.0
Luke Ayling,ENG,DF,Leeds United,Premier League,28,38,3399,0,0,2020-2021,False,0.0
Ramon Azeez,NGA,MF,Granada,La Liga,27,2,101,0,0,2020-2021,False,0.0
César Azpilicueta,ESP,"DF,MF",Chelsea,Premier League,30,26,2188,1,2,2020-2021,True,0.1234
Ludovic Baal,GUF,DF,Brest,Ligue 1,34,7,296,0,0,2020-2021,False,0.0
Carlos Bacca,COL,FW,Villarreal,La Liga,33,23,786,5,0,2020-2021,False,0.5725
Loïc Bade,FRA,DF,Lens,Ligue 1,20,31,2610,0,0,2020-2021,False,0.0
Milan Badelj,CRO,MF,Genoa,Serie A,31,30,2408,1,4,2020-2021,True,0.1869
Édgar Badía,ESP,GK,Elche,La Liga,28,30,2700,0,0,2020-2021,False,0.0
Benoît Badiashile,FRA,DF,Monaco,Ligue 1,19,35,2870,2,1,2020-2021,True,0.0941
Alex Baena,ESP,MF,Villarreal,La Liga,19,6,137,0,0,2020-2021,False,0.0
Miguel Baeza,ESP,MF,Celta Vigo,La Liga,20,22,543,1,0,2020-2021,False,0.1657
Stéphane Bahoken,CMR,FW,Angers,Ligue 1,28,30,1616,6,2,2020-2021,True,0.4455
Leon Bailey,JAM,"FW,MF",Leverkusen,Bundesliga,22,30,2141,9,8,2020-2021,True,0.7146
Eric Bailly,CIV,DF,Manchester Utd,Premier League,26,12,916,0,0,2020-2021,False,0.0
Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,18,1,90,0,0,2020-2021,False,0.0
Tiemoué Bakayoko,FRA,MF,Napoli,Serie A,25,32,1964,2,1,2020-2021,True,0.1375
Mitchel Bakker,NED,"DF,MF",Paris Saint-Germain,Ligue 1,20,26,1694,0,2,2020-2021,True,0.1063
Ridle Baku,GER,"MF,DF",Wolfsburg,Bundesliga,22,32,2678,6,7,2020-2021,True,0.4369
Ridle Baku,GER,DF,Mainz 05,Bundesliga,22,2,180,0,0,2020-2021,False,0.0
Dilane Bakwa,FRA,"FW,MF",Bordeaux,Ligue 1,17,7,56,0,0,2020-2021,False,0.0
Fabián Balbuena,PAR,DF,West Ham United,Premier League,28,14,1198,1,0,2020-2021,False,0.0751
Keita Baldé,SEN,FW,Sampdoria,Serie A,25,25,1197,7,1,2020-2021,True,0.6015
George Baldock,GRE,"MF,DF",Sheffield United,Premier League,27,32,2787,0,2,2020-2021,True,0.0646
Gareth Bale,WAL,MF,Tottenham Hotspur,Premier League,31,20,920,11,2,2020-2021,True,1.2717
Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,32,23,1689,0,1,2020-2021,True,0.0533
Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,21,21,1634,2,0,2020-2021,False,0.1102
Fodé Ballo-Touré,SEN,DF,Monaco,Ligue 1,23,24,662,0,3,2020-2021,True,0.4079
Botond Balogh,HUN,DF,Parma,Serie A,18,3,165,0,0,2020-2021,False,0.0
Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,30,16,1347,0,0,2020-2021,False,0.0
Jonathan Bamba,CIV,MF,Lille,Ligue 1,24,38,2985,6,9,2020-2021,True,0.4523
Robson Bambu,BRA,DF,Nice,Ligue 1,22,15,1046,0,0,2020-2021,False,0.0
Patrick Bamford,ENG,FW,Leeds United,Premier League,26,38,3050,17,7,2020-2021,True,0.7082
Mattia Bani,ITA,DF,Genoa,Serie A,26,11,921,0,0,2020-2021,False,0.0
Mattia Bani,ITA,DF,Parma,Serie A,26,15,1145,0,0,2020-2021,False,0.0
Simon Banza,COD,FW,Lens,Ligue 1,23,34,1372,5,2,2020-2021,True,0.4592
Antonín Barák,CZE,MF,Hellas Verona,Serie A,25,34,2765,7,3,2020-2021,True,0.3255
Federico Barba,ITA,DF,Benevento,Serie A,26,32,2659,0,2,2020-2021,True,0.0677
Danilo Barbosa,BRA,DF,Nice,Ligue 1,24,4,250,0,0,2020-2021,False,0.0
Barcia,ESP,DF,Granada,La Liga,19,1,90,0,0,2020-2021,False,0.0
Melvin Bard,FRA,DF,Lyon,Ligue 1,19,14,432,0,0,2020-2021,False,0.0
Enis Bardhi,MKD,MF,Levante,La Liga,25,26,1682,1,2,2020-2021,True,0.1605
Phil Bardsley,SCO,DF,Burnley,Premier League,35,4,274,0,0,2020-2021,False,0.0
Nicolò Barella,ITA,MF,Inter,Serie A,23,36,2896,3,7,2020-2021,True,0.3108
Philipp Bargfrede,GER,MF,Werder Bremen,Bundesliga,31,1,27,0,0,2020-2021,False,0.0
Kike Barja,ESP,"MF,FW",Osasuna,La Liga,23,33,1433,2,3,2020-2021,True,0.314
Ross Barkley,ENG,MF,Aston Villa,Premier League,26,24,1531,3,1,2020-2021,True,0.2351
Ross Barkley,ENG,MF,Chelsea,Premier League,26,2,42,0,0,2020-2021,False,0.0
Aymen Barkok,MAR,"MF,FW",Eintracht Frankfurt,Bundesliga,22,26,977,2,3,2020-2021,True,0.4606
Ashley Barnes,ENG,FW,Burnley,Premier League,30,22,1331,3,0,2020-2021,False,0.2029
Harvey Barnes,ENG,MF,Leicester City,Premier League,22,25,1945,9,4,2020-2021,True,0.6015
Marc Baró,ESP,DF,Cádiz,La Liga,20,1,90,0,0,2020-2021,False,0.0
Antonio Barragán,ESP,DF,Elche,La Liga,33,27,2235,0,3,2020-2021,True,0.1208
Antonio Barreca,ITA,MF,Fiorentina,Serie A,25,3,85,0,0,2020-2021,False,0.0
Leandro Barreiro Martins,LUX,MF,Mainz 05,Bundesliga,20,29,2303,2,2,2020-2021,True,0.1563
Ander Barrenetxea,ESP,MF,Real Sociedad,La Liga,18,31,1307,3,0,2020-2021,False,0.2066
Jacob Barrett Laursen,DEN,DF,Arminia,Bundesliga,25,16,1108,0,1,2020-2021,True,0.0812
Musa Barrow,GAM,"MF,FW",Bologna,Serie A,21,38,2921,8,8,2020-2021,True,0.493
Kyle Bartley,ENG,DF,West Brom,Premier League,29,30,2584,3,1,2020-2021,True,0.1393
