player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Sergio Abad Beyxer,ESP,MF,Levante,La Liga,21,1,5,0,0,2010-2011,False,0.0
Ignazio Abate,ITA,"DF,MF",Milan,Serie A,23,29,2412,0,1,2010-2011,True,0.0373
Christian Abbiati,ITA,GK,Milan,Serie A,33,35,3078,0,0,2010-2011,False,0.0
Mohammed Abdellaoue,NOR,FW,Hannover 96,Bundesliga,24,26,2086,10,1,2010-2011,True,0.4746
Yacine Abdessadki,MAR,MF,Freiburg,Bundesliga,29,21,1753,0,0,2010-2011,False,0.0
Almen Abdi,SUI,MF,Udinese,Serie A,23,19,634,0,0,2010-2011,False,0.0
Mathias Abel,GER,DF,Kaiserslautern,Bundesliga,29,19,1663,2,0,2010-2011,False,0.1082
Damià Abella,ESP,"DF,MF",Osasuna,La Liga,28,27,1934,0,0,2010-2011,False,0.0
Loïc Abenzoar,FRA,DF,Arles-Avignon,Ligue 1,21,12,732,0,0,2010-2011,False,0.0
Éric Abidal,FRA,DF,Barcelona,La Liga,30,26,2023,0,0,2010-2011,False,0.0
Vincent Aboubakar,CMR,FW,Valenciennes,Ligue 1,18,17,518,1,1,2010-2011,True,0.3475
Fabrice Abriel,FRA,MF,Marseille,Ligue 1,31,22,592,0,0,2010-2011,False,0.0
Santiago Acasiete,PER,DF,Almería,La Liga,32,20,1598,0,0,2010-2011,False,0.0
Pietro Accardi,ITA,DF,Brescia,Serie A,27,8,586,1,0,2010-2011,False,0.1536
Pietro Accardi,ITA,DF,Sampdoria,Serie A,27,9,528,0,0,2010-2011,False,0.0
Lautaro Acosta,ARG,"FW,MF",Sevilla,La Liga,22,10,283,0,1,2010-2011,True,0.318
Robert Acquafresca,ITA,FW,Cagliari,Serie A,22,37,2289,8,1,2010-2011,True,0.3539
Afriyie Acquah,GHA,MF,Palermo,Serie A,18,11,434,0,0,2010-2011,False,0.0
Charlie Adam,SCO,MF,Blackpool,Premier League,24,35,3049,12,8,2010-2011,True,0.5904
Antonio Adán,ESP,GK,Real Madrid,La Liga,23,3,260,0,0,2010-2011,False,0.0
Emmanuel Adebayor,TOG,FW,Real Madrid,La Liga,26,14,744,5,0,2010-2011,False,0.6048
Emmanuel Adebayor,TOG,FW,Manchester City,Premier League,26,8,244,1,0,2010-2011,False,0.3689
Adeílson,BRA,FW,Nice,Ligue 1,24,1,15,0,0,2010-2011,False,0.0
René Adler,GER,GK,Leverkusen,Bundesliga,25,32,2880,0,0,2010-2011,False,0.0
Adriano,BRA,DF,Monaco,Ligue 1,28,32,2737,4,1,2010-2011,True,0.1644
Adriano,BRA,"DF,MF",Barcelona,La Liga,25,14,937,0,1,2010-2011,True,0.0961
Adriano,BRA,FW,Roma,Serie A,28,5,241,0,0,2010-2011,False,0.0
Aritz Aduriz,ESP,FW,Valencia,La Liga,29,29,1846,10,2,2010-2011,True,0.585
Ibrahim Afellay,NED,"FW,MF",Barcelona,La Liga,24,16,669,1,0,2010-2011,False,0.1345
Michael Agazzi,ITA,GK,Cagliari,Serie A,26,38,3383,0,0,2010-2011,False,0.0
Gabriel Agbonlahor,ENG,"FW,MF",Aston Villa,Premier League,23,26,1602,3,1,2010-2011,True,0.2247
Daniel Agger,DEN,DF,Liverpool,Premier League,25,16,1092,0,0,2010-2011,False,0.0
Sendoa Agirre,ESP,MF,Hércules,La Liga,34,23,793,3,1,2010-2011,True,0.454
