player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Marc Bertrán,ESP,DF,Osasuna,La Liga,29,28,2350,0,2,2011-2012,True,0.0766
Ryan Bertrand,ENG,"DF,MF",Chelsea,Premier League,21,7,540,0,0,2011-2012,False,0.0
Federico Bessone,ARG,DF,Swansea City,Premier League,27,1,6,0,0,2011-2012,False,0.0
Leon Best,IRL,FW,Newcastle United,Premier League,24,18,1151,4,2,2011-2012,True,0.4692
Jonathan Biabiany,FRA,"FW,MF",Parma,Serie A,23,38,2513,6,4,2011-2012,True,0.3581
Marco Biagianti,ITA,MF,Catania,Serie A,27,14,709,0,0,2011-2012,False,0.0
Giuseppe Biava,ITA,DF,Lazio,Serie A,34,26,2098,1,0,2011-2012,False,0.0429
Thievy Bifouma,CGO,"FW,MF",Espanyol,La Liga,19,19,1149,1,1,2011-2012,True,0.1567
Pedro Bigas,ESP,"DF,MF",Mallorca,La Liga,20,16,1030,0,0,2011-2012,False,0.0
Yoann Bigné,FRA,MF,Brest,Ligue 1,33,1,30,0,0,2011-2012,False,0.0
Mate Bilić,CRO,FW,Sporting Gijón,La Liga,30,20,479,4,1,2011-2012,True,0.9395
Diniyar Bilyaletdinov,RUS,MF,Everton,Premier League,26,10,522,0,1,2011-2012,True,0.1724
Davide Biondini,ITA,MF,Genoa,Serie A,28,20,1716,0,0,2011-2012,False,0.0
Davide Biondini,ITA,MF,Cagliari,Serie A,28,15,1185,1,0,2011-2012,False,0.0759
Mame Biram Diouf,SEN,"FW,MF",Hannover 96,Bundesliga,23,10,777,6,3,2011-2012,True,1.0425
Valter Birsa,SVN,"FW,MF",Genoa,Serie A,24,9,296,0,0,2011-2012,False,0.0
Milan Biševac,SRB,DF,Paris Saint-Germain,Ligue 1,27,19,1544,1,1,2011-2012,True,0.1166
Albano Bizzarri,ARG,GK,Lazio,Serie A,33,7,585,0,0,2011-2012,False,0.0
Nick Blackman,BRB,"FW,MF",Blackburn Rovers,Premier League,21,1,7,0,0,2011-2012,False,0.0
Robbie Blake,ENG,"FW,MF",Bolton Wanderers,Premier League,35,1,5,0,0,2011-2012,False,0.0
Manuele Blasi,ITA,MF,Parma,Serie A,30,6,86,0,0,2011-2012,False,0.0
Manuele Blasi,ITA,MF,Lecce,Serie A,30,16,1302,0,0,2011-2012,False,0.0
Jérôme Boateng,GER,DF,Bayern Munich,Bundesliga,22,27,2176,0,1,2011-2012,True,0.0414
Kevin-Prince Boateng,GHA,"FW,MF",Milan,Serie A,24,19,1315,5,3,2011-2012,True,0.5475
Raúl Bobadilla,PAR,FW,Gladbach,Bundesliga,24,15,531,1,2,2011-2012,True,0.5085
Garry Bocaly,FRA,DF,Montpellier,Ligue 1,23,34,2966,0,3,2011-2012,True,0.091
Carlos Bocanegra,USA,DF,Saint-Étienne,Ligue 1,32,1,90,0,0,2011-2012,False,0.0
Mathieu Bodmer,FRA,"DF,MF",Paris Saint-Germain,Ligue 1,28,31,2047,1,3,2011-2012,True,0.1759
Sebastian Boenisch,POL,DF,Werder Bremen,Bundesliga,24,4,125,0,0,2011-2012,False,0.0
Ádám Bogdán,HUN,GK,Bolton Wanderers,Premier League,23,20,1800,0,0,2011-2012,False,0.0
Erjon Bogdani,ALB,FW,Cesena,Serie A,34,14,496,0,0,2011-2012,False,0.0
Erjon Bogdani,ALB,FW,Siena,Serie A,34,11,471,4,0,2011-2012,False,0.7643
Valeri Bojinov,BUL,FW,Lecce,Serie A,25,10,311,1,0,2011-2012,False,0.2894
Arthur Boka,CIV,DF,Stuttgart,Bundesliga,28,13,849,0,0,2011-2012,False,0.0
