player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Alex,BRA,DF,Paris Saint-Germain,Ligue 1,30.0,24,2060,2,0,2012-2013,False,0.0874
Alexis,ESP,DF,Getafe,La Liga,26.0,26,2246,3,0,2012-2013,False,0.1202
Alejandro Alfaro,ESP,"FW,MF",Mallorca,La Liga,25.0,27,1302,6,1,2012-2013,True,0.4839
Christian Alfonso,ESP,MF,Espanyol,La Liga,23.0,13,313,0,0,2012-2013,False,0.0
Jérémie Aliadière,FRA,"FW,MF",Lorient,Ligue 1,29.0,31,2647,15,8,2012-2013,True,0.782
Felipe Aliste Lopes,BRA,DF,Wolfsburg,Bundesliga,24.0,1,20,0,0,2012-2013,False,0.0
Felipe Aliste Lopes,BRA,DF,Stuttgart,Bundesliga,24.0,3,270,0,0,2012-2013,False,0.0
Allan,BRA,"DF,MF",Udinese,Serie A,21.0,36,3039,0,6,2012-2013,True,0.1777
Joe Allen,WAL,MF,Liverpool,Premier League,22.0,27,1920,0,0,2012-2013,False,0.0
Robert Almer,AUT,GK,Düsseldorf,Bundesliga,28.0,1,11,0,0,2012-2013,False,0.0
Sergio Almirón,ARG,MF,Catania,Serie A,31.0,30,1947,4,0,2012-2013,False,0.1849
Paul Alo'o,CMR,FW,Nancy,Ligue 1,28.0,23,1232,3,0,2012-2013,False,0.2192
Alejandro Alonso,ARG,MF,Saint-Étienne,Ligue 1,30.0,10,198,0,1,2012-2013,True,0.4545
Xabi Alonso,ESP,MF,Real Madrid,La Liga,30.0,28,2149,0,5,2012-2013,True,0.2094
Cristian Álvarez,ARG,GK,Espanyol,La Liga,26.0,18,1597,0,0,2012-2013,False,0.0
Pablo Álvarez,ARG,DF,Catania,Serie A,28.0,27,2194,0,0,2012-2013,False,0.0
Ricky Álvarez,ARG,MF,Inter,Serie A,24.0,23,1182,5,1,2012-2013,True,0.4569
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,25.0,2,180,0,0,2012-2013,False,0.0
Víctor Álvarez,ESP,"DF,MF",Espanyol,La Liga,19.0,18,1146,0,2,2012-2013,True,0.1571
Dani Alves,BRA,"DF,MF",Barcelona,La Liga,29.0,30,2265,0,6,2012-2013,True,0.2384
Diego Alves,BRA,GK,Valencia,La Liga,27.0,24,2160,0,0,2012-2013,False,0.0
Ibrahim Amadou,FRA,"DF,MF",Nancy,Ligue 1,19.0,1,1,0,0,2012-2013,False,0.0
Morgan Amalfitano,FRA,MF,Marseille,Ligue 1,27.0,26,1638,1,3,2012-2013,True,0.2198
Jordi Amat,IDN,DF,Rayo Vallecano,La Liga,20.0,27,2193,1,0,2012-2013,False,0.041
Amauri,ITA,FW,Parma,Serie A,32.0,33,2263,10,4,2012-2013,True,0.5568
Antonio Amaya,ESP,DF,Real Betis,La Liga,29.0,28,2353,0,0,2012-2013,False,0.0
Massimo Ambrosini,ITA,MF,Milan,Serie A,35.0,20,1237,0,1,2012-2013,True,0.0728
Marco Amelia,ITA,GK,Milan,Serie A,30.0,11,976,0,0,2012-2013,False,0.0
Sammy Ameobi,ENG,"FW,MF",Newcastle United,Premier League,20.0,8,236,0,1,2012-2013,True,0.3814
Shola Ameobi,NGA,FW,Newcastle United,Premier League,30.0,23,686,1,1,2012-2013,True,0.2624
Fernando Amorebieta,VEN,DF,Athletic Club,La Liga,27.0,11,886,0,0,2012-2013,False,0.0
Álvaro Ampuero,PER,"DF,MF",Parma,Serie A,19.0,5,298,0,0,2012-2013,False,0.0
Mohamed Amsif,MAR,GK,Augsburg,Bundesliga,23.0,17,1530,0,0,2012-2013,False,0.0
Stephan Andersen,DEN,GK,Evian,Ligue 1,30.0,9,797,0,0,2012-2013,False,0.0
Anderson,BRA,MF,Manchester Utd,Premier League,24.0,17,824,1,1,2012-2013,True,0.2184
Benjamin André,FRA,"DF,MF",Ajaccio,Ligue 1,21.0,27,1698,0,2,2012-2013,True,0.106
Leon Andreasen,DEN,"DF,MF",Hannover 96,Bundesliga,29.0,5,260,2,0,2012-2013,False,0.6923
Marco Andreolli,ITA,DF,Chievo,Serie A,26.0,28,2492,2,0,2012-2013,False,0.0722
Mariano Andújar,ARG,GK,Catania,Serie A,29.0,34,3060,0,0,2012-2013,False,0.0
Nicolas Anelka,FRA,FW,Juventus,Serie A,33.0,2,43,0,0,2012-2013,False,0.0
Juan Ángel Albín,URU,"FW,MF",Espanyol,La Liga,26.0,7,225,1,0,2012-2013,False,0.4
José Ángel,ESP,"DF,MF",Real Sociedad,La Liga,22.0,11,248,0,0,2012-2013,False,0.0
Miguel Ángel Moyá,ESP,GK,Getafe,La Liga,28.0,32,2801,0,0,2012-2013,False,0.0
Gabriele Angella,ITA,DF,Udinese,Serie A,23.0,14,1073,4,0,2012-2013,False,0.3355
Ângelo,BRA,"DF,MF",Siena,Serie A,31.0,28,2189,1,3,2012-2013,True,0.1645
Benjamin Angoua,CIV,DF,Valenciennes,Ligue 1,25.0,24,2109,0,0,2012-2013,False,0.0
Aldo Angoula,FRA,DF,Evian,Ligue 1,31.0,22,1686,1,0,2012-2013,False,0.0534
Gaël Angoula,FRA,"DF,MF",Bastia,Ligue 1,30.0,18,1307,0,1,2012-2013,True,0.0689
Brayan Angulo,COL,"DF,MF",Granada,La Liga,22.0,15,582,1,0,2012-2013,False,0.1546
Victor Anichebe,NGA,FW,Everton,Premier League,24.0,26,1712,6,4,2012-2013,True,0.5257
Kévin Anin,FRA,MF,Nice,Ligue 1,26.0,13,911,1,0,2012-2013,False,0.0988
Vurnon Anita,CUW,"DF,MF",Newcastle United,Premier League,23.0,25,1733,0,1,2012-2013,True,0.0519
Anthony Annan,GHA,MF,Osasuna,La Liga,26.0,6,382,0,0,2012-2013,False,0.0
Ion Ansotegi,ESP,DF,Real Sociedad,La Liga,30.0,7,371,0,1,2012-2013,True,0.2426
Mirco Antenucci,ITA,FW,Catania,Serie A,27.0,1,15,0,0,2012-2013,False,0.0
Luca Antonelli,ITA,"DF,MF",Genoa,Serie A,25.0,33,2812,1,5,2012-2013,True,0.192
Luca Antonini,ITA,"DF,MF",Milan,Serie A,29.0,6,422,0,0,2012-2013,False,0.0
Juan Antonio,ARG,"FW,MF",Sampdoria,Serie A,24.0,2,10,0,0,2012-2013,False,0.0
Marcos Antônio,BRA,DF,Nürnberg,Bundesliga,29.0,1,15,0,0,2012-2013,False,0.0
José Antonio Reyes,ESP,MF,Sevilla,La Liga,28.0,26,1646,4,6,2012-2013,True,0.5468
Mikael Antonsson,SWE,DF,Bologna,Serie A,31.0,31,2731,0,0,2012-2013,False,0.0
Vitorino Antunes,POR,DF,Málaga,La Liga,25.0,11,945,1,1,2012-2013,True,0.1905
Dennis Aogo,GER,"DF,MF",Hamburger SV,Bundesliga,25.0,27,1956,2,4,2012-2013,True,0.2761
Dudu Aouate,ISR,GK,Mallorca,La Liga,34.0,35,3121,0,0,2012-2013,False,0.0
Onyekachi Apam,NGA,DF,Rennes,Ligue 1,25.0,11,748,0,0,2012-2013,False,0.0
Apoño,ESP,MF,Zaragoza,La Liga,28.0,32,2553,9,3,2012-2013,True,0.423
Fabrice Apruzesse,FRA,FW,Marseille,Ligue 1,27.0,1,18,0,0,2012-2013,False,0.0
Alberto Aquilani,ITA,MF,Fiorentina,Serie A,28.0,25,1662,7,6,2012-2013,True,0.704
Dani Aquino,ESP,"FW,MF",Atlético Madrid,La Liga,22.0,1,3,0,0,2012-2013,False,0.0
Youssef El-Arabi,MAR,FW,Granada,La Liga,25.0,31,1982,8,1,2012-2013,True,0.4087
Manuel Arana,ESP,MF,Rayo Vallecano,La Liga,27.0,2,17,0,0,2012-2013,False,0.0
Carlos Aranda,ESP,FW,Zaragoza,La Liga,32.0,11,422,0,0,2012-2013,False,0.0
Carlos Aranda,ESP,FW,Granada,La Liga,32.0,17,869,1,1,2012-2013,True,0.2071
Juan Arango,VEN,MF,Gladbach,Bundesliga,32.0,31,2720,5,5,2012-2013,True,0.3309
Daniel Aranzubia,ESP,GK,Dep La Coruña,La Liga,32.0,35,3084,0,0,2012-2013,False,0.0
Álvaro Arbeloa,ESP,DF,Real Madrid,La Liga,29.0,26,2070,0,2,2012-2013,True,0.087
Anaitz Arbilla,ESP,DF,Rayo Vallecano,La Liga,25.0,11,788,0,0,2012-2013,False,0.0
Alphonse Areola,FRA,GK,Paris Saint-Germain,Ligue 1,19.0,2,103,0,0,2012-2013,False,0.0
Egidio Arévalo,URU,MF,Palermo,Serie A,30.0,27,2018,2,2,2012-2013,True,0.1784
Lorenzo Ariaudo,ITA,DF,Cagliari,Serie A,23.0,17,1416,0,0,2012-2013,False,0.0
Javier Arizmendi,ESP,"FW,MF",Mallorca,La Liga,28.0,21,810,2,1,2012-2013,True,0.3333
Sylvain Armand,FRA,DF,Paris Saint-Germain,Ligue 1,31.0,18,1044,0,0,2012-2013,False,0.0
Emiliano Armenteros,ARG,MF,Osasuna,La Liga,26.0,30,2613,3,5,2012-2013,True,0.2755
Pablo Armero,COL,"DF,MF",Udinese,Serie A,25.0,10,753,0,1,2012-2013,True,0.1195
Pablo Armero,COL,"DF,MF",Napoli,Serie A,25.0,15,584,0,3,2012-2013,True,0.4623
Marko Arnautović,AUT,"FW,MF",Werder Bremen,Bundesliga,23.0,26,1954,5,6,2012-2013,True,0.5067
John Arne Riise,NOR,"DF,MF",Fulham,Premier League,31.0,31,2529,0,2,2012-2013,True,0.0712
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,18.0,6,401,3,0,2012-2013,False,0.6733
Salvatore Aronica,ITA,DF,Napoli,Serie A,34.0,5,216,0,2,2012-2013,True,0.8333
Salvatore Aronica,ITA,DF,Palermo,Serie A,34.0,16,1342,0,0,2012-2013,False,0.0
Alejandro Arribas,ESP,DF,Osasuna,La Liga,23.0,34,2744,2,0,2012-2013,False,0.0656
Andrey Arshavin,RUS,"FW,MF",Arsenal,Premier League,31.0,7,88,0,0,2012-2013,False,0.0
Tolgay Arslan,GER,MF,Hamburger SV,Bundesliga,21.0,25,1658,0,0,2012-2013,False,0.0
Mikel Arteta,ESP,MF,Arsenal,Premier League,30.0,34,2982,6,3,2012-2013,True,0.2716
Aythami Artiles,ESP,DF,Dep La Coruña,La Liga,26.0,26,2172,0,1,2012-2013,True,0.0414
Gerald Asamoah,GER,"FW,MF",Greuther Fürth,Bundesliga,33.0,17,1002,0,1,2012-2013,True,0.0898
Kwadwo Asamoah,GHA,"DF,MF",Juventus,Serie A,23.0,27,1972,2,6,2012-2013,True,0.3651
Sergio Asenjo,ESP,GK,Atlético Madrid,La Liga,23.0,1,90,0,0,2012-2013,False,0.0
Iago Aspas,ESP,"FW,MF",Celta Vigo,La Liga,24.0,34,2789,12,7,2012-2013,True,0.6131
Oussama Assaidi,MAR,"FW,MF",Liverpool,Premier League,23.0,4,77,0,0,2012-2013,False,0.0
Benoît Assou-Ekotto,CMR,DF,Tottenham Hotspur,Premier League,28.0,15,1141,1,0,2012-2013,False,0.0789
Paulo Assunção,BRA,MF,Dep La Coruña,La Liga,32.0,9,619,0,0,2012-2013,False,0.0
Davide Astori,ITA,DF,Cagliari,Serie A,25.0,32,2764,0,0,2012-2013,False,0.0
Pierre-Emerick Aubameyang,GAB,"FW,MF",Saint-Étienne,Ligue 1,23.0,37,3209,19,8,2012-2013,True,0.7572
Fabien Audard,FRA,GK,Lorient,Ligue 1,34.0,34,3025,0,0,2012-2013,False,0.0
Renato Augusto,BRA,MF,Leverkusen,Bundesliga,24.0,6,97,0,0,2012-2013,False,0.0
Błażej Augustyn,POL,DF,Catania,Serie A,24.0,1,34,0,0,2012-2013,False,0.0
André Auras,FRA,MF,Brest,Ligue 1,21.0,8,380,0,0,2012-2013,False,0.0
Serge Aurier,CIV,"DF,MF",Toulouse,Ligue 1,19.0,28,2497,1,3,2012-2013,True,0.1442
Jon Aurtenetxe,ESP,DF,Athletic Club,La Liga,20.0,27,2018,1,3,2012-2013,True,0.1784
Mathias Autret,FRA,MF,Lorient,Ligue 1,21.0,19,570,0,2,2012-2013,True,0.3158
Danilo Avelar,BRA,"DF,MF",Cagliari,Serie A,23.0,20,1667,0,3,2012-2013,True,0.162
Vlada Avramov,SRB,GK,Cagliari,Serie A,33.0,5,321,0,0,2012-2013,False,0.0
Thomas Ayasse,FRA,MF,Nancy,Ligue 1,25.0,17,1170,2,0,2012-2013,False,0.1538
Okan Aydın,TUR,"FW,MF",Leverkusen,Bundesliga,18.0,1,11,0,0,2012-2013,False,0.0
André Ayew,GHA,"FW,MF",Marseille,Ligue 1,22.0,35,3104,9,3,2012-2013,True,0.3479
Jordan Ayew,GHA,"FW,MF",Marseille,Ligue 1,20.0,35,1978,7,0,2012-2013,False,0.3185
Floyd Ayité,TOG,"FW,MF",Reims,Ligue 1,23.0,23,1282,2,1,2012-2013,True,0.2106
Jonathan Ayité,TOG,FW,Brest,Ligue 1,27.0,22,999,2,0,2012-2013,False,0.1802
Ilir Azemi,KVX,FW,Greuther Fürth,Bundesliga,20.0,20,625,1,1,2012-2013,True,0.288
César Azpilicueta,ESP,"DF,MF",Marseille,Ligue 1,22.0,2,180,0,0,2012-2013,False,0.0
César Azpilicueta,ESP,"DF,MF",Chelsea,Premier League,22.0,27,2199,0,4,2012-2013,True,0.1637
Yassin El-Azzouzi,FRA,FW,Bastia,Ligue 1,29.0,1,2,0,0,2012-2013,False,0.0
Adama Ba,MTN,"FW,MF",Brest,Ligue 1,18.0,7,300,0,0,2012-2013,False,0.0
Demba Ba,SEN,FW,Newcastle United,Premier League,27.0,20,1664,13,0,2012-2013,False,0.7031
Demba Ba,SEN,FW,Chelsea,Premier League,27.0,14,868,2,0,2012-2013,False,0.2074
Stefan Babović,SRB,MF,Zaragoza,La Liga,25.0,9,316,0,0,2012-2013,False,0.0
Maxime Baca,FRA,DF,Lorient,Ligue 1,29.0,26,1954,0,0,2012-2013,False,0.0
Milan Badelj,CRO,MF,Hamburger SV,Bundesliga,23.0,31,2498,1,5,2012-2013,True,0.2162
Holger Badstuber,GER,DF,Bayern Munich,Bundesliga,23.0,12,981,0,1,2012-2013,True,0.0917
Raúl Baena,ESP,MF,Espanyol,La Liga,23.0,19,1006,1,1,2012-2013,True,0.1789
Mamadou Bah,GUI,MF,Stuttgart,Bundesliga,24.0,1,22,0,0,2012-2013,False,0.0
Jean-Christophe Bahebeck,FRA,"FW,MF",Troyes,Ligue 1,19.0,27,1307,3,2,2012-2013,True,0.3443
Farès Bahlouli,FRA,MF,Lyon,Ligue 1,17.0,1,9,0,0,2012-2013,False,0.0
Stéphane Bahoken,CMR,FW,Nice,Ligue 1,20.0,10,275,2,0,2012-2013,False,0.6545
Daniel Baier,GER,MF,Augsburg,Bundesliga,28.0,33,2948,2,1,2012-2013,True,0.0916
Leighton Baines,ENG,DF,Everton,Premier League,27.0,38,3420,5,5,2012-2013,True,0.2632
Chris Baird,NIR,"DF,MF",Fulham,Premier League,30.0,19,1320,2,0,2012-2013,False,0.1364
Bálint Bajner,HUN,FW,Dortmund,Bundesliga,21.0,1,20,0,0,2012-2013,False,0.0
Pavol Bajza,SVK,GK,Parma,Serie A,20.0,1,50,0,0,2012-2013,False,0.0
Cédric Bakambu,COD,FW,Sochaux,Ligue 1,21.0,33,2302,7,1,2012-2013,True,0.3128
Djamel Bakar,COM,"FW,MF",Nancy,Ligue 1,23.0,35,2783,5,3,2012-2013,True,0.2587
Nathan Baker,ENG,DF,Aston Villa,Premier League,21.0,26,2007,0,0,2012-2013,False,0.0
Marko Bakić,MNE,MF,Torino,Serie A,18.0,1,68,0,0,2012-2013,False,0.0
Gareth Bale,WAL,"FW,MF",Tottenham Hotspur,Premier League,23.0,33,2921,21,4,2012-2013,True,0.7703
Mikel Balenziaga,ESP,DF,Valladolid,La Liga,24.0,32,2867,0,1,2012-2013,True,0.0314
Hanno Balitsch,GER,MF,Nürnberg,Bundesliga,31.0,33,2769,1,2,2012-2013,True,0.0975
Sergio Ballesteros,ESP,DF,Levante,La Liga,36.0,26,2280,0,1,2012-2013,True,0.0395
Florent Balmont,FRA,MF,Lille,Ligue 1,32.0,34,2557,2,2,2012-2013,True,0.1408
Leon Balogun,NGA,DF,Düsseldorf,Bundesliga,24.0,17,1428,0,1,2012-2013,True,0.063
Mario Balotelli,ITA,FW,Manchester City,Premier League,21.0,14,590,1,0,2012-2013,False,0.1525
Mario Balotelli,ITA,FW,Milan,Serie A,21.0,13,1146,12,0,2012-2013,False,0.9424
Antonio Balzano,ITA,DF,Pescara,Serie A,26.0,26,2079,0,0,2012-2013,False,0.0
Federico Balzaretti,ITA,DF,Roma,Serie A,30.0,27,2005,0,2,2012-2013,True,0.0898
Anderson Bamba,BRA,DF,Eintracht Frankfurt,Bundesliga,24.0,28,2490,1,2,2012-2013,True,0.1084
Aristide Bancé,BFA,FW,Augsburg,Bundesliga,27.0,18,633,0,0,2012-2013,False,0.0
Éver Banega,ARG,MF,Valencia,La Liga,24.0,29,1983,4,4,2012-2013,True,0.3631
Lass Bangoura,GUI,"FW,MF",Rayo Vallecano,La Liga,20.0,32,1772,3,5,2012-2013,True,0.4063
Barry Bannan,SCO,MF,Aston Villa,Premier League,22.0,24,1626,0,1,2012-2013,True,0.0554
Nadjib Baouia,FRA,FW,Evian,Ligue 1,20.0,1,7,0,0,2012-2013,False,0.0
Júlio Baptista,BRA,"FW,MF",Málaga,La Liga,30.0,14,910,4,0,2012-2013,False,0.3956
Léo Baptistão,BRA,"FW,MF",Rayo Vallecano,La Liga,19.0,28,2238,7,7,2012-2013,True,0.563
Javier Baraja,ESP,"DF,MF",Valladolid,La Liga,31.0,12,344,1,0,2012-2013,False,0.2616
Joseph Barbato,FRA,FW,Bastia,Ligue 1,17.0,5,178,0,0,2012-2013,False,0.0
Cédric Barbosa,FRA,MF,Evian,Ligue 1,36.0,30,2158,8,1,2012-2013,True,0.3753
Phil Bardsley,SCO,DF,Sunderland,Premier League,27.0,18,984,1,0,2012-2013,False,0.0915
Philipp Bargfrede,GER,MF,Werder Bremen,Bundesliga,23.0,13,618,0,1,2012-2013,True,0.1456
José Barkero,ESP,MF,Levante,La Liga,33.0,28,2171,5,1,2012-2013,True,0.2487
Ross Barkley,ENG,MF,Everton,Premier League,18.0,7,209,0,0,2012-2013,False,0.0
Leon Barnett,ENG,DF,Norwich City,Premier League,26.0,8,563,0,1,2012-2013,True,0.1599
Tranquillo Barnetta,SUI,MF,Schalke 04,Bundesliga,27.0,21,457,0,1,2012-2013,True,0.1969
Abdelaziz Barrada,MAR,MF,Getafe,La Liga,23.0,32,2566,4,6,2012-2013,True,0.3507
Antonio Barragán,ESP,"DF,MF",Valencia,La Liga,25.0,14,927,0,0,2012-2013,False,0.0
Édgar Barreto,PAR,MF,Palermo,Serie A,28.0,30,2655,0,0,2012-2013,False,0.0
Pablo Barrientos,ARG,MF,Catania,Serie A,27.0,31,2519,5,5,2012-2013,True,0.3573
Gareth Barry,ENG,MF,Manchester City,Premier League,31.0,31,2398,1,2,2012-2013,True,0.1126
Maxime Barthelmé,FRA,"FW,MF",Lorient,Ligue 1,23.0,34,2679,2,5,2012-2013,True,0.2352
Kyle Bartley,ENG,DF,Swansea City,Premier League,21.0,2,148,0,0,2012-2013,False,0.0
Joey Barton,ENG,MF,Marseille,Ligue 1,29.0,25,1701,0,3,2012-2013,True,0.1587
Marc Bartra,ESP,DF,Barcelona,La Liga,21.0,8,400,0,0,2012-2013,False,0.0
Andrea Barzagli,ITA,DF,Juventus,Serie A,31.0,34,2955,0,1,2012-2013,True,0.0305
Marko Baša,MNE,DF,Lille,Ligue 1,29.0,34,2999,5,1,2012-2013,True,0.1801
Migjen Basha,ALB,MF,Torino,Serie A,25.0,20,1601,1,0,2012-2013,False,0.0562
Jean-Landry Bassilekin,CMR,FW,Nancy,Ligue 1,20.0,1,10,0,0,2012-2013,False,0.0
Sébastien Bassong,CMR,DF,Norwich City,Premier League,26.0,34,2959,3,2,2012-2013,True,0.1521
Dušan Basta,SRB,"DF,MF",Udinese,Serie A,27.0,28,2417,1,3,2012-2013,True,0.1489
Michel Bastos,BRA,"DF,MF",Schalke 04,Bundesliga,28.0,14,1069,4,1,2012-2013,True,0.421
Michel Bastos,BRA,"DF,MF",Lyon,Ligue 1,28.0,12,726,5,0,2012-2013,False,0.6198
Cristian Battocchio,ITA,MF,Udinese,Serie A,20.0,1,90,0,0,2012-2013,False,0.0
