player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Ignazio Abate,ITA,"DF,MF",Milan,Serie A,25.0,27,2291,0,2,2012-2013,True,0.0786
Christian Abbiati,ITA,GK,Milan,Serie A,35.0,28,2444,0,0,2012-2013,False,0.0
Elvis Abbruscato,ITA,FW,Pescara,Serie A,31.0,25,1148,2,0,2012-2013,False,0.1568
Kassim Abdallah,COM,DF,Marseille,Ligue 1,25.0,13,869,0,0,2012-2013,False,0.0
Mohammed Abdellaoue,NOR,FW,Hannover 96,Bundesliga,26.0,26,1036,8,1,2012-2013,True,0.7819
Aymen Abdennour,TUN,DF,Toulouse,Ligue 1,22.0,30,2700,1,2,2012-2013,True,0.1
Pape Abdou Camara,SEN,MF,Valenciennes,Ligue 1,20.0,6,216,0,0,2012-2013,False,0.0
Rafidine Abdullah,COM,MF,Marseille,Ligue 1,18.0,15,464,0,0,2012-2013,False,0.0
Damià Abella,ESP,"DF,MF",Osasuna,La Liga,30.0,29,2471,0,1,2012-2013,True,0.0364
Mathías Abero,URU,"DF,MF",Bologna,Serie A,22.0,10,264,0,1,2012-2013,True,0.3409
Éric Abidal,FRA,DF,Barcelona,La Liga,32.0,5,187,0,0,2012-2013,False,0.0
Vincent Aboubakar,CMR,FW,Valenciennes,Ligue 1,20.0,28,1190,2,1,2012-2013,True,0.2269
David Abraham,ARG,DF,Hoffenheim,Bundesliga,26.0,12,1023,0,0,2012-2013,False,0.0
David Abraham,ARG,DF,Getafe,La Liga,26.0,9,768,0,0,2012-2013,False,0.0
Fabrice Abriel,FRA,MF,Nice,Ligue 1,33.0,28,1789,1,2,2012-2013,True,0.1509
Mohammed Abu,GHA,"FW,MF",Rayo Vallecano,La Liga,20.0,1,56,0,0,2012-2013,False,0.0
Mohammed Abu,GHA,"FW,MF",Lorient,Ligue 1,20.0,7,523,0,0,2012-2013,False,0.0
Francesco Acerbi,ITA,DF,Chievo,Serie A,24.0,7,443,0,0,2012-2013,False,0.0
Francesco Acerbi,ITA,DF,Milan,Serie A,24.0,6,473,0,0,2012-2013,False,0.0
Robert Acquafresca,ITA,FW,Bologna,Serie A,24.0,6,276,0,0,2012-2013,False,0.0
Robert Acquafresca,ITA,FW,Levante,La Liga,24.0,13,936,3,0,2012-2013,False,0.2885
Afriyie Acquah,GHA,MF,Parma,Serie A,20.0,13,540,0,0,2012-2013,False,0.0
Charlie Adam,SCO,MF,Stoke City,Premier League,26.0,27,1757,3,2,2012-2013,True,0.2561
Antonio Adán,ESP,GK,Real Madrid,La Liga,25.0,3,186,0,0,2012-2013,False,0.0
Emmanuel Adebayor,TOG,FW,Tottenham Hotspur,Premier League,28.0,25,1598,5,1,2012-2013,True,0.3379
René Adler,GER,GK,Hamburger SV,Bundesliga,27.0,32,2880,0,0,2012-2013,False,0.0
Youssef Adnane,FRA,FW,Evian,Ligue 1,27.0,18,716,2,0,2012-2013,False,0.2514
Adrián,ESP,GK,Real Betis,La Liga,25.0,32,2869,0,0,2012-2013,False,0.0
Adriano,BRA,"DF,MF",Barcelona,La Liga,27.0,23,1428,5,1,2012-2013,True,0.3782
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,31.0,36,2547,14,6,2012-2013,True,0.7067
Luis Advíncula,PER,"DF,MF",Hoffenheim,Bundesliga,22.0,2,75,0,0,2012-2013,False,0.0
Ibrahim Afellay,NED,"FW,MF",Schalke 04,Bundesliga,26.0,10,624,2,0,2012-2013,False,0.2885
Kossi Agassa,TOG,GK,Reims,Ligue 1,34.0,33,2925,0,0,2012-2013,False,0.0
Michael Agazzi,ITA,GK,Cagliari,Serie A,28.0,34,3009,0,0,2012-2013,False,0.0
Gabriel Agbonlahor,ENG,"FW,MF",Aston Villa,Premier League,25.0,28,2187,9,3,2012-2013,True,0.4938
Daniel Agger,DEN,DF,Liverpool,Premier League,27.0,35,3098,3,0,2012-2013,False,0.0872
Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,25.0,34,2060,13,6,2012-2013,True,0.8301
Federico Agliardi,ITA,GK,Bologna,Serie A,29.0,22,1898,0,0,2012-2013,False,0.0
Salvador Agra,POR,"FW,MF",Siena,Serie A,20.0,8,309,0,2,2012-2013,True,0.5825
Salvador Agra,POR,"FW,MF",Real Betis,La Liga,20.0,10,506,1,0,2012-2013,False,0.1779
Tarsicio Aguado,ESP,MF,Zaragoza,La Liga,17.0,1,64,0,0,2012-2013,False,0.0
Sergio Agüero,ARG,FW,Manchester City,Premier League,24.0,30,1941,12,2,2012-2013,True,0.6491
Abel Aguilar,COL,MF,Dep La Coruña,La Liga,27.0,28,2411,3,3,2012-2013,True,0.224
Kemy Agustien,CUW,"DF,MF",Swansea City,Premier League,25.0,18,578,0,1,2012-2013,True,0.1557
Emmanuel Agyemang-Badu,GHA,MF,Udinese,Serie A,21.0,25,1535,0,1,2012-2013,True,0.0586
Ali Ahamada,COM,GK,Toulouse,Ligue 1,20.0,36,3154,1,0,2012-2013,False,0.0285
Karim El Ahmadi,MAR,MF,Aston Villa,Premier League,27.0,20,1176,1,0,2012-2013,False,0.0765
Said Ahmed Said,ITA,FW,Genoa,Serie A,19.0,5,126,1,1,2012-2013,True,1.4286
Stefan Aigner,GER,"FW,MF",Eintracht Frankfurt,Bundesliga,24.0,34,2810,9,7,2012-2013,True,0.5125
Karim Aït-Fana,MAR,"FW,MF",Montpellier,Ligue 1,23.0,8,283,0,2,2012-2013,True,0.636
Nathan Aké,NED,"DF,MF",Chelsea,Premier League,17.0,3,92,0,0,2012-2013,False,0.0
Jean-Daniel Akpa-Akpro,CIV,"DF,MF",Toulouse,Ligue 1,19.0,19,1300,1,0,2012-2013,False,0.0692
Joseph Akpala,NGA,FW,Werder Bremen,Bundesliga,25.0,21,464,1,1,2012-2013,True,0.3879
Hope Akpan,NGA,MF,Reading,Premier League,20.0,9,471,0,3,2012-2013,True,0.5732
David Alaba,AUT,"DF,MF",Bayern Munich,Bundesliga,20.0,23,1993,3,3,2012-2013,True,0.2709
Javi Álamo,ESP,"FW,MF",Zaragoza,La Liga,23.0,7,79,0,0,2012-2013,False,0.0
Jordi Alba,ESP,"DF,MF",Barcelona,La Liga,23.0,29,2497,2,5,2012-2013,True,0.2523
David Albelda,ESP,"DF,MF",Valencia,La Liga,34.0,18,1188,0,0,2012-2013,False,0.0
Raúl Albiol,ESP,DF,Real Madrid,La Liga,26.0,18,1380,1,0,2012-2013,False,0.0652
Marc Albrighton,ENG,MF,Aston Villa,Premier League,22.0,9,429,0,0,2012-2013,False,0.0
Tim Albutat,GER,MF,Freiburg,Bundesliga,19.0,1,3,0,0,2012-2013,False,0.0
Paco Alcácer,ESP,FW,Getafe,La Liga,18.0,20,694,3,0,2012-2013,False,0.389
Thiago Alcántara,ESP,MF,Barcelona,La Liga,21.0,27,1415,2,4,2012-2013,True,0.3816
Antolín Alcaraz,PAR,DF,Wigan Athletic,Premier League,30.0,10,691,0,0,2012-2013,False,0.0
Pablo Alcolea,ESP,GK,Zaragoza,La Liga,23.0,2,103,0,0,2012-2013,False,0.0
Danijel Aleksić,SRB,"FW,MF",Saint-Étienne,Ligue 1,21.0,2,45,0,0,2012-2013,False,0.0
Romain Alessandrini,FRA,"FW,MF",Rennes,Ligue 1,23.0,22,1565,10,6,2012-2013,True,0.9201
