player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Jacques Abardonado,FRA,DF,Marseille,Division 1,21,13,950,2,0,1999-2000,False,0.1895
Christian Abbiati,ITA,GK,Milan,Serie A,22,29,2610,0,0,1999-2000,False,0.0
Nelson Abeijón,URU,MF,Cagliari,Serie A,26,6,393,0,0,1999-2000,False,0.0
Fabrice Abriel,FRA,MF,Paris Saint-Germain,Division 1,20,1,9,0,0,1999-2000,True,0.0
Roberto Acuña,PAR,MF,Zaragoza,La Liga,27,31,2616,5,4,1999-2000,False,0.3096
Adaílton,BRA,FW,Hellas Verona,Serie A,22,28,1437,7,2,1999-2000,False,0.5637
Frédéric Adam,FRA,MF,Troyes,Division 1,25,29,2476,0,1,1999-2000,False,0.0363
Tony Adams,ENG,DF,Arsenal,Premier League,32,21,1890,0,1,1999-2000,False,0.0476
Daniele Adani,ITA,DF,Fiorentina,Serie A,25,27,2089,1,1,1999-2000,False,0.0862
Otto Addo,GHA,MF,Dortmund,Bundesliga,24,22,1572,2,4,1999-2000,False,0.3435
Mutiu Adepoju,NGA,MF,Real Sociedad,La Liga,28,14,821,0,0,1999-2000,False,0.0
Madjid Adjaoud,ALG,MF,Sedan,Division 1,27,25,1886,0,2,1999-2000,False,0.0954
Kodjo Afanou,FRA,DF,Bordeaux,Division 1,21,27,2306,0,0,1999-2000,False,0.0
Victor Agali,NGA,FW,Hansa Rostock,Bundesliga,20,22,1620,7,5,1999-2000,False,0.6667
David Aganzo,ESP,FW,Real Madrid,La Liga,18,4,97,0,0,1999-2000,False,0.0
Kuami Agboh,TOG,MF,Auxerre,Division 1,21,26,2003,0,1,1999-2000,False,0.0449
Jan Åge Fjørtoft,NOR,FW,Eintracht Frankfurt,Bundesliga,32,21,1176,5,3,1999-2000,False,0.6122
Alfredo Aglietti,ITA,FW,Hellas Verona,Serie A,28,12,738,2,0,1999-2000,False,0.2439
Agostinho,POR,MF,Málaga,La Liga,23,26,1518,1,3,1999-2000,False,0.2372
Paul Agostino,AUS,FW,1860 Munich,Bundesliga,24,18,1002,4,1,1999-2000,False,0.4491
Xavier Aguado,ESP,DF,Zaragoza,La Liga,31,29,2473,2,0,1999-2000,False,0.0728
Carlos Aguilera,ESP,DF,Atlético Madrid,La Liga,30,29,2079,1,2,1999-2000,False,0.1299
Hassan Ahamada,FRA,"FW,MF",Nantes,Division 1,18,17,707,0,0,1999-2000,False,0.0
Abdelaziz Ahanfouf,MAR,FW,Hansa Rostock,Bundesliga,21,13,466,0,0,1999-2000,False,0.0
Ivan Aiardi,ITA,GK,Lecce,Serie A,28,1,15,0,0,1999-2000,True,0.0
Gareth Ainsworth,ENG,MF,Wimbledon,Premier League,26,2,63,2,0,1999-2000,False,2.8571
Charles Akonnor,GHA,MF,Wolfsburg,Bundesliga,25,25,1659,1,2,1999-2000,False,0.1627
Jonathan Akpoborie,NGA,FW,Wolfsburg,Bundesliga,30,19,1535,12,3,1999-2000,False,0.8795
David Albelda,ESP,"DF,MF",Valencia,La Liga,21,21,1345,0,0,1999-2000,False,0.0
Demetrio Albertini,ITA,"FW,MF",Milan,Serie A,27,26,1692,1,3,1999-2000,False,0.2128
Alberto,ESP,GK,Real Sociedad,La Liga,30,37,3234,0,0,1999-2000,False,0.0
Joaquim Alberto Silva,ANG,FW,Rayo Vallecano,La Liga,25,1,17,0,0,1999-2000,True,0.0
Alcázar,ESP,DF,Rayo Vallecano,La Liga,32,36,3144,0,2,1999-2000,False,0.0573
Óscar Alcides Mena,ARG,MF,Atlético Madrid,La Liga,28,6,305,0,0,1999-2000,False,0.0
Zé Alcino,BRA,FW,Nancy,Division 1,25,9,690,3,3,1999-2000,False,0.7826
Aldair,BRA,DF,Roma,Serie A,33,34,3060,1,0,1999-2000,False,0.0294
Aitor Aldeondo,ESP,FW,Real Sociedad,La Liga,24,14,323,1,0,1999-2000,False,0.2786
Christian Alder,GER,DF,Arminia,Bundesliga,20,1,90,0,0,1999-2000,False,0.0
Dmitri Alenichev,RUS,MF,Perugia,Serie A,26,15,1003,0,4,1999-2000,False,0.3589
Dmitri Alenichev,RUS,MF,Roma,Serie A,26,7,238,1,1,1999-2000,False,0.7563
Niclas Alexandersson,SWE,MF,Sheffield Weds,Premier League,27,37,3108,5,4,1999-2000,False,0.2606
